<	SYM	<
difficult	JJ	difficult
days	NNS	day
it	PP	it
might	MD	might
be	VB	be
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
,	,	,
the	DT	the
Israeli	JJ	Israeli
army	NN	army
will	MD	will
go	VV	go
back	RB	back
to	TO	to
fighting	VVG	fight
and	CC	and
Israel	NP	Israel
must	MD	must
achieve	VV	achieve
its	PP$	its
goal	NN	goal
of	IN	of
eradicating	VVG	eradicate
Hamas	NNS	Hamas
.	SENT	.
Rami	NP	Rami
,	,	,
Retired	NP	Retired
General	NP	General
James	NP	James
Spider	NN	spider
Marks	NNS	mark
,	,	,
thank	VV	thank
you	PP	you
both	CC	both
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
very	RB	very
,	,	,
very	RB	very
much	RB	much
.	SENT	.
<	SYM	<
/	SYM	/
doc	NN	doc
>	SYM	>
