<	SYM	<
&	CC	&
nbsp	NN	nbsp
;	:	;
Israeli	JJ	Israeli
government	NN	government
about	IN	about
Israel	NP	Israel
'	POS	'
s	JJ	s
full	JJ	full
commitment	NN	commitment
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
uh	UH	uh
to	TO	to
the	DT	the
current	JJ	current
version	NN	version
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
&	CC	&
nbsp	NN	nbsp
;	:	;
proposal	NN	proposal
and	CC	and
in	IN	in
addition	NN	addition
to	TO	to
that	DT	that
Hamas	NN	Hamas
is	VBZ	be
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
saying	VVG	say
that	IN/that	that
they	PP	they
believe	VVP	believe
this	DT	this
bridging	VVG	bridge
proposal	NN	proposal
&	CC	&
nbsp	NN	nbsp
;	:	;
is	VBZ	be
effectively	RB	effectively
caving	VVG	cave
to	TO	to
a	DT	a
series	NN	series
of	IN	of
Israeli	JJ	Israeli
&	CC	&
nbsp	JJ	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
demands	NNS	demand
which	WDT	which
they	PP	they
view	VVP	view
as	RB	as
total	VV	total
non	JJ	non
-	NN	-
starters	NNS	starter
so	RB	so
&	CC	&
nbsp	NN	nbsp
;	:	;
right	RB	right
now	RB	now
it	PP	it
'	POS	'
s	NN	S
it	PP	it
seems	VVZ	seem
difficult	JJ	difficult
to	TO	to
imagine	VV	imagine
how	WRB	how
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
a	DT	a
deal	NN	deal
could	MD	could
come	VV	come
together	RB	together
this	DT	this
week	NN	week
uh	UH	uh
which	WDT	which
is	VBZ	be
&	CC	&
nbsp	NN	nbsp
;	:	;
what	WP	what
the	DT	the
United	NP	United
States	NPS	States
has	VHZ	have
said	VVN	say
their	PP$	their
goal	NN	goal
is	VBZ	be
um	JJ	um
&	CC	&
nbsp	JJ	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
but	CC	but
it	PP	it
is	VBZ	be
clear	JJ	clear
that	IN/that	that
at	IN	at
least	JJS	least
negotiations	NNS	negotiation
&	CC	&
nbsp	NN	nbsp
;	:	;
are	VBP	be
continuing	VVG	continue
and	CC	and
we	PP	we
expect	VVP	expect
the	DT	the
Secretary	NP	Secretary
&	CC	&
nbsp	NP	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
of	IN	of
State	NP	State
Anthony	NP	Anthony
blinkin	NN	blinkin
as	IN	as
he	PP	he
arrives	VVZ	arrive
in	IN	in
Doha	NP	Doha
&	CC	&
nbsp	NP	nbsp
;	:	;
cutter	NN	cutter
to	TO	to
get	VV	get
a	DT	a
better	JJR	good
sense	NN	sense
from	IN	from
the	DT	the
cutteries	NNS	cutteries
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
who	WP	who
are	VBP	be
the	DT	the
key	JJ	key
interlocutors	NNS	interlocutor
with	IN	with
Hamas	NNS	Hamas
about	IN	about
&	CC	&
nbsp	NN	nbsp
;	:	;
exactly	RB	exactly
where	WRB	where
their	PP$	their
head	NN	head
is	VBZ	be
at	IN	at
behind	IN	behind
the	DT	the
scenes	NNS	scene
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
so	RB	so
these	DT	these
negotiations	NNS	negotiation
certainly	RB	certainly
continuing	VVG	continue
&	CC	&
nbsp	NN	nbsp
;	:	;
very	RB	very
hard	JJ	hard
to	TO	to
see	VV	see
where	WRB	where
they	PP	they
go	VVP	go
from	IN	from
here	RB	here
<	SYM	<
/	SYM	/
doc	NN	doc
>	SYM	>
