Israelis	NPS	Israelis
was	VBD	be
on	IN	on
the	DT	the
wall	NN	wall
,	,	,
and	CC	and
this	DT	this
negotiation	NN	negotiation
has	VHZ	have
been	VBN	be
taking	VVG	take
way	NN	way
too	RB	too
long	RB	long
.	SENT	.
They	PP	they
need	VVP	need
to	TO	to
come	VV	come
out	RP	out
.	SENT	.
The	DT	the
leaders	NNS	leader
need	VVP	need
to	TO	to
do	VV	do
whatever	WDT	whatever
needs	VVZ	need
to	TO	to
be	VB	be
done	VVN	do
for	IN	for
them	PP	them
to	TO	to
come	VV	come
out	RP	out
.	SENT	.
Yeah	RB	yeah
.	SENT	.
And	CC	and
did	VVD	do
I	PP	I
want	VVP	want
to	TO	to
remind	VV	remind
you	PP	you
,	,	,
four	CD	four
American	JJ	American
living	NN	living
hostages	NNS	hostage
still	RB	still
in	IN	in
captivity	NN	captivity
.	SENT	.
And	CC	and
I	PP	I
want	VVP	want
to	TO	to
say	VV	say
their	PP$	their
name	NN	name
real	RB	real
quick	JJ	quick
.	SENT	.
And	CC	and
and	CC	and
Alexander	NP	Alexander
Skyler	NP	Skyler
Callahan	NP	Callahan
,	,	,
our	PP$	our
son	NN	son
,	,	,
Omer	NP	Omer
Neutra	NP	Neutra
and	CC	and
Keith	NP	Keith
Segal	NP	Segal
,	,	,
who	WP	who
was	VBD	be
,	,	,
64	CD	@card@
year	NN	year
old	JJ	old
.	SENT	.
We	PP	we
got	VVD	get
to	TO	to
bring	VV	bring
them	PP	them
home	NN	home
.	SENT	.
The	DT	the
American	JJ	American
administration	NN	administration
need	VVP	need
to	TO	to
come	VV	come
up	RP	up
with	IN	with
a	DT	a
plan	NN	plan
to	TO	to
bring	VV	bring
their	PP$	their
own	JJ	own
American	JJ	American
home	NN	home
and	CC	and
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
hostages	NNS	hostage
,	,	,
and	CC	and
,	,	,
of	IN	of
course	NN	course
,	,	,
the	DT	the
deceased	JJ	deceased
hostages	NNS	hostage
.	SENT	.
And	CC	and
,	,	,
of	IN	of
course	NN	course
,	,	,
bring	VV	bring
the	DT	the
three	CD	three
deceased	JJ	deceased
hostages	NNS	hostage
.	SENT	.
Daddy	NN	daddy
,	,	,
Judy	NP	Judy
and	CC	and
Italian	NP	Italian
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
must	MD	must
.	SENT	.
I	PP	I
hear	VVP	hear
the	DT	the
desperation	NN	desperation
and	CC	and
the	DT	the
pain	NN	pain
in	IN	in
your	PP$	your
voice	NN	voice
.	SENT	.
And	CC	and
,	,	,
what	WP	what
we	PP	we
hear	VVP	hear
,	,	,
I	PP	I
'	POS	'
m	NN	m
sure	JJ	sure
,	,	,
only	RB	only
pales	VVZ	pale
in	IN	in
comparison	NN	comparison
to	TO	to
how	WRB	how
you	PP	you
feel	VVP	feel
in	IN	in
your	PP$	your
hearts	NNS	heart
.	SENT	.
331	CD	@card@
is	VBZ	be
on	IN	on
your	PP$	your
stickers	NNS	sticker
,	,	,
on	IN	on
your	PP$	your
on	IN	on
your	PP$	your
shirts	NNS	shirt
.	SENT	.
That	DT	that
is	VBZ	be
the	DT	the
number	NN	number
of	IN	of
days	NNS	day
your	PP$	your
beautiful	JJ	beautiful
son	NN	son
has	VHZ	have
been	VBN	be
,	,	,
in	IN	in
captivity	NN	captivity
with	IN	with
others	NNS	other
.	SENT	.
Thank	VV	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
on	IN	on
this	DT	this
very	RB	very
difficult	JJ	difficult
day	NN	day
coming	VVG	come
on	IN	on
and	CC	and
continuing	VVG	continue
to	TO	to
press	VV	press
the	DT	the
way	NN	way
you	PP	you
have	VHP	have
been	VBN	be
so	RB	so
heroically	RB	heroically
for	IN	for
so	RB	so
many	JJ	many
months	NNS	month
.	SENT	.
I	PP	I
appreciate	VVP	appreciate
it	PP	it
.	SENT	.
