Breaking	VVG	break
course	NN	course
,	,	,
close	JJ	close
to	TO	to
Gaza	NP	Gaza
.	SENT	.
you	PP	you
heard	VVD	hear
the	DT	the
Israeli	JJ	Israeli
government	NN	government
spokesman	NN	spokesman
there	RB	there
saying	VVG	say
that	IN/that	that
his	PP$	his
family	NN	family
has	VHZ	have
now	RB	now
been	VBN	be
given	VVN	give
the	DT	the
good	JJ	good
news	NN	news
that	IN/that	that
he	PP	he
is	VBZ	be
in	IN	in
stable	JJ	stable
medical	JJ	medical
condition	NN	condition
.	SENT	.
and	CC	and
,	,	,
they	PP	they
are	VBP	be
continuing	VVG	continue
to	TO	to
do	VV	do
medical	JJ	medical
checks	NNS	check
on	IN	on
him	PP	him
at	IN	at
a	DT	a
hospital	NN	hospital
.	SENT	.
it	PP	it
is	VBZ	be
,	,	,
as	IN	as
I	PP	I
say	VVP	say
,	,	,
rare	JJ	rare
news	NN	news
,	,	,
to	TO	to
speak	VV	speak
of	IN	of
a	DT	a
live	JJ	live
rescue	NN	rescue
of	IN	of
a	DT	a
hostage	NN	hostage
.	SENT	.
All	PDT	all
these	DT	these
months	NNS	month
later	RBR	later
.	SENT	.
The	DT	the
last	JJ	last
one	CD	one
was	VBD	be
on	IN	on
June	NP	June
8th	JJ	8th
,	,	,
when	WRB	when
four	CD	four
hostages	NNS	hostage
were	VBD	be
rescued	VVN	rescue
from	IN	from
central	JJ	central
Gaza	NP	Gaza
.	SENT	.
This	DT	this
operation	NN	operation
,	,	,
taking	VVG	take
place	NN	place
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
,	,	,
involving	VVG	involve
both	DT	both
both	CC	both
regular	JJ	regular
military	JJ	military
units	NNS	unit
and	CC	and
Israeli	JJ	Israeli
special	JJ	special
forces	NNS	force
.	SENT	.
They	PP	they
have	VHP	have
not	RB	not
released	VVN	release
further	JJR	further
details	NNS	detail
as	RB	as
to	TO	to
exactly	RB	exactly
how	WRB	how
they	PP	they
managed	VVD	manage
to	TO	to
gain	VV	gain
his	PP$	his
safety	NN	safety
.	SENT	.
but	CC	but
again	RB	again
,	,	,
you	PP	you
have	VHP	have
to	TO	to
go	VV	go
back	RB	back
to	TO	to
June	NP	June
8th	JJ	8th
.	SENT	.
So	IN	so
a	DT	a
number	NN	number
of	IN	of
months	NNS	month
to	TO	to
a	DT	a
successful	JJ	successful
rescue	NN	rescue
operation	NN	operation
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
just	RB	just
last	JJ	last
week	NN	week
,	,	,
six	CD	six
hostages	NNS	hostage
,	,	,
bodies	NNS	body
were	VBD	be
recovered	VVN	recover
from	IN	from
from	IN	from
Gaza	NP	Gaza
.	SENT	.
of	IN	of
course	NN	course
,	,	,
not	RB	not
the	DT	the
good	JJ	good
news	NN	news
that	IN/that	that
these	DT	these
hostage	NN	hostage
families	NNS	family
want	VVP	want
to	TO	to
hear	VV	hear
.	SENT	.
That	DT	that
leaves	VVZ	leave
the	DT	the
total	NN	total
at	IN	at
108	CD	@card@
,	,	,
108	CD	@card@
that	WDT	that
are	VBP	be
still	RB	still
remaining	VVG	remain
there	RB	there
.	SENT	.
And	CC	and
Israeli	JJ	Israeli
government	NN	government
officials	NNS	official
have	VHP	have
acknowledged	VVN	acknowledge
that	IN/that	that
many	JJ	many
of	IN	of
those	DT	those
108	CD	@card@
,	,	,
though	IN	though
they	PP	they
have	VHP	have
not	RB	not
specified	VVN	specify
a	DT	a
number	NN	number
,	,	,
are	VBP	be
no	RB	no
longer	RBR	longer
alive	JJ	alive
.	SENT	.
the	DT	the
Hostage	NN	hostage
Form	NP	Form
Forum	NP	Forum
has	VHZ	have
released	VVN	release
a	DT	a
statement	NN	statement
saying	VVG	say
that	IN/that	that
this	DT	this
is	VBZ	be
nothing	NN	nothing
short	JJ	short
of	IN	of
miracle	NN	miracle
.	SENT	.
they	PP	they
go	VVP	go
on	IN	on
to	TO	to
say	VV	say
that	IN/that	that
military	JJ	military
operations	NNS	operation
alone	RB	alone
cannot	MD	can
be	VB	be
expected	VVN	expect
to	TO	to
gain	VV	gain
the	DT	the
freedom	NN	freedom
of	IN	of
all	PDT	all
these	DT	these
hostages	NNS	hostage
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
that	WDT	that
speaks	VVZ	speak
to	TO	to
the	DT	the
tension	NN	tension
ongoing	JJ	ongoing
here	RB	here
between	IN	between
hostage	NN	hostage
families	NNS	family
and	CC	and
the	DT	the
government	NN	government
,	,	,
because	IN	because
hostage	NN	hostage
families	NNS	family
have	VHP	have
been	VBN	be
quite	RB	quite
impatient	JJ	impatient
for	IN	for
a	DT	a
deal	NN	deal
.	SENT	.
A	DT	a
cease	VVP	cease
fire	NN	fire
and	CC	and
hostage	NN	hostage
release	NN	release
deal	NN	deal
to	TO	to
gain	VV	gain
the	DT	the
release	NN	release
of	IN	of
,	,	,
the	DT	the
other	JJ	other
remaining	VVG	remain
hostages	NNS	hostage
,	,	,
or	CC	or
at	IN	at
least	JJS	least
a	DT	a
large	JJ	large
number	NN	number
of	IN	of
the	DT	the
other	JJ	other
remaining	VVG	remain
hostages	NNS	hostage
.	SENT	.
But	CC	but
at	IN	at
least	JJS	least
today	NN	today
,	,	,
for	IN	for
one	CD	one
family	NN	family
,	,	,
there	EX	there
is	VBZ	be
good	JJ	good
news	NN	news
.	SENT	.
