Let	NP	Let
perpetrated	VVD	perpetrate
the	DT	the
worst	JJS	bad
horrors	NNS	horror
&	CC	&
nbsp	NN	nbsp
;	:	;
on	IN	on
Jews	NNS	jew
since	IN	since
the	DT	the
holocaust	NN	holocaust
.	SENT	.
The	DT	the
German	JJ	German
chancellor	NN	chancellor
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
Schultz	NP	Schultz
called	VVD	call
them	PP	them
the	DT	the
new	JJ	new
Nazis	NNS	Nazi
.	SENT	.
Look	VV	look
at	IN	at
the	DT	the
&	CC	&
nbsp	NN	nbsp
;	:	;
old	JJ	old
Nazis	NNS	Nazi
.	SENT	.
The	DT	the
allies	NNS	ally
were	VBD	be
attacked	VVN	attack
by	IN	by
hitler	NN	hitler
so	RB	so
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
they	PP	they
invaded	VVD	invade
France	NP	France
and	CC	and
then	RB	then
Germany	NP	Germany
.	SENT	.
When	WRB	when
they	PP	they
&	CC	&
nbsp	NN	nbsp
;	:	;
did	VVD	do
that	IN/that	that
,	,	,
they	PP	they
went	VVD	go
into	IN	into
the	DT	the
cities	NNS	city
.	SENT	.
They	PP	they
had	VHD	have
to	TO	to
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
fight	VV	fight
the	DT	the
German	JJ	German
army	NN	army
that	WDT	that
was	VBD	be
often	RB	often
embedded	VVN	embed
&	CC	&
nbsp	NN	nbsp
;	:	;
in	IN	in
the	DT	the
cities	NNS	city
,	,	,
in	IN	in
civilian	JJ	civilian
neighborhoods	NNS	neighborhood
.	SENT	.
Many	JJ	many
&	CC	&
nbsp	JJ	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
civilians	NNS	civilian
were	VBD	be
killed	VVN	kill
.	SENT	.
Who	WP	who
is	VBZ	be
the	DT	the
blame	NN	blame
laid	VVN	lay
onto	IN	onto
?	SENT	?
&	CC	&
nbsp	NN	nbsp
;	:	;
Did	VVD	do
they	PP	they
say	VVP	say
the	DT	the
Nazis	NPS	Nazis
-	NN	-
-	NN	-
the	DT	the
allies	NNS	ally
are	VBP	be
wrong	JJ	wrong
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
allies	NNS	ally
should	MD	should
stop	VV	stop
fighting	VVG	fight
?	SENT	?
They	PP	they
said	VVD	say
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
look	VV	look
,	,	,
use	VV	use
forces	NNS	force
as	RB	as
judiciously	RB	judiciously
as	IN	as
you	PP	you
can	MD	can
,	,	,
but	RB	but
[	SYM	[
9	CD	@card@
:	:	:
08	CD	@card@
:	:	:
44	NP	@card@
AM	NP	AM
]	SYM	]
judiciously	RB	judiciously
as	IN	as
you	PP	you
can	MD	can
,	,	,
but	CC	but
don	NN	don
'	POS	'
t	NN	t
give	VV	give
the	DT	the
&	CC	&
nbsp	NN	nbsp
;	:	;
Nazis	NPS	Nazis
any	DT	any
refuge	NN	refuge
,	,	,
don	NN	don
'	POS	'
t	NN	t
feed	VVD	fee
the	DT	the
Nazis	NPS	Nazis
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
Which	WDT	which
is	VBZ	be
what	WP	what
we	PP	we
'	POS	'
re	NN	re
doing	VVG	do
,	,	,
using	VVG	use
force	NN	force
in	IN	in
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
most	RBS	most
judicious	JJ	judicious
way	NN	way
,	,	,
we	PP	we
have	VHP	have
to	TO	to
defeat	VV	defeat
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
these	DT	these
new	JJ	new
Nazis	NNS	Nazi
,	,	,
for	IN	for
our	PP$	our
sake	NN	sake
,	,	,
your	PP$	your
sake	NN	sake
,	,	,
too	RB	too
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
I	PP	I
want	VVP	want
to	TO	to
ask	VV	ask
about	IN	about
the	DT	the
hostages	NNS	hostage
.	SENT	.
Thousands	NNS	thousand
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
of	IN	of
families	NNS	family
rallied	VVD	rally
this	DT	this
weekend	NN	weekend
right	NN	right
across	IN	across
the	DT	the
&	CC	&
nbsp	NN	nbsp
;	:	;
street	NN	street
from	IN	from
where	WRB	where
you	PP	you
are	VBP	be
right	RB	right
now	RB	now
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
very	RB	very
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
frustrated	JJ	frustrated
they	PP	they
'	''	'
re	IN	re
not	RB	not
getting	VVG	get
more	JJR	more
information	NN	information
&	CC	&
nbsp	NN	nbsp
;	:	;
from	IN	from
you	PP	you
on	IN	on
where	WRB	where
their	PP$	their
loved	VVN	love
ones	NNS	one
are	VBP	be
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
believe	VVP	believe
your	PP$	your
government	NN	government
is	VBZ	be
not	RB	not
doing	VVG	do
enough	JJ	enough
&	CC	&
nbsp	JJ	nbsp
;	:	;
to	TO	to
get	VV	get
them	PP	them
back	RB	back
.	SENT	.
What	WP	what
do	VVP	do
you	PP	you
say	VVP	say
to	TO	to
them	PP	them
?	SENT	?
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
It	PP	it
'	POS	'
s	NNS	s
understandable	JJ	understandable
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
under	IN	under
tremendous	JJ	tremendous
&	CC	&
nbsp	JJ	nbsp
;	:	;
distress	NN	distress
,	,	,
they	PP	they
'	POS	'
re	NN	re
under	IN	under
torture	NN	torture
.	SENT	.
You	PP	you
can	MD	can
imagine	VV	imagine
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
you	PP	you
have	VHP	have
your	PP$	your
father	NN	father
,	,	,
your	PP$	your
husband	NN	husband
,	,	,
your	PP$	your
&	CC	&
nbsp	NN	nbsp
;	:	;
son	NN	son
,	,	,
your	PP$	your
daughter	NN	daughter
taken	VVN	take
by	IN	by
these	DT	these
savages	NNS	savage
-	NN	-
-	NN	-
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Are	VBP	be
you	PP	you
doing	VVG	do
enough	RB	enough
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
We	PP	we
'	POS	'
re	NN	re
doing	VVG	do
everything	NN	everything
we	PP	we
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
can	MD	can
around	RB	around
the	DT	the
clock	NN	clock
,	,	,
and	CC	and
I	PP	I
can	MD	can
'	''	'
t	NN	t
talk	NN	talk
about	IN	about
it	PP	it
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
I	PP	I
personally	RB	personally
met	VVD	meet
with	IN	with
hostage	NN	hostage
families	NNS	family
-	NN	-
-	NN	-
families	NNS	family
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
of	IN	of
hostages	NNS	hostage
several	JJ	several
times	NNS	time
.	SENT	.
It	PP	it
tears	VVZ	tear
your	PP$	your
&	CC	&
nbsp	NN	nbsp
;	:	;
heart	NN	heart
out	RB	out
.	SENT	.
Yes	UH	yes
,	,	,
we	PP	we
'	POS	'
re	NN	re
doing	VVG	do
everything	NN	everything
and	CC	and
[	SYM	[
9	CD	@card@
:	:	:
09	CD	@card@
:	:	:
46	NP	@card@
AM	NP	AM
]	SYM	]
Yes	UH	yes
,	,	,
we	PP	we
'	POS	'
re	NN	re
doing	VVG	do
everything	NN	everything
and	CC	and
&	CC	&
nbsp	NN	nbsp
;	:	;
many	JJ	many
things	NNS	thing
that	IN/that	that
I	PP	I
can	MD	can
'	''	'
t	NN	t
say	VVP	say
here	RB	here
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
obviously	RB	obviously
.	SENT	.
But	CC	but
this	DT	this
is	VBZ	be
one	CD	one
of	IN	of
our	PP$	our
two	CD	two
&	CC	&
nbsp	NN	nbsp
;	:	;
war	NN	war
goals	NNS	goal
.	SENT	.
One	PP	one
is	VBZ	be
to	TO	to
destroy	VV	destroy
hamas	NNS	hamas
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
and	CC	and
the	DT	the
second	NN	second
is	VBZ	be
to	TO	to
bring	VV	bring
back	RB	back
our	PP$	our
hostages	NNS	hostage
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
We	PP	we
'	POS	'
ll	NNS	ll
do	VVP	do
everything	NN	everything
we	PP	we
can	MD	can
.	SENT	.
We	PP	we
think	VVP	think
the	DT	the
entire	JJ	entire
&	CC	&
nbsp	JJ	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
world	NN	world
should	MD	should
join	VV	join
us	PP	us
.	SENT	.
Demand	NN	demand
from	IN	from
the	DT	the
red	NN	red
&	CC	&
nbsp	NN	nbsp
;	:	;
cross	VVP	cross
that	IN/that	that
it	PP	it
demand	VV	demand
vips	NNS	vips
its	PP$	its
to	TO	to
the	DT	the
hostages	NNS	hostage
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
demand	VV	demand
unconditional	JJ	unconditional
release	NN	release
of	IN	of
the	DT	the
hostages	NNS	hostage
,	,	,
say	VVP	say
&	CC	&
nbsp	NN	nbsp
;	:	;
this	DT	this
is	VBZ	be
barbarism	NN	barbarism
that	WDT	that
is	VBZ	be
unacceptable	JJ	unacceptable
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
like	IN	like
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
to	TO	to
see	VV	see
the	DT	the
U	NP	U
.	SENT	.
N	NN	N
.	SENT	.
,	,	,
the	DT	the
U	NP	U
.	SENT	.
N	NP	N
.	SENT	.
Secretary	NP	Secretary
-	NN	-
general	NN	general
who	WP	who
&	CC	&
nbsp	NN	nbsp
;	:	;
basically	RB	basically
laid	VVN	lay
the	DT	the
blame	NN	blame
on	IN	on
Israel	NP	Israel
,	,	,
lay	VVD	lie
the	DT	the
blame	NN	blame
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
on	IN	on
these	DT	these
savages	NNS	savage
.	SENT	.
Israel	NP	Israel
is	VBZ	be
fighting	VVG	fight
according	VVG	accord
&	CC	&
nbsp	NN	nbsp
;	:	;
to	TO	to
international	JJ	international
law	NN	law
.	SENT	.
The	DT	the
Israeli	JJ	Israeli
army	NN	army
is	VBZ	be
doing	VVG	do
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
an	DT	an
exemplarily	RB	exemplarily
job	NN	job
trying	VVG	try
to	TO	to
minimize	VV	minimize
civilian	JJ	civilian
&	CC	&
nbsp	JJ	nbsp
;	:	;
casualties	NNS	casualty
and	CC	and
maximize	VV	maximize
terrorist	JJ	terrorist
casualties	NNS	casualty
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
We	PP	we
theed	RB	theed
the	DT	the
international	JJ	international
community	NN	community
not	RB	not
to	TO	to
give	VV	give
&	CC	&
nbsp	NN	nbsp
;	:	;
support	NN	support
and	CC	and
moral	JJ	moral
support	NN	support
and	CC	and
legitimacy	NN	legitimacy
to	TO	to
sheer	NN	sheer
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
evil	JJ	evil
that	IN/that	that
hamas	NN	hamas
represents	VVZ	represent
.	SENT	.
Support	VV	support
Israel	NP	Israel
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
Attack	NP	Attack
hamas	NNS	hamas
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Prime	NP	Prime
minister	NN	minister
Netanyahu	NP	Netanyahu
,	,	,
one	CD	one
[	SYM	[
9	CD	@card@
:	:	:
10	CD	@card@
:	:	:
47	NP	@card@
AM	NP	AM
]	SYM	]
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Prime	NP	Prime
minister	NN	minister
Netanyahu	NP	Netanyahu
,	,	,
one	CD	one
of	IN	of
the	DT	the
questions	NNS	question
&	CC	&
nbsp	NN	nbsp
;	:	;
right	RB	right
now	RB	now
is	VBZ	be
,	,	,
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
hostages	NNS	hostage
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
is	VBZ	be
whether	IN	whether
there	EX	there
can	MD	can
be	VB	be
a	DT	a
negotiation	NN	negotiation
that	WDT	that
works	VVZ	work
&	CC	&
nbsp	NN	nbsp
;	:	;
towards	IN	towards
a	DT	a
deal	NN	deal
to	TO	to
free	VV	free
large	JJ	large
groups	NNS	group
of	IN	of
hostages	NNS	hostage
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
in	IN	in
exchange	NN	exchange
for	IN	for
ap	NNS	ap
sustained	VVD	sustain
days	NNS	day
'	POS	'
long	JJ	long
pause	NN	pause
in	IN	in
&	CC	&
nbsp	NN	nbsp
;	:	;
fighting	VVG	fight
.	SENT	.
Is	VBZ	be
that	IN/that	that
acceptable	JJ	acceptable
to	TO	to
you	PP	you
?	SENT	?
If	IN	if
so	RB	so
,	,	,
how	WRB	how
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
long	RB	long
of	IN	of
a	DT	a
pause	NN	pause
would	MD	would
Israel	NP	Israel
be	VB	be
willing	JJ	willing
to	TO	to
allow	VV	allow
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
I	PP	I
said	VVD	say
we	PP	we
'	''	'
re	IN	re
going	VVG	go
to	TO	to
pursue	VV	pursue
the	DT	the
battle	NN	battle
to	TO	to
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
destroy	VV	destroy
hamas	NNS	hamas
to	TO	to
its	PP$	its
end	NN	end
.	SENT	.
But	CC	but
I	PP	I
also	RB	also
said	VVD	say
the	DT	the
&	CC	&
nbsp	NN	nbsp
;	:	;
only	RB	only
cease	VV	cease
-	NN	-
fire	NN	fire
that	IN/that	that
we	PP	we
would	MD	would
consider	VV	consider
is	VBZ	be
one	CD	one
in	IN	in
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
which	WDT	which
we	PP	we
have	VHP	have
our	PP$	our
hostages	NNS	hostage
released	VVN	release
.	SENT	.
That	WDT	that
remains	VVZ	remain
&	CC	&
nbsp	NN	nbsp
;	:	;
true	JJ	true
.	SENT	.
It	PP	it
doesn	NP	doesn
'	POS	'
t	NN	t
mean	VVP	mean
we	PP	we
can	MD	can
'	''	'
t	NN	t
give	VV	give
humanitarian	JJ	humanitarian
&	CC	&
nbsp	JJ	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
pause	NN	pause
for	IN	for
a	DT	a
few	JJ	few
hours	NNS	hour
in	IN	in
a	DT	a
place	NN	place
,	,	,
a	DT	a
specific	JJ	specific
time	NN	time
&	CC	&
nbsp	NN	nbsp
;	:	;
and	CC	and
place	VV	place
where	WRB	where
we	PP	we
want	VVP	want
to	TO	to
have	VH	have
a	DT	a
humanitarian	JJ	humanitarian
&	CC	&
nbsp	JJ	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
corridor	NN	corridor
and	CC	and
have	VH	have
the	DT	the
people	NNS	people
leave	VVP	leave
safely	RB	safely
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
&	CC	&
nbsp	NN	nbsp
;	:	;
done	VVN	do
that	IN/that	that
,	,	,
and	CC	and
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
have	VHP	have
left	VVN	leave
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
fighting	VVG	fight
zone	NN	zone
in	IN	in
that	DT	that
fashion	NN	fashion
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
How	WRB	how
long	JJ	long
of	IN	of
a	DT	a
pause	NN	pause
would	MD	would
you	PP	you
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NP	nbsp
;	:	;
be	VB	be
willing	JJ	willing
to	TO	to
support	VV	support
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
So	RB	so
far	RB	far
we	PP	we
'	POS	'
ve	NN	ve
dealt	VVD	deal
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
with	IN	with
a	DT	a
few	JJ	few
hours	NNS	hour
.	SENT	.
If	IN	if
you	PP	you
'	POS	'
re	NN	re
&	CC	&
nbsp	NN	nbsp
;	:	;
talking	VVG	talk
about	IN	about
a	DT	a
cease	VVP	cease
-	NN	-
fire	NN	fire
-	JJ	-
-	NN	-
[	SYM	[
9	CD	@card@
:	:	:
11	CD	@card@
:	:	:
48	NP	@card@
AM	NP	AM
]	SYM	]
cease	VV	cease
-	NN	-
fire	NN	fire
-	NN	-
-	NN	-
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
I	PP	I
'	POS	'
m	NN	m
not	RB	not
talking	VVG	talk
about	IN	about
a	DT	a
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
cease	VV	cease
-	NN	-
fire	NN	fire
.	SENT	.
A	DT	a
longer	JJR	long
pause	NN	pause
,	,	,
days	NNS	day
,	,	,
for	IN	for
example	NN	example
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
That	DT	that
'	''	'
s	NNS	s
not	RB	not
a	DT	a
pause	NN	pause
.	SENT	.
If	IN	if
you	PP	you
'	POS	'
re	NN	re
talking	VVG	talk
about	IN	about
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
stopping	VVG	stop
the	DT	the
fighting	NN	fighting
,	,	,
that	WDT	that
'	POS	'
s	NNS	s
exactly	RB	exactly
what	WP	what
hamas	NN	hamas
&	CC	&
nbsp	NN	nbsp
;	:	;
wants	VVZ	want
.	SENT	.
Hamas	NP	Hamas
wants	VVZ	want
an	DT	an
end	NN	end
Ms	NN	Ms
series	NN	series
of	IN	of
pauses	NNS	pause
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
that	WDT	that
basically	RB	basically
dissipate	VVP	dissipate
-	NN	-
-	NN	-
like	IN	like
the	DT	the
Germans	NPS	Germans
after	IN	after
&	CC	&
nbsp	NN	nbsp
;	:	;
normandy	NN	normandy
.	SENT	.
Okay	RB	okay
,	,	,
let	VVP	let
'	POS	'
s	NNS	s
have	VHP	have
a	DT	a
cease	VV	cease
-	NN	-
fire	NN	fire
.	SENT	.
Hold	VV	hold
off	RP	off
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
let	VV	let
us	PP	us
replenish	VV	replenish
our	PP$	our
supplies	NNS	supply
,	,	,
get	VV	get
out	RP	out
of	IN	of
&	CC	&
nbsp	NN	nbsp
;	:	;
our	PP$	our
terror	NN	terror
tunnels	NNS	tunnel
,	,	,
let	VV	let
us	PP	us
rearm	VV	rearm
ourselves	PP	ourselves
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
Obviously	RB	obviously
we	PP	we
'	POS	'
re	NN	re
not	RB	not
going	VVG	go
to	TO	to
&	CC	&
nbsp	NN	nbsp
;	:	;
do	VVP	do
that	DT	that
.	SENT	.
In	IN	in
order	NN	order
to	TO	to
have	VH	have
a	DT	a
cease	VV	cease
-	NN	-
fire	NN	fire
of	IN	of
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
any	DT	any
-	NN	-
-	NN	-
a	DT	a
cease	VV	cease
-	NN	-
fire	NN	fire
in	IN	in
the	DT	the
entire	JJ	entire
area	NN	area
,	,	,
that	WDT	that
&	CC	&
nbsp	NN	nbsp
;	:	;
will	MD	will
require	VV	require
the	DT	the
release	NN	release
of	IN	of
our	PP$	our
hostages	NNS	hostage
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
The	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
Says	VVZ	say
you	PP	you
need	VVP	need
an	DT	an
extended	JJ	extended
&	CC	&
nbsp	JJ	nbsp
;	:	;
pause	NN	pause
in	IN	in
order	NN	order
to	TO	to
get	VV	get
the	DT	the
hostages	NNS	hostage
out	RP	out
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
Do	VVP	do
you	PP	you
not	RB	not
believe	VVP	believe
that	IN/that	that
as	RB	as
well	RB	well
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
We	PP	we
don	VVP	don
'	''	'
t	NN	t
-	NN	-
-	NN	-
we	PP	we
don	VVP	don
'	''	'
t	NN	t
disagree	VVP	disagree
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
with	IN	with
that	DT	that
,	,	,
we	PP	we
need	VVP	need
to	TO	to
get	VV	get
our	PP$	our
hostages	NNS	hostage
out	RP	out
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
The	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
Also	RB	also
says	VVZ	say
any	DT	any
postwar	JJ	postwar
plan	NN	plan
for	IN	for
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
gaza	NP	Gaza
must	MD	must
include	VV	include
palestinian	JJ	Palestinian
-	NN	-
led	VVD	lead
&	CC	&
nbsp	NN	nbsp
;	:	;
governance	NN	governance
and	CC	and
gaza	NN	gaza
unified	VVN	unify
with	IN	with
[	SYM	[
9	CD	@card@
:	:	:
12	CD	@card@
:	:	:
49	NP	@card@
AM	NP	AM
]	SYM	]
governance	NN	governance
and	CC	and
gaza	NN	gaza
unified	VVN	unify
with	IN	with
the	DT	the
west	JJ	west
bank	NN	bank
&	CC	&
nbsp	NN	nbsp
;	:	;
under	IN	under
the	DT	the
Palestinian	JJ	Palestinian
authority	NN	authority
.	SENT	.
You	PP	you
appeared	VVD	appear
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
to	TO	to
reject	VV	reject
that	DT	that
yesterday	NN	yesterday
.	SENT	.
You	PP	you
said	VVD	say
Israel	NP	Israel
will	MD	will
&	CC	&
nbsp	NN	nbsp
;	:	;
not	RB	not
accept	VV	accept
a	DT	a
,	,	,
quote	VV	quote
,	,	,
civilian	JJ	civilian
authority	NN	authority
there	RB	there
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
that	WDT	that
educates	VVZ	educate
its	PP$	its
children	NNS	child
to	TO	to
hate	VV	hate
Israel	NP	Israel
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
I	PP	I
want	VVP	want
to	TO	to
be	VB	be
clear	JJ	clear
.	SENT	.
Are	VBP	be
you	PP	you
saying	VVG	say
Israel	NP	Israel
&	CC	&
nbsp	NP	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
would	MD	would
not	RB	not
accept	VV	accept
giving	VVG	give
control	NN	control
of	IN	of
gaza	NN	gaza
over	IN	over
&	CC	&
nbsp	NN	nbsp
;	:	;
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
authority	NN	authority
after	IN	after
the	DT	the
war	NN	war
?	SENT	?
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
The	DT	the
first	JJ	first
thing	NN	thing
we	PP	we
have	VHP	have
to	TO	to
do	VV	do
is	VBZ	be
destroy	VV	destroy
hamas	NNS	hamas
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
because	IN	because
otherwise	RB	otherwise
they	PP	they
'	POS	'
ll	NNS	ll
do	VVP	do
it	PP	it
again	RB	again
and	CC	and
again	RB	again
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
and	CC	and
again	RB	again
and	CC	and
they	PP	they
'	POS	'
ve	NN	ve
said	VVD	say
so	RB	so
.	SENT	.
We	PP	we
'	POS	'
ll	NNS	ll
destroy	VVP	destroy
&	CC	&
nbsp	NN	nbsp
;	:	;
hamas	NN	hamas
.	SENT	.
The	DT	the
second	JJ	second
thing	NN	thing
we	PP	we
have	VHP	have
to	TO	to
understand	VV	understand
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
is	VBZ	be
there	EX	there
has	VHZ	have
to	TO	to
be	VB	be
an	DT	an
overriding	VVG	override
and	CC	and
overreaching	VVG	overreach
&	CC	&
nbsp	NN	nbsp
;	:	;
Israeli	JJ	Israeli
military	JJ	military
envelope	NN	envelope
.	SENT	.
We	PP	we
'	POS	'
ve	NNS	ve
seen	VVN	see
,	,	,
any	DT	any
place	NN	place
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
we	PP	we
leave	VVP	leave
,	,	,
we	PP	we
exit	VVP	exit
,	,	,
give	VVP	give
it	PP	it
to	TO	to
some	DT	some
other	JJ	other
force	NN	force
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
very	RB	very
soon	RB	soon
terrorism	NN	terrorism
resurfaces	VVZ	resurface
.	SENT	.
The	DT	the
third	JJ	third
thing	NN	thing
we	PP	we
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
have	VHP	have
to	TO	to
understand	VV	understand
is	VBZ	be
a	DT	a
civilian	JJ	civilian
authority	NN	authority
has	VHZ	have
to	TO	to
&	CC	&
nbsp	NN	nbsp
;	:	;
cooperate	VV	cooperate
on	IN	on
two	CD	two
comboels	NNS	comboels
,	,	,
one	PP	one
is	VBZ	be
to	TO	to
demilitarize	VV	demilitarize
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
gaza	NP	Gaza
,	,	,
