Ambassador	NP	Ambassador
innocent	JJ	innocent
people	NNS	people
I	PP	I
the	DT	the
heart	NN	heart
breaks	VVZ	break
for	IN	for
the	DT	the
innocent	JJ	innocent
civilians	NNS	civilian
that	WDT	that
have	VHP	have
already	RB	already
been	VBN	be
claimed	VVN	claim
during	IN	during
this	DT	this
conflict	NN	conflict
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
I	NP	I
'	POS	'
m	NN	m
equally	RB	equally
sad	JJ	sad
for	IN	for
what	WP	what
is	VBZ	be
going	VVG	go
to	TO	to
come	VV	come
unless	IN	unless
this	DT	this
trajectory	NN	trajectory
this	DT	this
current	JJ	current
War	NN	war
does	VVZ	do
not	RB	not
end	VV	end
now	RB	now
that	WDT	that
is	VBZ	be
why	WRB	why
we	PP	we
are	VBP	be
appealing	VVG	appeal
to	TO	to
the	DT	the
International	NP	International
Community	NP	Community
we	PP	we
are	VBP	be
appealing	VVG	appeal
to	TO	to
International	NP	International
organizations	NNS	organization
we	PP	we
are	VBP	be
appealing	VVG	appeal
to	TO	to
world	NN	world
leaders	NNS	leader
to	TO	to
intervene	VV	intervene
to	TO	to
bring	VV	bring
an	DT	an
un	NN	un
to	TO	to
this	DT	this
aggression	NN	aggression
they	PP	they
ought	MD	ought
to	TO	to
remember	VV	remember
that	IN/that	that
the	DT	the
ones	NNS	one
who	WP	who
are	VBP	be
paying	VVG	pay
the	DT	the
price	NN	price
for	IN	for
this	DT	this
aggression	NN	aggression
for	IN	for
this	DT	this
conflict	NN	conflict
are	VBP	be
the	DT	the
most	RBS	most
innocent	JJ	innocent
we	PP	we
'	''	'
re	IN	re
talking	VVG	talk
about	IN	about
2	CD	@card@
,	,	,
600	CD	@card@
700	CD	@card@
Palestinians	NPS	Palestinians
have	VHP	have
already	RB	already
been	VBN	be
killed	VVN	kill
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	RB	about
over	IN	over
800	CD	@card@
children	NNS	child
have	VHP	have
already	RB	already
been	VBN	be
killed	VVN	kill
over	IN	over
half	DT	half
uh	UH	uh
of	IN	of
whom	WP	whom
are	VBP	be
under	IN	under
the	DT	the
age	NN	age
of	IN	of
10	CD	@card@
8	CD	@card@
million	CD	million
kilg	NN	kilg
of	IN	of
explosives	NNS	explosive
have	VHP	have
already	RB	already
been	VBN	be
dropped	VVN	drop
on	IN	on
Gaza	NP	Gaza
the	DT	the
total	JJ	total
area	NN	area
of	IN	of
which	WDT	which
is	VBZ	be
around	RB	around
1	CD	@card@
/	SYM	/
3	CD	@card@
the	DT	the
total	JJ	total
area	NN	area
of	IN	of
Berlin	NP	Berlin
meaning	VVG	mean
that	IN/that	that
4	CD	@card@
kilg	NN	kilg
have	VHP	have
already	RB	already
been	VBN	be
dropped	VVN	drop
on	IN	on
Gaza	NP	Gaza
for	IN	for
each	DT	each
citizen	NN	citizen
we	PP	we
appeal	VVP	appeal
to	TO	to
the	DT	the
International	NP	International
Community	NP	Community
to	TO	to
bring	VV	bring
an	DT	an
end	NN	end
to	TO	to
this	DT	this
conflict	NN	conflict
Justice	NP	Justice
is	VBZ	be
the	DT	the
way	NN	way
forward	RB	forward
not	RB	not
Vengeance	NN	vengeance
okay	NN	okay
we	PP	we
can	MD	can
say	VV	say
if	IN	if
there	EX	there
is	VBZ	be
an	DT	an
appeal	NN	appeal
to	TO	to
the	DT	the
International	NP	International
Community	NP	Community
you	PP	you
can	MD	can
say	VV	say
that	IN/that	that
the	DT	the
West	NP	West
the	DT	the
United	NP	United
States	NPS	States
Germany	NP	Germany
have	VHP	have
influence	NN	influence
on	IN	on
one	CD	one
part	NN	part
in	IN	in
this	DT	this
conflict	NN	conflict
Israel	NP	Israel
who	WP	who
has	VHZ	have
influence	NN	influence
on	IN	on
Hamas	NNS	Hamas
who	WP	who
can	MD	can
stop	VV	stop
Hamas	NNS	Hamas
I	PP	I
think	VVP	think
peace	NN	peace
is	VBZ	be
the	DT	the
answer	NN	answer
addressing	VVG	address
the	DT	the
root	NN	root
causes	VVZ	cause
of	IN	of
the	DT	the
conflict	NN	conflict
is	VBZ	be
the	DT	the
answer	NN	answer
I	PP	I
think	VVP	think
we	PP	we
should	MD	should
not	RB	not
lose	VV	lose
sight	NN	sight
of	IN	of
that	DT	that
fact	NN	fact
I	PP	I
think	VVP	think
that	IN/that	that
we	PP	we
should	MD	should
address	VV	address
the	DT	the
environment	NN	environment
that	WDT	that
leads	VVZ	lead
to	TO	to
the	DT	the
violence	NN	violence
which	WDT	which
we	PP	we
reject	VVP	reject
and	CC	and
I	PP	I
think	VVP	think
peace	NN	peace
is	VBZ	be
the	DT	the
answer	NN	answer
that	WDT	that
is	VBZ	be
why	WRB	why
I	PP	I
think	VVP	think
that	IN/that	that
the	DT	the
International	NP	International
Community	NP	Community
should	MD	should
focus	VV	focus
its	PP$	its
efforts	NNS	effort
on	IN	on
what	WP	what
'	POS	'
s	NN	S
on	IN	on
what	WP	what
needs	VVZ	need
to	TO	to
be	VB	be
done	VVN	do
to	TO	to
bring	VV	bring
about	IN	about
a	DT	a
genuine	JJ	genuine
solution	NN	solution
to	TO	to
this	DT	this
conflict	NN	conflict
on	IN	on
the	DT	the
basis	NN	basis
of	IN	of
international	JJ	international
legitimacy	NN	legitimacy
and	CC	and
I	PP	I
think	VVP	think
that	IN/that	that
if	IN	if
the	DT	the
International	NP	International
Community	NP	Community
wishes	VVZ	wish
to	TO	to
do	VV	do
so	IN	so
it	PP	it
can	MD	can
do	VV	do
so	IN	so
Ambassador	NP	Ambassador
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
speaking	VVG	speak
to	TO	to
DW	NP	DW
thank	VV	thank
you	PP	you
for	IN	for
having	VHG	have
