than	IN	than
to	TO	to
the	DT	the
future	NN	future
we	PP	we
want	VVP	want
to	TO	to
take	VV	take
a	DT	a
moment	NN	moment
to	TO	to
highlight	VV	highlight
a	DT	a
few	JJ	few
key	JJ	key
elements	NNS	element
of	IN	of
this	DT	this
resolution	NN	resolution
first	RB	first
first	RB	first
it	PP	it
underscores	VVZ	underscore
the	DT	the
Primacy	NN	primacy
of	IN	of
politics	NNS	politics
and	CC	and
the	DT	the
need	NN	need
for	IN	for
a	DT	a
coherent	JJ	coherent
political	JJ	political
strategy	NN	strategy
to	TO	to
guide	VV	guide
any	DT	any
op	NN	op
operation	NN	operation
second	NN	second
it	PP	it
notes	VVZ	note
that	IN/that	that
any	DT	any
support	NN	support
to	TO	to
AUP	JJ	AUP
psos	NNS	psos
must	MD	must
be	VB	be
in	IN	in
full	JJ	full
compliance	NN	compliance
with	IN	with
the	DT	the
un	NN	un
'	POS	'
s	JJ	s
human	JJ	human
rights	NNS	right
due	JJ	due
diligence	NN	diligence
policy	NN	policy
third	NN	third
it	PP	it
emphasizes	VVZ	emphasize
that	IN/that	that
these	DT	these
operations	NNS	operation
must	MD	must
include	VV	include
appropriate	JJ	appropriate
safeguards	NNS	safeguard
for	IN	for
the	DT	the
protection	NN	protection
of	IN	of
civilians	NNS	civilian
and	CC	and
fourth	JJ	fourth
it	PP	it
outlines	VVZ	outline
that	IN/that	that
any	DT	any
PSO	NP	PSO
receiving	VVG	receive
unss	NP	unss
contributions	NNS	contribution
will	MD	will
be	VB	be
authorized	VVN	authorize
by	IN	by
and	CC	and
ultimately	RB	ultimately
accountable	JJ	accountable
to	TO	to
this	DT	this
Council	NN	council
for	IN	for
implementation	NN	implementation
of	IN	of
its	PP$	its
mandate	NN	mandate
and	CC	and
to	TO	to
the	DT	the
ga	NN	ga
for	IN	for
appropriate	JJ	appropriate
and	CC	and
reasonable	JJ	reasonable
use	NN	use
of	IN	of
funds	NNS	fund
and	CC	and
finally	RB	finally
it	PP	it
specifies	VVZ	specify
a	DT	a
burden	NN	burden
sharing	VVG	share
agreement	NN	agreement
namely	RB	namely
that	IN/that	that
un	JJ	un
contributions	NNS	contribution
to	TO	to
Au	NP	Au
psos	NNS	psos
will	MD	will
be	VB	be
no	RB	no
more	JJR	more
than	IN	than
75	CD	@card@
%	NN	%
of	IN	of
the	DT	the
cost	NN	cost
of	IN	of
the	DT	the
operations	NNS	operation
annual	JJ	annual
budget	NN	budget
We	PP	we
Stand	VVP	stand
ready	JJ	ready
to	TO	to
work	VV	work
with	IN	with
Security	NP	Security
Council	NP	Council
Members	NP	Members
and	CC	and
the	DT	the
African	NP	African
Union	NP	Union
to	TO	to
determine	VV	determine
how	WRB	how
the	DT	the
remainder	NN	remainder
of	IN	of
the	DT	the
budget	NN	budget
would	MD	would
be	VB	be
financed	VVN	finance
whether	IN	whether
through	IN	through
an	DT	an
au	FW	au
Financial	NP	Financial
contribution	NN	contribution
voluntary	JJ	voluntary
contributions	NNS	contribution
in	IN	in
kind	NN	kind
contributions	NNS	contribution
or	CC	or
some	DT	some
contribution	NN	contribution
thereof	RB	thereof
I	PP	I
want	VVP	want
to	TO	to
end	VV	end
by	IN	by
expressing	VVG	express
the	DT	the
United	NP	United
States	NPS	States
gratitude	NN	gratitude
to	TO	to
the	DT	the
A3	NP	A3
for	IN	for
their	PP$	their
flexibility	NN	flexibility
as	IN	as
copens	NNS	copens
in	IN	in
helping	VVG	help
put	VV	put
our	PP$	our
shared	JJ	shared
principles	NNS	principle
to	TO	to
paper	NN	paper
as	IN	as
well	RB	well
as	RB	as
to	TO	to
Ghana	NP	Ghana
for	IN	for
its	PP$	its
partnership	NN	partnership
and	CC	and
Leadership	NN	leadership
throughout	IN	throughout
this	DT	this
process	NN	process
as	IN	as
we	PP	we
'	POS	'
re	NN	re
near	IN	near
the	DT	the
end	NN	end
of	IN	of
Ghana	NP	Ghana
'	POS	'
s	JJ	s
time	NN	time
on	IN	on
the	DT	the
council	NN	council
we	PP	we
are	VBP	be
eager	JJ	eager
to	TO	to
cement	VV	cement
its	PP$	its
Legacy	NP	Legacy
by	IN	by
moving	VVG	move
forward	RB	forward
with	IN	with
au	FW	au
financing	VVG	finance
to	TO	to
ensure	VV	ensure
peace	NN	peace
on	IN	on
a	DT	a
continent	NN	continent
faced	VVN	face
with	IN	with
numerous	JJ	numerous
security	NN	security
threats	NNS	threat
and	CC	and
we	PP	we
look	VVP	look
forward	RB	forward
to	TO	to
seeing	VVG	see
this	DT	this
resolution	NN	resolution
implemented	VVD	implement
so	RB	so
that	IN/that	that
the	DT	the
Au	NP	Au
can	MD	can
face	VV	face
those	DT	those
challenges	NNS	challenge
head	VVP	head
on	RB	on
thank	VV	thank
you	PP	you
Mr	NP	Mr
President	NP	President
I	PP	I
thank	VVP	thank
the	DT	the
representative	NN	representative
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
the	DT	the
floor	NN	floor
to	TO	to
the	DT	the
representative	NN	representative
of	IN	of
France	NP	France
thank	VV	thank
you	PP	you
Mr	NP	Mr
President	NP	President
France	NP	France
would	MD	would
like	VV	like
to	TO	to
congratulate	VV	congratulate
the	DT	the
A3	NP	A3
for	IN	for
having	VHG	have
been	VBN	be
able	JJ	able
to	TO	to
um	RB	um
bring	VV	bring
about	IN	about
the	DT	the
option	NN	option
of	IN	of
this	DT	this
important	JJ	important
resolution	NN	resolution
in	IN	in
recent	JJ	recent
years	NNS	year
we	PP	we
have	VHP	have
supported	VVN	support
the	DT	the
partial	JJ	partial
funding	NN	funding
of	IN	of
Peace	NN	peace
operations	NNS	operation
conducted	VVN	conduct
by	IN	by
the	DT	the
African	JJ	African
Union	NN	union
with	IN	with
assessed	VVN	assess
member	NN	member
State	NN	state
contributions	NNS	contribution
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
the	DT	the
framework	NN	framework
resolution	NN	resolution
is	VBZ	be
a	DT	a
step	NN	step
towards	IN	towards
this	DT	this
go	NN	go
and	CC	and
we	PP	we
welcome	VVP	welcome
that	IN/that	that
it	PP	it
provides	VVZ	provide
clarification	NN	clarification
Ely	NP	Ely
clarification	NN	clarification
with	IN	with
regard	NN	regard
to	TO	to
this	DT	this
to	TO	to
these	DT	these
operations	NNS	operation
there	EX	there
will	MD	will
be	VB	be
robust	JJ	robust
peace	NN	peace
operations	NNS	operation
limited	VVN	limit
over	IN	over
time	NN	time
with	IN	with
a	DT	a
clearly	RB	clearly
identified	VVN	identify
exit	NN	exit
strategy	NN	strategy
we	PP	we
also	RB	also
the	DT	the
fact	NN	fact
that	IN/that	that
this	DT	this
resolution	NN	resolution
has	VHZ	have
a	DT	a
clear	JJ	clear
decision	NN	decision
making	VVG	make
process	NN	process
that	RB	that
'	POS	'
s	JJ	s
reasonable	JJ	reasonable
and	CC	and
it	PP	it
clearly	RB	clearly
recalls	VVZ	recall
the	DT	the
financial	JJ	financial
regulatory	JJ	regulatory
conditions	NNS	condition
that	WDT	that
are	VBP	be
applied	VVN	apply
once	IN	once
the	DT	the
United	NP	United
Nations	NPS	Nations
funding	NN	funding
is	VBZ	be
mobilized	VVN	mobilize
as	IN	as
others	NNS	other
within	IN	within
this	DT	this
Council	NN	council
we	PP	we
would	MD	would
have	VH	have
liked	VVN	like
this	DT	this
text	NN	text
to	TO	to
be	VB	be
more	RBR	more
precise	JJ	precise
with	IN	with
regard	NN	regard
to	TO	to
the	DT	the
funding	NN	funding
of	IN	of
the	DT	the
uh	UH	uh
these	DT	these
operations	NNS	operation
to	TO	to
be	VB	be
funded	VVN	fund
by	IN	by
the	DT	the
African	NP	African
Union	NP	Union
and	CC	and
its	PP$	its
members	NNS	member
we	PP	we
made	VVD	make
several	JJ	several
creative	JJ	creative
proposals	NNS	proposal
to	TO	to
find	VV	find
a	DT	a
unanimous	JJ	unanimous
agreement	NN	agreement
and	CC	and
those	DT	those
proposals	NNS	proposal
could	MD	could
and	CC	and
should	MD	should
have	VH	have
been	VBN	be
better	RBR	well
reflected	VVN	reflect
in	IN	in
the	DT	the
text	NN	text
we	PP	we
mustn	NP	mustn
'	POS	'
t	NN	t
lose	VVP	lose
sight	NN	sight
of	IN	of
the	DT	the
fact	NN	fact
that	IN/that	that
discussions	NNS	discussion
on	IN	on
a	DT	a
Case	NN	case
by	IN	by
case	NN	case
b	NN	b
will	MD	will
probably	RB	probably
be	VB	be
urgent	JJ	urgent
discussions	NNS	discussion
situations	NNS	situation
where	WRB	where
we	PP	we
will	MD	will
have	VH	have
to	TO	to
respond	VV	respond
to	TO	to
crises	NNS	crisis
and	CC	and
unanimous	JJ	unanimous
agreement	NN	agreement
on	IN	on
the	DT	the
cost	NN	cost
sharing	NN	sharing
terms	NNS	term
would	MD	would
have	VH	have
allowed	VVN	allow
us	PP	us
to	TO	to
avoid	VV	avoid
sensitive	JJ	sensitive
discussions	NNS	discussion
in	IN	in
the	DT	the
future	NN	future
so	RB	so
that	IN/that	that
we	PP	we
could	MD	could
concentrate	VV	concentrate
on	IN	on
the	DT	the
best	RBS	well
multilateral	JJ	multilateral
response	NN	response
to	TO	to
apply	VV	apply
to	TO	to
restore	VV	restore
peace	NN	peace
France	NP	France
is	VBZ	be
available	JJ	available
to	TO	to
continue	VV	continue
discussions	NNS	discussion
on	IN	on
this	DT	this
very	RB	very
important	JJ	important
issue	NN	issue
for	IN	for
the	DT	the
African	JJ	African
Union	NN	union
for	IN	for
the	DT	the
United	NP	United
Nations	NPS	Nations
where	WRB	where
everyone	NN	everyone
that	WDT	that
wants	VVZ	want
more	JJR	more
effective	JJ	effective
solutions	NNS	solution
to	TO	to
be	VB	be
applied	VVN	apply
to	TO	to
African	JJ	African
crises	NNS	crisis
thank	VVP	thank
you	PP	you
I	PP	I
thank	VVP	thank
the	DT	the
representative	NN	representative
of	IN	of
France	NP	France
for	IN	for
her	PP$	her
statement	NN	statement
and	CC	and
I	PP	I
'	POS	'
ll	NNS	ll
give	VVP	give
the	DT	the
floor	NN	floor
to	TO	to
the	DT	the
representative	NN	representative
of	IN	of
Brazil	NP	Brazil
thank	VV	thank
you	PP	you
Mr	NP	Mr
President	NP	President
Brazil	NP	Brazil
welcomes	VVZ	welcome
the	DT	the
approval	NN	approval
of	IN	of
this	DT	this
resolution	NN	resolution
and	CC	and
commends	VVZ	commend
the	DT	the
A3	NP	A3
countries	NNS	country
for	IN	for
their	PP$	their
leadership	NN	leadership
in	IN	in
its	PP$	its
negotiating	VVG	negotiate
process	NN	process
we	PP	we
also	RB	also
extend	VVP	extend
our	PP$	our
appreciation	NN	appreciation
to	TO	to
council	NN	council
members	NNS	member
for	IN	for
their	PP$	their
constructive	JJ	constructive
engagement	NN	engagement
in	IN	in
achieving	VVG	achieve
this	DT	this
groundbreaking	JJ	groundbreaking
outcome	NN	outcome
it	PP	it
was	VBD	be
extremely	RB	extremely
complex	JJ	complex
but	CC	but
definitely	RB	definitely
worth	VV	worth
it	PP	it
we	PP	we
believe	VVP	believe
that	IN/that	that
the	DT	the
unanimous	JJ	unanimous
adoption	NN	adoption
of	IN	of
this	DT	this
resolution	NN	resolution
by	IN	by
the	DT	the
security	NN	security
Council	NN	council
sends	VVZ	send
a	DT	a
strong	JJ	strong
message	NN	message
of	IN	of
support	NN	support
by	IN	by
the	DT	the
International	NP	International
Community	NP	Community
to	TO	to
the	DT	the
indispensable	JJ	indispensable
role	NN	role
played	VVN	play
by	IN	by
African	JJ	African
countries	NNS	country
African	JJ	African
Regional	NP	Regional
economic	JJ	economic
communities	NNS	community
and	CC	and
the	DT	the
African	JJ	African
Union	NP	Union
inur	NN	inur
uring	NN	uring
peace	NN	peace
and	CC	and
Security	NN	security
in	IN	in
the	DT	the
continent	NN	continent
in	IN	in
a	DT	a
challenging	JJ	challenging
moment	NN	moment
for	IN	for
the	DT	the
multilateral	JJ	multilateral
system	NN	system
especially	RB	especially
regarding	VVG	regard
peacekeeping	VVG	peacekeepe
operations	NNS	operation
this	DT	this
resolution	NN	resolution
offers	VVZ	offer
Innovative	JJ	innovative
approaches	NNS	approach
that	WDT	that
could	MD	could
Inspire	VV	inspire
us	PP	us
to	TO	to
think	VV	think
outside	JJ	outside
of	IN	of
the	DT	the
box	NN	box
in	IN	in
our	PP$	our
search	NN	search
for	IN	for
solutions	NNS	solution
for	IN	for
the	DT	the
many	JJ	many
International	NP	International
Security	NP	Security
crisis	NN	crisis
we	PP	we
now	RB	now
face	VVP	face
I	PP	I
would	MD	would
like	VV	like
to	TO	to
emphasize	VV	emphasize
that	IN/that	that
the	DT	the
focus	NN	focus
on	IN	on
funding	NN	funding
peace	NN	peace
support	NN	support
operations	NNS	operation
should	MD	should
not	RB	not
overshadow	VV	overshadow
other	JJ	other
critical	JJ	critical
aspects	NNS	aspect
in	IN	in
addressing	VVG	address
Africa	NP	Africa
'	POS	'
s	NN	S
security	NN	security
challenges	VVZ	challenge
effective	JJ	effective
political	JJ	political
strategies	NNS	strategy
especially	RB	especially
those	DT	those
aimed	VVN	aim
at	IN	at
conflict	NN	conflict
prevention	NN	prevention
and	CC	and
that	IN/that	that
addressing	VVG	address
the	DT	the
root	NN	root
causes	VVZ	cause
of	IN	of
conflict	NN	conflict
should	MD	should
be	VB	be
prioritized	JJ	prioritized
both	CC	both
by	IN	by
the	DT	the
UN	NP	UN
and	CC	and
by	IN	by
the	DT	the
African	NP	African
Union	NP	Union
and	CC	and
their	PP$	their
member	NN	member
states	VVZ	state
we	PP	we
sincerely	RB	sincerely
hope	VVP	hope
that	IN/that	that
the	DT	the
framework	NN	framework
provided	VVN	provide
by	IN	by
this	DT	this
resolution	NN	resolution
will	MD	will
concretely	RB	concretely
benefit	VV	benefit
Africa	NP	Africa
and	CC	and
World	NP	World
security	NN	security
as	IN	as
a	DT	a
whole	NN	whole
thank	VVP	thank
you	PP	you
the	DT	the
representative	NN	representative
of	IN	of
Brazil	NP	Brazil
for	IN	for
his	PP$	his
statement	NN	statement
and	CC	and
I	PP	I
give	VVP	give
the	DT	the
floor	NN	floor
to	TO	to
the	DT	the
representative	NN	representative
of	IN	of
the	DT	the
United	NP	United
Kingdom	NP	Kingdom
president	NN	president
and	CC	and
I	PP	I
want	VVP	want
to	TO	to
start	VV	start
by	IN	by
appreciating	VVG	appreciate
the	DT	the
role	NN	role
and	CC	and
the	DT	the
work	NN	work
of	IN	of
Ghana	NP	Ghana
Gabon	NP	Gabon
and	CC	and
mosambique	NN	mosambique
working	VVG	work
with	IN	with
the	DT	the
African	NP	African
Union	NP	Union
Commission	NP	Commission
in	IN	in
seeking	VVG	seek
to	TO	to
develop	VV	develop
a	DT	a
framework	NN	framework
for	IN	for
un	JJ	un
support	NN	support
to	TO	to
Future	NP	Future
African	NP	African
Union	NP	Union
Le	NP	Le
operations	NNS	operation
and	CC	and
I	PP	I
think	VVP	think
it	PP	it
goes	VVZ	go
without	IN	without
saying	VVG	say
that	IN/that	that
the	DT	the
UK	NP	UK
recognizes	VVZ	recognize
the	DT	the
important	JJ	important
role	NN	role
that	IN/that	that
African	JJ	African
Union	NP	Union
peace	NN	peace
support	NN	support
operations	NNS	operation
can	MD	can
play	VV	play
in	IN	in
delivering	VVG	deliver
peace	NN	peace
and	CC	and
Security	NN	security
in	IN	in
Africa	NP	Africa
the	DT	the
UK	NP	UK
voted	VVD	vote
in	IN	in
favor	NN	favor
of	IN	of
today	NN	today
'	POS	'
s	NN	S
resolution	NN	resolution
which	WDT	which
represents	VVZ	represent
a	DT	a
significant	JJ	significant
breakthrough	NN	breakthrough
as	IN	as
we	PP	we
look	VVP	look
ahead	RB	ahead
we	PP	we
recognize	VVP	recognize
that	IN/that	that
more	JJR	more
work	NN	work
will	MD	will
be	VB	be
needed	VVN	need
to	TO	to
ensure	VV	ensure
that	IN/that	that
any	DT	any
future	JJ	future
African	NP	African
Union	NP	Union
Le	NP	Le
operation	NN	operation
can	MD	can
access	VV	access
the	DT	the
sustainable	JJ	sustainable
and	CC	and
predictable	JJ	predictable
financing	NN	financing
that	IN/that	that
it	PP	it
needs	VVZ	need
and	CC	and
that	WDT	that
requires	VVZ	require
Clarity	NP	Clarity
on	IN	on
financial	JJ	financial
and	CC	and
logistical	JJ	logistical
burden	NN	burden
sharing	VVG	share
Arrangements	NNS	arrangement
between	IN	between
the	DT	the
UN	NP	UN
the	DT	the
African	JJ	African
Union	NN	union
and	CC	and
other	JJ	other
contributors	NNS	contributor
Beyond	IN	beyond
elements	NNS	element
for	IN	for
which	WDT	which
contributors	NNS	contributor
would	MD	would
already	RB	already
expect	VV	expect
to	TO	to
receive	VV	receive
reimbursement	NN	reimbursement
we	PP	we
also	RB	also
want	VVP	want
to	TO	to
ensure	VV	ensure
that	IN/that	that
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
given	VVN	give
its	PP$	its
mandate	NN	mandate
for	IN	for
International	NP	International
Peace	NP	Peace
and	CC	and
security	NN	security
is	VBZ	be
fully	RB	fully
involved	VVN	involve
and	CC	and
consulted	VVN	consult
from	IN	from
the	DT	the
outset	NN	outset
in	IN	in
the	DT	the
development	NN	development
of	IN	of
any	DT	any
peace	NN	peace
support	NN	support
operation	NN	operation
this	DT	this
will	MD	will
help	VV	help
us	PP	us
work	VV	work
hand	NN	hand
inand	NN	inand
with	IN	with
the	DT	the
aupc	NN	aupc
to	TO	to
design	VV	design
a	DT	a
countable	JJ	countable
effective	JJ	effective
and	CC	and
efficient	JJ	efficient
missions	NNS	mission
of	IN	of
the	DT	the
future	NN	future
and	CC	and
we	PP	we
very	RB	very
much	RB	much
look	VV	look
forward	RB	forward
to	TO	to
working	VVG	work
with	IN	with
Council	NP	Council
colleagues	NNS	colleague
in	IN	in
the	DT	the
coming	VVG	come
months	NNS	month
to	TO	to
cement	VV	cement
today	NN	today
'	POS	'
s	NN	S
achievement	NN	achievement
and	CC	and
to	TO	to
ensure	VV	ensure
that	IN/that	that
we	PP	we
have	VHP	have
a	DT	a
workable	JJ	workable
framework	NN	framework
that	WDT	that
enables	VVZ	enable
African	JJ	African
union	NN	union
-	NN	-
led	VVN	lead
Peace	NP	Peace
support	NN	support
operations	NNS	operation
to	TO	to
meet	VV	meet
the	DT	the
peace	NN	peace
and	CC	and
security	NN	security
challenges	NNS	challenge
faced	VVN	face
in	IN	in
Africa	NP	Africa
and	CC	and
helps	VVZ	help
to	TO	to
silence	VV	silence
the	DT	the
guns	NNS	gun
I	PP	I
thank	VVP	thank
you	PP	you
I	PP	I
thank	VVP	thank
the	DT	the
representative	NN	representative
of	IN	of
the	DT	the
United	NP	United
Kingdom	NP	Kingdom
for	IN	for
her	PP$	her
statement	NN	statement
I	PP	I
the	DT	the
floor	NN	floor
now	RB	now
to	TO	to
the	DT	the
representative	NN	representative
of	IN	of
Mal	JJ	Mal
president	NN	president
Malta	NP	Malta
voted	VVD	vote
in	IN	in
favor	NN	favor
of	IN	of
this	DT	this
resolution	NN	resolution
because	IN	because
we	PP	we
believe	VVP	believe
that	IN/that	that
a	DT	a
new	JJ	new
season	NN	season
in	IN	in
peace	NN	peace
operations	NNS	operation
missions	NNS	mission
needs	VVZ	need
to	TO	to
emerge	VV	emerge
within	IN	within
the	DT	the
security	NN	security
Council	NN	council
with	IN	with
this	DT	this
resolution	NN	resolution
we	PP	we
acknowledge	VVP	acknowledge
the	DT	the
changing	VVG	change
nature	NN	nature
nature	NN	nature
of	IN	of
conflicts	NNS	conflict
in	IN	in
Africa	NP	Africa
and	CC	and
the	DT	the
need	NN	need
to	TO	to
draw	VV	draw
on	IN	on
a	DT	a
range	NN	range
of	IN	of
international	JJ	international
responses	NNS	response
to	TO	to
fit	VV	fit
specific	JJ	specific
complex	NN	complex
operating	VVG	operate
environments	NNS	environment
and	CC	and
evolving	VVG	evolve
threats	NNS	threat
we	PP	we
ALS	FW	als
we	PP	we
will	MD	will
also	RB	also
open	VV	open
the	DT	the
way	NN	way
to	TO	to
peace	NN	peace
enforcement	NN	enforcement
when	WRB	when
necessary	JJ	necessary
implementing	VVG	implement
a	DT	a
clear	JJ	clear
robust	JJ	robust
and	CC	and
focused	JJ	focused
mandate	NN	mandate
with	IN	with
a	DT	a
limited	JJ	limited
duration	NN	duration
and	CC	and
time	NN	time
and	CC	and
an	DT	an
exit	NN	exit
strategy	NN	strategy
defined	VVN	define
from	IN	from
the	DT	the
outset	NN	outset
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
we	PP	we
collectively	RB	collectively
affirm	VVP	affirm
the	DT	the
Primacy	NN	primacy
of	IN	of
politics	NNS	politics
and	CC	and
the	DT	the
need	NN	need
for	IN	for
coherent	JJ	coherent
political	JJ	political
strategies	NNS	strategy
for	IN	for
African	NP	African
Union	NP	Union
Le	NP	Le
peace	NN	peace
support	NN	support
operations	NNS	operation
authorized	VVN	authorize
by	IN	by
the	DT	the
security	NN	security
Council	NN	council
these	DT	these
strategies	NNS	strategy
will	MD	will
have	VH	have
a	DT	a
holistic	JJ	holistic
approach	NN	approach
and	CC	and
address	VV	address
the	DT	the
root	NN	root
causes	VVZ	cause
of	IN	of
of	IN	of
conflict	NN	conflict
with	IN	with
this	DT	this
resolution	NN	resolution
we	PP	we
agree	VVP	agree
on	IN	on
a	DT	a
clear	JJ	clear
decision	NN	decision
making	NN	making
and	CC	and
authorization	NN	authorization
process	NN	process
more	RBR	more
importantly	RB	importantly
we	PP	we
set	VVD	set
a	DT	a
minimum	NN	minimum
of	IN	of
compliance	NN	compliance
standards	NNS	standard
that	WDT	that
will	MD	will
characterize	VV	characterize
all	DT	all
future	JJ	future
AUP	NP	AUP
PSO	NP	PSO
missions	VVZ	mission
the	DT	the
protection	NN	protection
of	IN	of
civilians	NNS	civilian
will	MD	will
always	RB	always
be	VB	be
prioritized	JJ	prioritized
we	PP	we
are	VBP	be
also	RB	also
pleased	VVN	please
to	TO	to
share	VV	share
that	IN/that	that
the	DT	the
African	NP	African
Union	NP	Union
significantly	RB	significantly
strengthened	VVD	strengthen
its	PP$	its
International	NP	International
humanitarian	JJ	humanitarian
law	NN	law
human	JJ	human
rights	NNS	right
and	CC	and
conduct	NN	conduct
and	CC	and
discipline	NN	discipline
compliance	NN	compliance
framework	NN	framework
with	IN	with
the	DT	the
support	NN	support
of	IN	of
the	DT	the
European	JJ	European
Union	NP	Union
president	NN	president
this	DT	this
framework	NN	framework
resolution	NN	resolution
is	VBZ	be
a	DT	a
step	NN	step
towards	IN	towards
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
step	NN	step
forward	RB	forward
from	IN	from
from	IN	from
Case	NN	case
by	IN	by
case	NN	case
resolutions	NNS	resolution
that	WDT	that
provide	VVP	provide
partial	JJ	partial
un	NNS	un
assessed	VVD	assess
contributions	NNS	contribution
we	PP	we
support	VVP	support
the	DT	the
intention	NN	intention
of	IN	of
the	DT	the
A3	NP	A3
to	TO	to
achieve	VV	achieve
a	DT	a
situation	NN	situation
in	IN	in
which	WDT	which
predictable	JJ	predictable
funding	NN	funding
is	VBZ	be
secured	VVN	secure
for	IN	for
AUP	JJ	AUP
support	NN	support
operations	NNS	operation
we	PP	we
cannot	MD	can
deny	VV	deny
that	IN/that	that
no	DT	no
agreement	NN	agreement
has	VHZ	have
we	PP	we
cannot	MD	can
deny	VV	deny
that	IN/that	that
no	DT	no
agreement	NN	agreement
has	VHZ	have
been	VBN	be
achieved	VVN	achieve
yet	RB	yet
on	IN	on
burden	NN	burden
sharing	NN	sharing
having	VHG	have
said	VVN	say
that	IN/that	that
we	PP	we
consider	VVP	consider
the	DT	the
amended	VVN	amend
text	NN	text
as	RB	as
adopted	VVD	adopt
Ed	NP	Ed
as	IN	as
a	DT	a
compromise	NN	compromise
to	TO	to
move	VV	move
forward	RB	forward
on	IN	on
this	DT	this
point	NN	point
we	PP	we
must	MD	must
be	VB	be
clear	JJ	clear
the	DT	the
responsibility	NN	responsibility
for	IN	for
the	DT	the
funding	NN	funding
of	IN	of
these	DT	these
missions	NNS	mission
should	MD	should
not	RB	not
rest	VV	rest
with	IN	with
one	CD	one
country	NN	country
or	CC	or
one	CD	one
Regional	JJ	regional
group	NN	group
alone	RB	alone
ambitious	JJ	ambitious
actions	NNS	action
Demands	VVZ	demand
a	DT	a
collective	JJ	collective
efforts	NNS	effort
contributions	NNS	contribution
for	IN	for
future	JJ	future
AUP	JJ	AUP
psos	NNS	psos
must	MD	must
come	VV	come
from	IN	from
All	DT	all
actors	NNS	actor
as	IN	as
it	PP	it
has	VHZ	have
been	VBN	be
stated	VVN	state
in	IN	in
the	DT	the
resolution	NN	resolution
we	PP	we
voted	VVD	vote
for	IN	for
President	NP	President
as	IN	as
a	DT	a
European	JJ	European
Union	NP	Union
member	NN	member
State	NP	State
let	VVD	let
me	PP	me
now	RB	now
sh	VVZ	sh
the	DT	the
eu	NN	eu
'	POS	'
s	JJ	s
position	NN	position
on	IN	on
the	DT	the
resolution	NN	resolution
the	DT	the
European	NP	European
Union	NP	Union
supports	VVZ	support
the	DT	the
use	NN	use
of	IN	of
un	JJ	un
assessed	VVN	assess
contributions	NNS	contribution
and	CC	and
compliance	NN	compliance
with	IN	with
relevant	JJ	relevant
agreed	VVN	agree
standards	NNS	standard
and	CC	and
mechanism	NN	mechanism
we	PP	we
welcome	VVP	welcome
the	DT	the
commitment	NN	commitment
of	IN	of
the	DT	the
African	JJ	African
Union	NP	Union
sub	NN	sub
Regional	JJ	regional
organizations	NNS	organization
and	CC	and
its	PP$	its
member	NN	member
states	NNS	state
to	TO	to
contribute	VV	contribute
significantly	RB	significantly
to	TO	to
the	DT	the
African	JJ	African
Union	NP	Union
Le	NP	Le
peace	NN	peace
support	NN	support
operations	NNS	operation
following	VVG	follow
today	NN	today
'	POS	'
s	JJ	s
Milestone	NN	milestone
operation	NN	operation
and	CC	and
building	NN	building
on	IN	on
our	PP$	our
existing	JJ	existing
partnership	NN	partnership
we	PP	we
look	VVP	look
forward	RB	forward
to	TO	to
working	VVG	work
closely	RB	closely
with	IN	with
the	DT	the
African	NP	African
Union	NP	Union
and	CC	and
African	JJ	African
member	NN	member
states	NNS	state
in	IN	in
implementing	VVG	implement
this	DT	this
resolution	NN	resolution
thank	VVP	thank
you	PP	you
thank	VVP	thank
the	DT	the
representative	NN	representative
of	IN	of
Malta	NP	Malta
for	IN	for
statement	NN	statement
I	PP	I
now	RB	now
give	VVP	give
the	DT	the
floor	NN	floor
to	TO	to
the	DT	the
representative	NN	representative
of	IN	of
Albania	NP	Albania
thank	VV	thank
you	PP	you
Mr	NP	Mr
President	NP	President
we	PP	we
also	RB	also
commend	VVP	commend
Ghana	NP	Ghana
and	CC	and
the3	NN	the3
for	IN	for
their	PP$	their
active	JJ	active
role	NN	role
in	IN	in
facilitating	VVG	facilitate
the	DT	the
negotiations	NNS	negotiation
on	IN	on
this	DT	this
significant	JJ	significant
framework	NN	framework
resolution	NN	resolution
on	IN	on
and	CC	and
for	IN	for
their	PP$	their
continued	JJ	continued
engagement	NN	engagement
with	IN	with
all	DT	all
member	NN	member
states	NNS	state
in	IN	in
the	DT	the
security	NN	security
Council	NP	Council
Albania	NP	Albania
voted	VVD	vote
in	IN	in
favor	NN	favor
of	IN	of
this	DT	this
framework	NN	framework
resolution	NN	resolution
and	CC	and
the	DT	the
amendment	NN	amendment
proposed	VVN	propose
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
because	IN	because
we	PP	we
believe	VVP	believe
that	IN/that	that
only	RB	only
by	IN	by
addressing	VVG	address
in	IN	in
the	DT	the
best	RBS	well
possible	JJ	possible
inclusive	JJ	inclusive
and	CC	and
holistic	JJ	holistic
manner	NN	manner
all	DT	all
key	JJ	key
pertinent	JJ	pertinent
issues	NNS	issue
such	JJ	such
decision	NN	decision
-	NN	-
making	VVG	make
process	NN	process
Financial	JJ	financial
