seated	VVN	seat
part	NN	part
request	NN	request
the	DT	the
court	NN	court
to	TO	to
assess	VV	assess
how	WRB	how
the	DT	the
policies	NNS	policy
and	CC	and
practic	JJ	practic
of	IN	of
Israel	NP	Israel
identified	VVN	identify
by	IN	by
the	DT	the
general	JJ	general
assembly	NN	assembly
affect	VV	affect
the	DT	the
legal	JJ	legal
status	NN	status
of	IN	of
the	DT	the
occupation	NN	occupation
the	DT	the
court	NN	court
observed	VVD	observe
that	IN/that	that
the	DT	the
use	NN	use
of	IN	of
the	DT	the
verb	NN	verb
effect	NN	effect
points	NNS	point
to	TO	to
the	DT	the
possibility	NN	possibility
that	IN/that	that
such	JJ	such
policies	NNS	policy
and	CC	and
practices	NNS	practice
may	MD	may
bring	VV	bring
about	IN	about
changes	NNS	change
to	TO	to
the	DT	the
legal	JJ	legal
status	NN	status
however	RB	however
the	DT	the
scope	NN	scope
of	IN	of
the	DT	the
first	JJ	first
part	NN	part
of	IN	of
the	DT	the
question	NN	question
depends	VVZ	depend
upon	IN	upon
the	DT	the
meaning	NN	meaning
of	IN	of
the	DT	the
expression	NN	expression
legal	JJ	legal
status	NN	status
occupation	NN	occupation
in	IN	in
the	DT	the
overall	JJ	overall
context	NN	context
of	IN	of
question	NN	question
B	NN	B
in	IN	in
the	DT	the
present	JJ	present
context	NN	context
the	DT	the
court	NN	court
is	VBZ	be
of	IN	of
the	DT	the
view	NN	view
that	IN/that	that
the	DT	the
first	JJ	first
part	NN	part
of	IN	of
question	NN	question
B	NN	B
calls	VVZ	call
on	IN	on
the	DT	the
court	NN	court
to	TO	to
ascertain	VV	ascertain
the	DT	the
manner	NN	manner
in	IN	in
which	WDT	which
Israel	NP	Israel
'	POS	'
s	NN	S
policies	NNS	policy
and	CC	and
practices	NNS	practice
affect	VVP	affect
the	DT	the
legal	JJ	legal
status	NN	status
of	IN	of
the	DT	the
occupation	NN	occupation
and	CC	and
thereby	RB	thereby
the	DT	the
legality	NN	legality
of	IN	of
the	DT	the
continued	JJ	continued
presence	NN	presence
of	IN	of
Israel	NP	Israel
as	IN	as
an	DT	an
occupying	JJ	occupying
power	NN	power
in	IN	in
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
the	DT	the
cult	NN	cult
observed	VVD	observe
that	IN/that	that
both	DT	both
question	NN	question
a	DT	a
and	CC	and
the	DT	the
second	JJ	second
part	NN	part
of	IN	of
question	NN	question
B	NN	B
call	NN	call
upon	IN	upon
it	PP	it
to	TO	to
determine	VV	determine
the	DT	the
legal	JJ	legal
consequences	NNS	consequence
arising	VVG	arise
respectively	RB	respectively
from	IN	from
Israel	NP	Israel
'	POS	'
s	NN	S
policies	NNS	policy
and	CC	and
practices	NNS	practice
and	CC	and
from	IN	from
its	PP$	its
continued	JJ	continued
presence	NN	presence
as	IN	as
an	DT	an
Palestinian	JJ	Palestinian
territory	NN	territory
if	IN	if
and	CC	and
to	TO	to
the	DT	the
extent	NN	extent
that	IN/that	that
the	DT	the
court	NN	court
finds	VVZ	find
that	IN/that	that
any	DT	any
of	IN	of
Israel	NP	Israel
'	POS	'
s	NN	S
policies	NNS	policy
and	CC	and
practices	NNS	practice
or	CC	or
its	PP$	its
continued	JJ	continued
presence	NN	presence
in	IN	in
the	DT	the
occupied	JJ	occupied
palestin	NN	palestin
ter	NN	ter
Palestinian	JJ	Palestinian
territory	NN	territory
are	VBP	be
contrary	JJ	contrary
to	TO	to
international	JJ	international
law	NN	law
the	DT	the
court	NN	court
indicates	VVZ	indicate
that	IN/that	that
it	PP	it
will	MD	will
examine	VV	examine
the	DT	the
legal	JJ	legal
consequences	NNS	consequence
following	VVG	follow
from	IN	from
such	JJ	such
findings	NNS	finding
for	IN	for
Israel	NP	Israel
for	IN	for
other	JJ	other
states	NNS	state
and	CC	and
for	IN	for
the	DT	the
United	NP	United
Nations	NPS	Nations
having	VHG	have
Define	VV	define
the	DT	the
scope	NN	scope
and	CC	and
meaning	NN	meaning
of	IN	of
the	DT	the
questions	NNS	question
posed	VVN	pose
by	IN	by
the	DT	the
general	JJ	general
assembly	NN	assembly
the	DT	the
court	NN	court
must	MD	must
determine	VV	determine
the	DT	the
applicable	JJ	applicable
law	NN	law
the	DT	the
applicability	NN	applicability
of	IN	of
certain	JJ	certain
rules	NNS	rule
of	IN	of
international	JJ	international
law	NN	law
in	IN	in
the	DT	the
territory	NN	territory
concern	NN	concern
depends	VVZ	depend
on	IN	on
the	DT	the
status	NN	status
of	IN	of
that	DT	that
territory	NN	territory
under	IN	under
international	JJ	international
law	NN	law
the	DT	the
court	NN	court
first	RB	first
seeks	VVZ	seek
to	TO	to
assertain	VV	assertain
the	DT	the
status	NN	status
of	IN	of
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
under	IN	under
international	JJ	international
law	NN	law
and	CC	and
then	RB	then
determines	VVZ	determine
which	WDT	which
rules	NNS	rule
of	IN	of
international	JJ	international
law	NN	law
are	VBP	be
relevant	JJ	relevant
for	IN	for
answering	VVG	answer
the	DT	the
questions	NNS	question
posed	VVN	pose
to	TO	to
it	PP	it
by	IN	by
assembly	NN	assembly
the	DT	the
question	NN	question
posed	VVN	pose
by	IN	by
the	DT	the
general	JJ	general
assembly	NN	assembly
are	VBP	be
premised	VVN	premise
on	IN	on
the	DT	the
assumption	NN	assumption
that	IN/that	that
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
is	VBZ	be
occupied	VVN	occupy
by	IN	by
Israel	NP	Israel
in	IN	in
its	PP$	its
2004	CD	@card@
advisor	NN	advisor
opinion	NN	opinion
on	IN	on
the	DT	the
legal	JJ	legal
consequences	NNS	consequence
of	IN	of
the	DT	the
construction	NN	construction
of	IN	of
a	DT	a
wall	NN	wall
in	IN	in
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
the	DT	the
court	NN	court
set	VVN	set
out	IN	out
the	DT	the
circumstances	NNS	circumstance
under	IN	under
which	WDT	which
a	DT	a
state	NN	state
of	IN	of
occupation	NN	occupation
is	VBZ	be
established	VVN	establish
the	DT	the
court	NN	court
observed	VVD	observe
that	IN/that	that
in	IN	in
the	DT	the
1967	CD	@card@
armed	JJ	armed
conflict	NN	conflict
Israel	NP	Israel
occupied	VVD	occupy
the	DT	the
territories	NNS	territory
situated	VVN	situate
between	IN	between
the	DT	the
green	JJ	green
line	NN	line
and	CC	and
the	DT	the
former	JJ	former
eastern	JJ	eastern
boundary	NN	boundary
of	IN	of
Palestine	NP	Palestine
under	IN	under
the	DT	the
British	JJ	British
mandate	NN	mandate
namely	RB	namely
the	DT	the
West	NP	West
Bank	NP	Bank
and	CC	and
East	NP	East
Jerusalem	NP	Jerusalem
the	DT	the
court	NN	court
affirmed	VVD	affirm
that	IN/that	that
subsequent	JJ	subsequent
events	NNS	event
had	VHD	have
not	RB	not
altered	VVN	alter
the	DT	the
status	NN	status
of	IN	of
the	DT	the
territories	NNS	territory
in	IN	in
questions	NNS	question
as	IN	as
occupied	JJ	occupied
territories	NNS	territory
nor	CC	nor
Israel	NP	Israel
'	POS	'
s	JJ	s
status	NN	status
as	IN	as
occupying	JJ	occupying
power	NN	power
in	IN	in
its	PP$	its
SW	NP	SW
advisor	NN	advisor
opinion	NN	opinion
the	DT	the
court	NN	court
did	VVD	do
not	RB	not
express	VV	express
a	DT	a
view	NN	view
as	RB	as
to	TO	to
the	DT	the
legal	JJ	legal
status	NN	status
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
the	DT	the
construction	NN	construction
of	IN	of
the	DT	the
wall	NN	wall
did	VVD	do
not	RB	not
affect	VV	affect
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
is	VBZ	be
an	DT	an
integral	JJ	integral
part	NN	part
of	IN	of
the	DT	the
territory	NN	territory
that	WDT	that
was	VBD	be
occupied	VVN	occupy
by	IN	by
Israel	NP	Israel
1967	CD	@card@
following	VVG	follow
the	DT	the
1967	CD	@card@
armed	JJ	armed
conflict	NN	conflict
Israel	NP	Israel
as	IN	as
the	DT	the
occupying	JJ	occupying
power	NN	power
placed	VVD	place
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
under	IN	under
its	PP$	its
effective	JJ	effective
control	NN	control
control	NN	control
however	RB	however
in	IN	in
2004	CD	@card@
Israel	NP	Israel
announced	VVD	announce
this	DT	this
engagement	NN	engagement
plan	NN	plan
according	VVG	accord
that	IN/that	that
plan	NN	plan
Israel	NP	Israel
was	VBD	be
to	TO	to
withdraw	VV	withdraw
its	PP$	its
military	JJ	military
presence	NN	presence
from	IN	from
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
from	IN	from
several	JJ	several
areas	NNS	area
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
West	NP	West
Bank	NP	Bank
by	IN	by
2005	CD	@card@
Israel	NP	Israel
had	VHD	have
completed	VVN	complete
the	DT	the
withdrawal	NN	withdrawal
of	IN	of
its	PP$	its
Army	NP	Army
and	CC	and
the	DT	the
removal	NN	removal
of	IN	of
the	DT	the
settlements	NNS	settlement
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
the	DT	the
court	NN	court
notes	VVZ	note
that	IN/that	that
the	DT	the
for	IN	for
the	DT	the
purpose	NN	purpose
of	IN	of
determining	VVG	determine
whether	IN	whether
a	DT	a
territory	NN	territory
remains	VVZ	remain
occupied	VVN	occupy
under	IN	under
international	JJ	international
law	NN	law
the	DT	the
decisive	JJ	decisive
Criterion	NN	criterion
is	VBZ	be
not	RB	not
whether	IN	whether
the	DT	the
occupying	JJ	occupying
power	NN	power
retained	VVD	retain
its	PP$	its
physical	JJ	physical
military	JJ	military
presence	NN	presence
in	IN	in
the	DT	the
territory	NN	territory
at	IN	at
all	DT	all
times	NNS	time
but	CC	but
rather	RB	rather
whether	IN	whether
its	PP$	its
Authority	NP	Authority
has	VHZ	have
been	VBN	be
established	VVN	establish
and	CC	and
can	MD	can
be	VB	be
exercised	VVN	exercise
based	VVN	base
on	IN	on
the	DT	the
information	NN	information
before	IN	before
the	DT	the
court	NN	court
it	PP	it
considers	VVZ	consider
that	IN/that	that
Israel	NP	Israel
remained	VVD	remain
capable	JJ	capable
of	IN	of
exercising	VVG	exercise
and	CC	and
continued	VVD	continue
to	TO	to
exercise	VV	exercise
certain	JJ	certain
key	JJ	key
elements	NNS	element
of	IN	of
authority	NN	authority
over	IN	over
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
including	VVG	include
control	NN	control
of	IN	of
the	DT	the
land	NN	land
sea	NN	sea
and	CC	and
air	NN	air
borders	NNS	border
restrictions	NNS	restriction
on	IN	on
the	DT	the
movement	NN	movement
of	IN	of
people	NNS	people
and	CC	and
goods	NNS	good
collection	NN	collection
of	IN	of
import	NN	import
of	IN	of
Import	NN	import
and	CC	and
Export	NN	export
taxes	NNS	tax
and	CC	and
Military	JJ	military
control	NN	control
over	IN	over
the	DT	the
buffer	NN	buffer
zone	NN	zone
despite	IN	despite
the	DT	the
withdrawal	NN	withdrawal
of	IN	of
its	PP$	its
military	JJ	military
presence	NN	presence
in	IN	in
2005	CD	@card@
this	DT	this
is	VBZ	be
even	RB	even
more	RBR	more
so	RB	so
since	IN	since
o	NN	o
October	NP	October
7	CD	@card@
2023	CD	@card@
in	IN	in
light	NN	light
of	IN	of
the	DT	the
above	IN	above
the	DT	the
code	NN	code
is	VBZ	be
of	IN	of
the	DT	the
view	NN	view
that	IN/that	that
Israel	NP	Israel
'	POS	'
s	JJ	s
withdrawal	NN	withdrawal
from	IN	from
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
has	VHZ	have
not	RB	not
entirely	RB	entirely
released	VVN	release
it	PP	it
of	IN	of
its	PP$	its
obligations	NNS	obligation
under	IN	under
the	DT	the
law	NN	law
of	IN	of
occupation	NN	occupation
Israel	NP	Israel
'	POS	'
s	NN	S
obligations	NNS	obligation
have	VHP	have
remained	VVN	remain
commensurate	JJ	commensurate
with	IN	with
the	DT	the
degree	NN	degree
of	IN	of
its	PP$	its
effective	JJ	effective
control	NN	control
over	IN	over
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
the	DT	the
court	NN	court
then	RB	then
turn	VV	turn
to	TO	to
the	DT	the
rules	NNS	rule
and	CC	and
principles	NNS	principle
that	WDT	that
are	VBP	be
relevant	JJ	relevant
for	IN	for
answering	VVG	answer
the	DT	the
questions	NNS	question
put	VVN	put
to	TO	to
it	PP	it
these	DT	these
include	VVP	include
the	DT	the
prohibition	NN	prohibition
of	IN	of
the	DT	the
acquisition	NN	acquisition
of	IN	of
territory	NN	territory
by	IN	by
threat	NN	threat
or	CC	or
use	NN	use
of	IN	of
force	NN	force
and	CC	and
the	DT	the
right	NN	right
of	IN	of
people	NNS	people
to	TO	to
self	JJ	self
-	NN	-
determination	NN	determination
which	WDT	which
are	VBP	be
enshrined	VVN	enshrine
in	IN	in
the	DT	the
charter	NN	charter
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
and	CC	and
also	RB	also
form	VV	form
part	NN	part
of	IN	of
customary	JJ	customary
law	NN	law
further	RBR	further
International	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
is	VBZ	be
of	IN	of
particular	JJ	particular
relevance	NN	relevance
Israel	NP	Israel
'	POS	'
s	NN	S
powers	NNS	power
and	CC	and
duties	NNS	duty
in	IN	in
the	DT	the
occupied	JJ	occupied
inan	JJ	inan
territory	NN	territory
are	VBP	be
governed	VVN	govern
by	IN	by
the	DT	the
Geneva	NP	Geneva
Convention	NP	Convention
relative	JJ	relative
to	TO	to
the	DT	the
protection	NN	protection
of	IN	of
Civilian	JJ	civilian
persons	NNS	person
in	IN	in
time	NN	time
of	IN	of
War	NP	War
of	IN	of
August	NP	August
12th	JJ	12th
1949	CD	@card@
to	TO	to
which	WDT	which
I	PP	I
shall	MD	shall
refer	VV	refer
as	IN	as
the	DT	the
Fourth	JJ	fourth
Geneva	NP	Geneva
Convention	NN	convention
which	WDT	which
is	VBZ	be
applicable	JJ	applicable
in	IN	in
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
and	CC	and
by	IN	by
customary	JJ	customary
international	JJ	international
law	NN	law
pursuing	VVG	pursue
to	TO	to
article	NN	article
154	CD	@card@
of	IN	of
the	DT	the
Fourth	JJ	fourth
Geneva	NP	Geneva
Convention	NP	Convention
that	IN/that	that
convention	NN	convention
is	VBZ	be
suppl	NN	suppl
m	NN	m
to	TO	to
the	DT	the
rules	NNS	rule
contained	VVN	contain
in	IN	in
sections	NNS	section
2	CD	@card@
and	CC	and
three	CD	three
of	IN	of
the	DT	the
heg	NN	heg
regulations	NNS	regulation
respecting	VVG	respect
the	DT	the
laws	NNS	law
and	CC	and
customs	NNS	custom
of	IN	of
for	IN	for
and	CC	and
on	IN	on
land	NN	land
Ann	NP	Ann
next	JJ	next
to	TO	to
that	DT	that
Convention	NN	convention
as	IN	as
the	DT	the
court	NN	court
has	VHZ	have
observed	VVN	observe
in	IN	in
its	PP$	its
Juris	NP	Juris
Prudence	NP	Prudence
The	DT	the
he	PP	he
regulations	NNS	regulation
have	VHP	have
become	VVN	become
part	NN	part
of	IN	of
customary	JJ	customary
international	JJ	international
law	NN	law
and	CC	and
they	PP	they
are	VBP	be
thus	RB	thus
binding	VVG	bind
on	IN	on
Israel	NP	Israel
as	RB	as
regards	VVZ	regard
international	JJ	international
human	JJ	human
rights	NNS	right
law	NN	law
the	DT	the
court	NN	court
observed	VVD	observe
that	WDT	that
is	VBZ	be
Isel	NP	Isel
is	VBZ	be
party	NN	party
to	TO	to
several	JJ	several
legal	JJ	legal
instruments	NNS	instrument
containing	VVG	contain
human	JJ	human
rights	NNS	right
obligations	NNS	obligation
including	VVG	include
the	DT	the
International	NP	International
Convention	NP	Convention
on	IN	on
the	DT	the
elimination	NN	elimination
of	IN	of
all	DT	all
forms	NNS	form
of	IN	of
racial	JJ	racial
discrimination	NN	discrimination
of	IN	of
21	CD	@card@
December	NP	December
1965	CD	@card@
to	TO	to
which	WDT	which
I	PP	I
shall	MD	shall
refer	VV	refer
to	TO	to
as	RB	as
SD	VV	SD
the	DT	the
international	JJ	international
Covenant	NP	Covenant
on	IN	on
economic	JJ	economic
social	JJ	social
and	CC	and
cultur	JJ	cultur
R	NN	R
of	IN	of
16	CD	@card@
December	NP	December
1966	CD	@card@
to	TO	to
which	WDT	which
I	PP	I
shall	MD	shall
refer	VV	refer
to	TO	to
as	IN	as
the	DT	the
I	NP	I
CCR	NP	CCR
and	CC	and
the	DT	the
international	JJ	international
Covenant	NP	Covenant
on	IN	on
civil	JJ	civil
and	CC	and
political	JJ	political
rights	NNS	right
of	IN	of
19	CD	@card@
December	NP	December
1966	CD	@card@
to	TO	to
which	WDT	which
I	PP	I
refer	VVP	refer
to	TO	to
as	RB	as
iccp	VV	iccp
the	DT	the
court	NN	court
records	VVZ	record
that	IN/that	that
international	JJ	international
human	JJ	human
rights	NNS	right
instruments	NNS	instrument
are	VBP	be
applicable	JJ	applicable
in	IN	in
respect	NN	respect
to	TO	to
acts	NNS	act
done	VVN	do
by	IN	by
a	DT	a
state	NN	state
in	IN	in
the	DT	the
exercise	NN	exercise
of	IN	of
its	PP$	its
jurisdiction	NN	jurisdiction
outside	IN	outside
its	PP$	its
own	JJ	own
territory	NN	territory
particularly	RB	particularly
in	IN	in
occupied	JJ	occupied
territories	NNS	territory
the	DT	the
court	NN	court
further	RBR	further
recalls	VVZ	recall
that	IN/that	that
the	DT	the
protection	NN	protection
offered	VVN	offer
by	IN	by
Human	NP	Human
Rights	NPS	Rights
Convention	NP	Convention
does	VVZ	do
not	RB	not
cease	VV	cease
in	IN	in
the	DT	the
case	NN	case
of	IN	of
armed	JJ	armed
conflict	NN	conflict
or	CC	or
of	IN	of
occupation	NN	occupation
some	DT	some
rights	NNS	right
may	MD	may
be	VB	be
may	MD	may
be	VB	be
exclusively	RB	exclusively
matters	NNS	matter
of	IN	of
international	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
others	NNS	other
may	MD	may
be	VB	be
exclusively	RB	exclusively
matters	NNS	matter
of	IN	of
human	JJ	human
rights	NNS	right
law	NN	law
yet	CC	yet
Others	NNS	other
May	NP	May
Concern	NN	concern
both	CC	both
these	DT	these
branches	NNS	branch
of	IN	of
international	JJ	international
law	NN	law
referring	VVG	refer
to	TO	to
its	PP$	its
SW	NP	SW
advisor	NN	advisor
opinion	NN	opinion
the	DT	the
court	NN	court
observes	VVZ	observe
that	IN/that	that
Israel	NP	Israel
remains	VVZ	remain
Bound	NP	Bound
by	IN	by
the	DT	the
icpr	NN	icpr
and	CC	and
the	DT	the
ICC	NP	ICC
in	IN	in
respect	NN	respect
of	IN	of
its	PP$	its
conduct	NN	conduct
with	IN	with
regard	NN	regard
to	TO	to
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
in	IN	in
relation	NN	relation
to	TO	to
third	JJ	third
the	DT	the
court	NN	court
knows	VVZ	know
that	IN/that	that
the	DT	the
convention	NN	convention
contains	VVZ	contain
no	DT	no
provision	NN	provision
expressly	RB	expressly
restricting	VVG	restrict
its	PP$	its
territorial	JJ	territorial
application	NN	application
on	IN	on
the	DT	the
contrary	NN	contrary
sever	VV	sever
several	JJ	several
of	IN	of
its	PP$	its
Provisions	NNS	provision
impose	VV	impose
obligations	NNS	obligation
on	IN	on
state	NN	state
parties	NNS	party
that	WDT	that
are	VBP	be
applicable	JJ	applicable
in	IN	in
territories	NNS	territory
under	IN	under
their	PP$	their
jurisdiction	NN	jurisdiction
or	CC	or
in	IN	in
relation	NN	relation
to	TO	to
individuals	NNS	individual
within	IN	within
their	PP$	their
jurisdiction	NN	jurisdiction
this	DT	this
indicat	NN	indicat
that	IN/that	that
third	NN	third
is	VBZ	be
also	RB	also
applicable	JJ	applicable
to	TO	to
conduct	VV	conduct
of	IN	of
a	DT	a
state	NN	state
party	NN	party
which	WDT	which
has	VHZ	have
effects	NNS	effect
Beyond	IN	beyond
its	PP$	its
territory	NN	territory
in	IN	in
the	DT	the
court	NN	court
view	NN	view
Israel	NP	Israel
must	MD	must
comply	VV	comply
with	IN	with
its	PP$	its
obligations	NNS	obligation
under	IN	under
ser	NN	ser
in	IN	in
circumstances	NNS	circumstance
in	IN	in
which	WDT	which
it	PP	it
exercises	VVZ	exercise
its	PP$	its
jurisdiction	NN	jurisdiction
outside	IN	outside
its	PP$	its
territory	NN	territory
as	IN	as
several	JJ	several
participants	NNS	participant
in	IN	in
the	DT	the
present	JJ	present
proceedings	NNS	proceeding
expressed	VVD	express
diverging	VVG	diverge
views	NNS	view
regarding	VVG	regard
the	DT	the
relevance	NN	relevance
of	IN	of
the	DT	the
Accord	NP	Accord
signed	VVD	sign
in	IN	in
1993	CD	@card@
and	CC	and
1995	CD	@card@
by	IN	by
Israel	NP	Israel
and	CC	and
the	DT	the
Palestine	NP	Palestine
Liber	NP	Liber
Liberation	NP	Liberation
Organization	NP	Organization
also	RB	also
known	VVN	know
as	IN	as
the	DT	the
Oslo	NP	Oslo
Accords	NPS	Accord
the	DT	the
court	NN	court
turns	VVZ	turn
to	TO	to
those	DT	those
agreements	NNS	agreement
the	DT	the
parties	NNS	party
to	TO	to
the	DT	the
Osa	NP	Osa
Accord	NP	Accord
agreed	VVD	agree
to	TO	to
and	CC	and
I	PP	I
quote	VVP	quote
exercise	VV	exercise
their	PP$	their
powers	NNS	power
and	CC	and
responsibility	NN	responsibility
pursuing	VVG	pursue
to	TO	to
the	DT	the
Accords	NNS	accord
with	IN	with
due	JJ	due
regard	NN	regard
to	TO	to
internationally	RB	internationally
accepted	VVN	accept
norms	NNS	norm
and	CC	and
principles	NNS	principle
of	IN	of
Human	NP	Human
Rights	NPS	Rights
and	CC	and
the	DT	the
rule	NN	rule
of	IN	of
law	NN	law
and	CC	and
of	IN	of
Court	NP	Court
the	DT	the
court	NN	court
records	VVZ	record
that	IN/that	that
in	IN	in
considered	VVN	consider
in	IN	in
its	PP$	its
whole	JJ	whole
opinion	NN	opinion
that	IN/that	that
the	DT	the
legitimate	JJ	legitimate
rights	NNS	right
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
recognized	VVN	recognize
in	IN	in
the	DT	the
Oslo	NP	Oslo
Accords	NPS	Accord
includes	VVZ	include
the	DT	the
right	NN	right
to	TO	to
self	JJ	self
determination	NN	determination
the	DT	the
court	NN	court
observed	VVD	observe
that	IN/that	that
in	IN	in
interpreting	VVG	interpret
the	DT	the
osto	NN	osto
Accords	NPS	Accord
it	PP	it
'	POS	'
s	NN	S
necessary	JJ	necessary
to	TO	to
take	VV	take
into	IN	into
account	NN	account
article	NN	article
47	CD	@card@
of	IN	of
the	DT	the
Fourth	JJ	fourth
Geneva	NP	Geneva
Convention	NN	convention
which	WDT	which
provides	VVZ	provide
that	IN/that	that
the	DT	the
protected	JJ	protected
population	NN	population
shall	MD	shall
not	RB	not
be	VB	be
deprived	VVN	deprive
of	IN	of
the	DT	the
benefits	NNS	benefit
of	IN	of
convention	NN	convention
and	CC	and
I	PP	I
quote	VVP	quote
by	IN	by
any	DT	any
agreement	NN	agreement
concluded	VVD	conclude
between	IN	between
the	DT	the
authorities	NNS	authority
of	IN	of
the	DT	the
occupied	JJ	occupied
territories	NNS	territory
and	CC	and
the	DT	the
occupying	JJ	occupying
power	NN	power
and	CC	and
of	IN	of
course	NN	course
for	IN	for
all	PDT	all
these	DT	these
reasons	NNS	reason
the	DT	the
court	NN	court
considers	VVZ	consider
that	IN/that	that
these	DT	these
Accords	NPS	Accord
cannot	MD	can
be	VB	be
understood	VVN	understand
to	TO	to
detract	VV	detract
from	IN	from
Israel	NP	Israel
'	POS	'
s	JJ	s
obligations	NNS	obligation
under	IN	under
the	DT	the
pertinent	JJ	pertinent
rules	NNS	rule
of	IN	of
international	JJ	international
law	NN	law
applicable	JJ	applicable
in	IN	in
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
the	DT	the
court	NN	court
then	RB	then
assesses	VVZ	assess
the	DT	the
Conformity	NN	conformity
of	IN	of
Israel	NP	Israel
'	POS	'
s	NN	S
policies	NNS	policy
and	CC	and
practices	NNS	practice
in	IN	in
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
as	IN	as
identified	VVN	identify
in	IN	in
question	NN	question
a	DT	a
with	IN	with
its	PP$	its
obligations	NNS	obligation
under	IN	under
international	JJ	international
law	NN	law
in	IN	in
particular	JJ	particular
the	DT	the
Court	NP	Court
'	POS	'
s	NN	S
analysis	NN	analysis
examines	VVZ	examine
in	RB	in
turn	VV	turn
the	DT	the
question	NN	question
of	IN	of
the	DT	the
prolonged	JJ	prolonged
occupation	NN	occupation
Israel	NP	Israel
'	POS	'
s	JJ	s
policy	NN	policy
of	IN	of
settlement	NN	settlement
the	DT	the
annexation	NN	annexation
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
territory	NN	territory
occupi	NNS	occupi
since	IN	since
1967	CD	@card@
and	CC	and
its	PP$	its
adoption	NN	adoption
of	IN	of
related	JJ	related
legislation	NN	legislation
and	CC	and
measures	NNS	measure
that	WDT	that
are	VBP	be
Ely	NP	Ely
discriminatory	JJ	discriminatory
the	DT	the
court	NN	court
appraises	VVZ	appraise
whether	IN	whether
and	CC	and
if	IN	if
so	RB	so
how	WRB	how
Israel	NP	Israel
policies	NNS	policy
and	CC	and
practices	NNS	practice
affect	VVP	affect
the	DT	the
right	NN	right
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
to	TO	to
self	JJ	self
-	NN	-
determination	NN	determination
after	IN	after
those	DT	those
other	JJ	other
questions	NNS	question
have	VH	have
been	VBN	be
consider	VV	consider
with	IN	with
regard	NN	regard
to	TO	to
the	DT	the
question	NN	question
of	IN	of
prolonged	JJ	prolonged
occupation	NN	occupation
the	DT	the
court	NN	court
notes	NNS	note
that	WDT	that
question	VVP	question
a	DT	a
concerns	NNS	concern
in	IN	in
part	NN	part
the	DT	the
legal	JJ	legal
consequences	NNS	consequence
arising	VVG	arise
from	IN	from
Israel	NP	Israel
'	POS	'
s	NNS	s
again	RB	again
quote	VVP	quote
unquote	VV	unquote
prolonged	JJ	prolonged
occupation	NN	occupation
of	IN	of
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
in	IN	in
this	DT	this
regard	NN	regard
the	DT	the
court	NN	court
note	VVP	note
that	IN/that	that
Israel	NP	Israel
occupation	NN	occupation
has	VHZ	have
lasted	VVN	last
for	IN	for
more	JJR	more
than	IN	than
57	CD	@card@
years	NNS	year
in	IN	in
order	NN	order
to	TO	to
answer	VV	answer
this	DT	this
aspect	NN	aspect
of	IN	of
the	DT	the
question	NN	question
the	DT	the
court	NN	court
must	MD	must
turn	VV	turn
to	TO	to
the	DT	the
relationship	NN	relationship
between	IN	between
Israel	NP	Israel
as	IN	as
the	DT	the
occupying	JJ	occupying
power	NN	power
and	CC	and
the	DT	the
protected	VVN	protect
population	NN	population
of	IN	of
the	DT	the
occupied	JJ	occupied
territory	NN	territory
which	WDT	which
is	VBZ	be
governed	VVN	govern
by	IN	by
the	DT	the
law	NN	law
occupation	NN	occupation
by	IN	by
virtue	NN	virtue
of	IN	of
its	PP$	its
status	NN	status
as	IN	as
an	DT	an
occupying	JJ	occupying
power	NN	power
a	DT	a
States	NPS	States
assumes	VVZ	assume
a	DT	a
set	NN	set
of	IN	of
powers	NNS	power
