earlier	RBR	earlier
sorry	RB	sorry
we	PP	we
'	POS	'
re	NN	re
just	RB	just
about	RB	about
out	IN	out
of	IN	of
time	NN	time
I	PP	I
just	RB	just
wanted	VVD	want
to	TO	to
ask	VV	ask
you	PP	you
one	CD	one
more	JJR	more
questions	NNS	question
about	IN	about
the	DT	the
hostages	NNS	hostage
which	WDT	which
I	PP	I
I	PP	I
mentioned	VVD	mention
earlier	JJR	early
um	NNS	um
what	WDT	what
efforts	NNS	effort
are	VBP	be
underway	JJ	underway
to	TO	to
get	VV	get
those	DT	those
hostages	NNS	hostage
released	VVN	release
briefly	RB	briefly
if	IN	if
you	PP	you
can	MD	can
the	DT	the
hostage	NN	hostage
issue	NN	issue
as	IN	as
I	PP	I
said	VVD	say
220	CD	@card@
people	NNS	people
the	DT	the
families	NNS	family
of	IN	of
220	CD	@card@
people	NNS	people
that	WDT	that
have	VHP	have
been	VBN	be
torn	VVN	tear
to	TO	to
pieces	NNS	piece
for	IN	for
19	CD	@card@
days	NNS	day
now	RB	now
a	DT	a
reality	NN	reality
that	IN/that	that
I	PP	I
can	MD	can
'	''	'
t	NN	t
imagine	VV	imagine
the	DT	the
pain	NN	pain
that	IN/that	that
they	PP	they
are	VBP	be
going	VVG	go
through	RP	through
and	CC	and
we	PP	we
are	VBP	be
and	CC	and
and	CC	and
I	PP	I
'	POS	'
m	NN	m
saying	VVG	say
that	IN/that	that
the	DT	the
IDF	NP	IDF
has	VHZ	have
put	VVN	put
at	IN	at
the	DT	the
top	NN	top
of	IN	of
our	PP$	our
priority	NN	priority
both	CC	both
for	IN	for
operational	JJ	operational
and	CC	and
civilian	JJ	civilian
efforts	NNS	effort
in	IN	in
order	NN	order
to	TO	to
bring	VV	bring
them	PP	them
home	RB	home
immediately	RB	immediately
it	PP	it
is	VBZ	be
hamas	NN	hamas
'	POS	'
s	JJ	s
responsibility	NN	responsibility
for	IN	for
their	PP$	their
welfare	NN	welfare
we	PP	we
'	POS	'
re	NN	re
demanding	VVG	demand
uh	UH	uh
International	NP	International
Committee	NP	Committee
of	IN	of
the	DT	the
Red	NP	Red
Cross	NP	Cross
have	VHP	have
access	NN	access
to	TO	to
them	PP	them
and	CC	and
I	PP	I
would	MD	would
say	VV	say
we	PP	we
will	MD	will
go	VV	go
no	UH	no
uh	UH	uh
uh	UH	uh
to	TO	to
any	DT	any
length	NN	length
in	IN	in
order	NN	order
to	TO	to
bring	VV	bring
them	PP	them
home	NN	home
they	PP	they
are	VBP	be
the	DT	the
top	NN	top
of	IN	of
our	PP$	our
prior	JJ	prior
priority	NN	priority
they	PP	they
need	VVP	need
to	TO	to
be	VB	be
let	VVN	let
let	VVN	let
free	RB	free
now	RB	now
um	JJ	um
um	NN	um
Hamas	NNS	Hamas
have	VHP	have
that	DT	that
responsibility	NN	responsibility
we	PP	we
are	VBP	be
expecting	VVG	expect
them	PP	them
to	TO	to
come	VV	come
home	NN	home
now	RB	now
Peter	NP	Peter
Lana	NP	Lana
of	IN	of
the	DT	the
Israeli	JJ	Israeli
Defense	NN	defense
Forces	NNS	force
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
talking	VVG	talk
with	IN	with
us	PP	us
today	RB	today
thank	VVP	thank
you	PP	you
good	JJ	good
day	NN	day
and	CC	and
we	PP	we
can	MD	can
now	RB	now
talk	VV	talk
to	TO	to
Margaret	NP	Margaret
Harris	NP	Harris
a	DT	a
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
she	PP	she
joins	VVZ	join
us	PP	us
from	IN	from
Geneva	NP	Geneva
Miss	NP	Miss
Harris	NP	Harris
I	PP	I
understand	VVP	understand
you	PP	you
'	''	'
re	NN	re
in	IN	in
touch	NN	touch
with	IN	with
your	PP$	your
w	NN	w
uh	UH	uh
colleagues	NNS	colleague
in	IN	in
Gaza	NP	Gaza
what	WP	what
are	VBP	be
they	PP	they
telling	VVG	tell
you	PP	you
they	PP	they
'	''	'
re	IN	re
telling	VVG	tell
me	PP	me
that	IN/that	that
they	PP	they
'	POS	'
re	NN	re
not	RB	not
sleeping	VVG	sleep
they	PP	they
'	POS	'
re	NN	re
bombardments	NNS	bombardment
all	PDT	all
the	DT	the
time	NN	time
they	PP	they
'	POS	'
re	NN	re
not	RB	not
sleeping	VVG	sleep
because	IN	because
of	IN	of
the	DT	the
bombardments	NNS	bombardment
but	CC	but
also	RB	also
because	IN	because
of	IN	of
the	DT	the
anxiety	NN	anxiety
about	IN	about
trying	VVG	try
to	TO	to
get	VV	get
the	DT	the
supplies	NNS	supply
to	TO	to
the	DT	the
hospitals	NNS	hospital
they	PP	they
'	POS	'
ve	NN	ve
only	RB	only
been	VBN	be
able	JJ	able
to	TO	to
supply	VV	supply
four	CD	four
hospitals	NNS	hospital
from	IN	from
the	DT	the
trucks	NNS	truck
that	IN/that	that
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
get	VV	get
through	IN	through
beginning	VVG	begin
Sunday	NP	Sunday
because	IN	because
there	RB	there
'	''	'
s	VVG	s
no	DT	no
safe	JJ	safe
way	NN	way
to	TO	to
get	VV	get
to	TO	to
many	JJ	many
of	IN	of
the	DT	the
hospitals	NNS	hospital
in	IN	in
the	DT	the
center	NN	center
and	CC	and
the	DT	the
North	JJ	North
and	CC	and
there	EX	there
'	''	'
s	VVG	s
no	DT	no
guarantees	NNS	guarantee
from	IN	from
any	DT	any
sides	NNS	side
that	IN/that	that
they	PP	they
will	MD	will
be	VB	be
safe	JJ	safe
so	IN	so
uh	UH	uh
and	CC	and
wherever	WRB	wherever
they	PP	they
go	VVP	go
the	DT	the
need	NN	need
is	VBZ	be
so	RB	so
desperate	JJ	desperate
they	PP	they
they	PP	they
describe	VVP	describe
how	WRB	how
they	PP	they
arrive	VVP	arrive
at	IN	at
a	DT	a
hospital	NN	hospital
the	DT	the
staff	NN	staff
open	VV	open
the	DT	the
door	NN	door
go	VV	go
through	IN	through
the	DT	the
boxes	NNS	box
and	CC	and
get	VV	get
the	DT	the
the	DT	the
the	DT	the
drugs	NNS	drug
particularly	RB	particularly
the	DT	the
anesthetic	JJ	anesthetic
drugs	NNS	drug
that	IN/that	that
they	PP	they
desperately	RB	desperately
need	VVP	need
to	TO	to
use	VV	use
to	TO	to
operate	VV	operate
on	IN	on
the	DT	the
people	NNS	people
who	WP	who
until	IN	until
they	PP	they
had	VHD	have
those	DT	those
drugs	NNS	drug
sometimes	RB	sometimes
times	CC	times
the	DT	the
doctors	NNS	doctor
even	RB	even
had	VHD	have
to	TO	to
operate	VV	operate
on	IN	on
them	PP	them
without	IN	without
anesthetic	NN	anesthetic
the	DT	the
UN	NP	UN
is	VBZ	be
warning	VVG	warn
that	IN/that	that
Gaza	NP	Gaza
could	MD	could
run	VV	run
out	RP	out
of	IN	of
fuel	NN	fuel
by	IN	by
the	DT	the
end	NN	end
of	IN	of
this	DT	this
day	NN	day
Wednesday	NN	Wednesday
what	WP	what
would	MD	would
that	RB	that
mean	VV	mean
for	IN	for
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
there	EX	there
it	PP	it
would	MD	would
mean	VV	mean
death	NN	death
for	IN	for
so	RB	so
many	JJ	many
patients	NNS	patient
we	PP	we
know	VVP	know
of	IN	of
300	CD	@card@
babies	NNS	baby
that	DT	that
uh	UH	uh
are	VBP	be
in	IN	in
sorry	RB	sorry
150	CD	@card@
30	CD	@card@
babies	NNS	baby
premature	JJ	premature
babies	NNS	baby
who	WP	who
are	VBP	be
dependent	JJ	dependent
on	IN	on
the	DT	the
electricity	NN	electricity
to	TO	to
keep	VV	keep
them	PP	them
warm	JJ	warm
to	TO	to
keep	VV	keep
the	DT	the
the	DT	the
ventilators	NNS	ventilator
going	VVG	go
there	EX	there
are	VBP	be
a	DT	a
thousand	CD	thousand
dialysis	NN	dialysis
patients	NNS	patient
there	EX	there
are	VBP	be
pregnant	JJ	pregnant
women	NNS	woman
an	DT	an
average	NN	average
you	PP	you
give	VVP	give
an	DT	an
average	NN	average
of	IN	of
183	CD	@card@
births	NNS	birth
happening	VVG	happen
per	IN	per
day	NN	day
so	IN	so
that	WDT	that
needs	VVZ	need
light	NN	light
and	CC	and
warmth	NN	warmth
as	RB	as
well	RB	well
there	EX	there
are	VBP	be
350	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
who	WP	who
need	VVP	need
continual	JJ	continual
care	NN	care
and	CC	and
there	EX	there
are	VBP	be
the	DT	the
thousands	NNS	thousand
of	IN	of
people	NNS	people
who	WP	who
are	VBP	be
being	VBG	be
injured	VVN	injure
every	DT	every
day	NN	day
and	CC	and
without	IN	without
the	DT	the
electricity	NN	electricity
you	PP	you
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
the	DT	the
light	NN	light
you	PP	you
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
the	DT	the
Machinery	NP	Machinery
you	PP	you
cannot	MD	can
function	VV	function
you	PP	you
cannot	MD	can
provide	VV	provide
the	DT	the
safe	JJ	safe
space	NN	space
that	IN/that	that
a	DT	a
hospital	NN	hospital
needs	VVZ	need
to	TO	to
be	VB	be
there	RB	there
'	POS	'
s	NN	S
also	RB	also
a	DT	a
link	NN	link
between	IN	between
lack	NN	lack
of	IN	of
fuel	NN	fuel
and	CC	and
the	DT	the
spread	NN	spread
of	IN	of
waterborne	JJ	waterborne
diseases	NNS	disease
I	PP	I
'	POS	'
m	NN	m
told	VVN	tell
to	TO	to
why	WRB	why
is	VBZ	be
the	DT	the
fuel	NN	fuel
so	RB	so
necessary	JJ	necessary
for	IN	for
providing	VVG	provide
clean	JJ	clean
water	NN	water
to	TO	to
uh	UH	uh
the	DT	the
people	NNS	people
living	VVG	live
in	IN	in
Gaza	NP	Gaza
that	WDT	that
'	POS	'
s	NNS	s
correct	JJ	correct
because	IN	because
it	PP	it
'	POS	'
s	NNS	s
used	VVN	use
for	IN	for
the	DT	the
desalination	NN	desalination
plants	NNS	plant
and	CC	and
the	DT	the
desalination	NN	desalination
plants	NNS	plant
are	VBP	be
the	DT	the
only	JJ	only
way	NN	way
people	NNS	people
are	VBP	be
getting	VVG	get
water	NN	water
at	IN	at
the	DT	the
moment	NN	moment
because	IN	because
the	DT	the
not	RB	not
much	JJ	much
water	NN	water
'	POS	'
s	NNS	s
coming	VVG	come
in	IN	in
as	IN	as
you	PP	you
know	VVP	know
there	EX	there
'	''	'
s	RB	s
been	VBN	be
a	DT	a
blockade	VV	blockade
uh	UH	uh
at	IN	at
the	DT	the
moment	NN	moment
people	NNS	people
are	VBP	be
getting	VVG	get
no	RB	no
more	JJR	more
than	IN	than
3	CD	@card@
lers	NNS	lers
per	IN	per
day	NN	day
and	CC	and
the	DT	the
the	DT	the
basic	JJ	basic
standard	NN	standard
for	IN	for
for	IN	for
a	DT	a
person	NN	person
is	VBZ	be
15	CD	@card@
lers	NNS	lers
per	IN	per
day	NN	day
you	PP	you
need	VVP	need
that	IN/that	that
for	IN	for
washing	VVG	wash
cooking	NN	cooking
and	CC	and
drinking	NN	drinking
and	CC	and
if	IN	if
you	PP	you
'	POS	'
re	NN	re
not	RB	not
getting	VVG	get
that	IN/that	that
you	PP	you
'	POS	'
re	NN	re
not	RB	not
able	JJ	able
to	TO	to
wash	VV	wash
certainly	RB	certainly
you	PP	you
'	''	'
re	IN	re
not	RB	not
a	DT	a
to	TO	to
cook	VV	cook
safely	RB	safely
and	CC	and
you	PP	you
may	MD	may
well	RB	well
be	VB	be
drinking	VVG	drink
dirty	JJ	dirty
water	NN	water
so	IN	so
you	PP	you
are	VBP	be
highly	RB	highly
likely	JJ	likely
to	TO	to
be	VB	be
getting	VVG	get
gastroenterological	JJ	gastroenterological
diseases	NNS	disease
now	RB	now
the	DT	the
Israeli	JJ	Israeli
military	NN	military
says	VVZ	say
it	PP	it
has	VHZ	have
good	JJ	good
reasons	NNS	reason
for	IN	for
not	RB	not
allowing	VVG	allow
fuel	NN	fuel
in	IN	in
to	TO	to
enter	VV	enter
Gaza	NP	Gaza
what	WP	what
do	VVP	do
you	PP	you
say	VVP	say
to	TO	to
that	DT	that
market	NN	market
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	IN	about
health	NN	health
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	IN	about
hospitals	NNS	hospital
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	IN	about
15	CD	@card@
,	,	,
000	CD	@card@
injured	JJ	injured
people	NNS	people
and	CC	and
people	NNS	people
being	VBG	be
injured	VVN	injure
every	DT	every
day	NN	day
that	IN/that	that
there	EX	there
is	VBZ	be
no	DT	no
other	JJ	other
way	NN	way
that	IN/that	that
hospitals	NNS	hospital
can	MD	can
generate	VV	generate
electricity	NN	electricity
they	PP	they
do	VVP	do
not	RB	not
have	VH	have
the	DT	the
any	DT	any
electricity	NN	electricity
coming	VVG	come
in	IN	in
they	PP	they
can	MD	can
only	RB	only
do	VV	do
it	PP	it
with	IN	with
generators	NNS	generator
and	CC	and
the	DT	the
only	JJ	only
way	NN	way
those	DT	those
generators	NNS	generator
going	VVG	go
to	TO	to
work	VV	work
is	VBZ	be
with	IN	with
fuel	NN	fuel
Israel	NP	Israel
has	VHZ	have
called	VVN	call
for	IN	for
civilians	NNS	civilian
to	TO	to
leave	VV	leave
Northern	NP	Northern
Gaza	NP	Gaza
to	TO	to
go	VV	go
to	TO	to
the	DT	the
South	NP	South
many	RB	many
have	VHP	have
stayed	VVN	stay
there	RB	there
in	IN	in
the	DT	the
north	NN	north
do	VVP	do
you	PP	you
have	VHP	have
any	DT	any
idea	NN	idea
what	WP	what
the	DT	the
situation	NN	situation
is	VBZ	be
like	JJ	like
for	IN	for
those	DT	those
people	NNS	people
who	WP	who
have	VHP	have
remained	VVN	remain
in	IN	in
the	DT	the
north	NN	north
it	PP	it
'	POS	'
s	NN	S
must	MD	must
be	VB	be
terrifying	JJ	terrifying
but	CC	but
it	PP	it
'	POS	'
s	NN	S
also	RB	also
terrifying	JJ	terrifying
for	IN	for
the	DT	the
people	NNS	people
in	IN	in
the	DT	the
South	NP	South
they	PP	they
are	VBP	be
also	RB	also
receiving	VVG	receive
bombardment	NN	bombardment
and	CC	and
I	PP	I
am	VBP	be
hearing	VVG	hear
from	IN	from
my	PP$	my
our	PP$	our
colleagues	NNS	colleague
on	IN	on
the	DT	the
ground	NN	ground
that	WDT	that
uh	UH	uh
many	JJ	many
people	NNS	people
who	WP	who
came	VVD	come
down	RP	down
from	IN	from
the	DT	the
north	NN	north
have	VHP	have
moved	VVN	move
back	RB	back
again	RB	again
because	IN	because
they	PP	they
don	NN	don
'	POS	'
t	NN	t
feel	VVP	feel
any	DT	any
safer	JJR	safe
in	IN	in
the	DT	the
south	NN	south
they	PP	they
talk	VVP	talk
about	IN	about
people	NNS	people
sort	NN	sort
of	IN	of
running	VVG	run
when	WRB	when
they	PP	they
hear	VVP	hear
the	DT	the
bombs	NNS	bomb
running	VVG	run
somewhere	RB	somewhere
else	RB	else
running	VVG	run
somewhere	RB	somewhere
else	RB	else
I	PP	I
cannot	MD	can
even	RB	even
begin	VV	begin
to	TO	to
imagine	VV	imagine
what	WP	what
this	DT	this
is	VBZ	be
doing	VVG	do
to	TO	to
their	PP$	their
mental	JJ	mental
health	NN	health
particularly	RB	particularly
the	DT	the
terror	NN	terror
the	DT	the
children	NNS	child
are	VBP	be
feeling	VVG	feel
Margaret	NP	Margaret
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
talking	VVG	talk
with	IN	with
us	PP	us
today	NN	today
that	WDT	that
was	VBD	be
Margaret	NP	Margaret
Harris	NP	Harris
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
well	RB	well
Germany	NP	Germany
has	VHZ	have
voiced	VVN	voice
strong	JJ	strong
support	NN	support
for	IN	for
Israel	NP	Israel
since	IN	since
the	DT	the
Hamas	JJ	Hamas
terror	NN	terror
attack	NN	attack
foreign	JJ	foreign
minister	NN	minister
analina	NN	analina
Bach	NN	bach
was	VBD	be
among	IN	among
the	DT	the
diplomats	NNS	diplomat
who	WP	who
addressed	VVD	address
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
on	IN	on
Tuesday	NP	Tuesday
she	PP	she
also	RB	also
appealed	VVD	appeal
for	IN	for
humanitarian	JJ	humanitarian
relief	NN	relief
the	DT	the
fight	NN	fight
is	VBZ	be
against	IN	against
Hamas	NN	Hamas
and	CC	and
not	RB	not
against	IN	against
civilians	NNS	civilian
that	WDT	that
is	VBZ	be
why	WRB	why
that	DT	that
is	VBZ	be
why	WRB	why
it	PP	it
'	POS	'
s	NNS	s
crucial	JJ	crucial
for	IN	for
us	PP	us
that	IN/that	that
this	DT	this
fight	NN	fight
must	MD	must
be	VB	be
carried	VVN	carry
out	RP	out
in	IN	in
line	NN	line
with	IN	with
humanitarian	JJ	humanitarian
law	NN	law
with	IN	with
the	DT	the
greatest	JJS	great
possible	JJ	possible
conservation	NN	conservation
for	IN	for
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
that	WDT	that
is	VBZ	be
why	WRB	why
my	PP$	my
country	NN	country
Germany	NP	Germany
is	VBZ	be
increasing	VVG	increase
our	PP$	our
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
GAA	NP	GAA
by	IN	by
50	CD	@card@
million	CD	million
Europe	NP	Europe
of	IN	of
which	WDT	which
19	CD	@card@
million	CD	million
go	NN	go
to	TO	to
unra	NN	unra
that	WDT	that
is	VBZ	be
why	WRB	why
we	PP	we
need	VVP	need
humanitarian	JJ	humanitarian
windows	NNS	window
so	RB	so
that	IN/that	that
those	DT	those
who	WP	who
are	VBP	be
suffering	NN	suffering
can	MD	can
get	VV	get
help	NN	help
in	IN	in
Gaza	NP	Gaza
let	NN	let
'	POS	'
s	NNS	s
bring	VVP	bring
in	IN	in
Johan	NP	Johan
vadol	NN	vadol
here	IN	here
he	PP	he
'	POS	'
s	NN	S
the	DT	the
deputy	JJ	deputy
head	NN	head
of	IN	of
the	DT	the
CDU	NP	CDU
CSU	NP	CSU
parliamentary	JJ	parliamentary
group	NN	group
in	IN	in
Germany	NP	Germany
and	CC	and
an	DT	an
expert	NN	expert
on	IN	on
defense	NN	defense
and	CC	and
foreign	JJ	foreign
policy	NN	policy
welcome	JJ	welcome
to	TO	to
the	DT	the
program	NN	program
we	PP	we
just	RB	just
heard	VVD	hear
uh	UH	uh
foreign	JJ	foreign
minister	NN	minister
babok	NNS	babok
there	RB	there
announcing	VVG	announce
a	DT	a
new	JJ	new
Aid	NN	aid
package	NN	package
for	IN	for
Gaza	NP	Gaza
after	IN	after
repeating	VVG	repeat
Germany	NP	Germany
that	IN/that	that
Germany	NP	Germany
stands	VVZ	stand
by	IN	by
Israel	NP	Israel
uh	UH	uh
in	IN	in
the	DT	the
face	NN	face
of	IN	of
Civilian	JJ	civilian
casualties	NNS	casualty
mounting	VVG	mount
in	IN	in
Gaza	NP	Gaza
and	CC	and
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
there	EX	there
is	VBZ	be
there	RB	there
a	DT	a
red	JJ	red
line	NN	line
for	IN	for
Germany	NP	Germany
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
supporting	VVG	support
netanyahu	NP	netanyahu
'	POS	'
s	NN	S
government	NN	government
now	RB	now
I	PP	I
think	VVP	think
um	NNS	um
thinking	VVG	think
in	IN	in
in	IN	in
red	JJ	red
lines	NNS	line
is	VBZ	be
is	VBZ	be
not	RB	not
the	DT	the
the	DT	the
um	JJ	um
necessary	JJ	necessary
approach	NN	approach
in	IN	in
that	DT	that
very	JJ	very
situation	NN	situation
Israel	NP	Israel
is	VBZ	be
in	IN	in
now	RB	now
you	PP	you
know	VV	know
uh	UH	uh
due	JJ	due
to	TO	to
our	PP$	our
responsibility	NN	responsibility
uh	UH	uh
after	IN	after
uh	UH	uh
being	VBG	be
uh	UH	uh
responsible	JJ	responsible
for	IN	for
the	DT	the
Holocaust	NN	holocaust
for	IN	for
killing	VVG	kill
millions	NNS	million
of	IN	of
Jews	NPS	Jews
uh	UH	uh
there	RB	there
has	VHZ	have
no	DT	no
doubt	NN	doubt
that	IN/that	that
Germany	NP	Germany
is	VBZ	be
uh	UH	uh
close	VV	close
to	TO	to
Israel	NP	Israel
is	VBZ	be
supporting	VVG	support
Israel	NP	Israel
fully	RB	fully
in	IN	in
its	PP$	its
combat	NN	combat
against	IN	against
Hamas	NP	Hamas
Hamas	NP	Hamas
is	VBZ	be
the	DT	the
very	RB	very
reason	VV	reason
uh	UH	uh
for	IN	for
the	DT	the
situation	NN	situation
we	PP	we
are	VBP	be
in	IN	in
now	RB	now
and	CC	and
if	IN	if
there	EX	there
is	VBZ	be
a	DT	a
chance	NN	chance
to	TO	to
solve	VV	solve
especially	RB	especially
the	DT	the
problems	NNS	problem
for	IN	for
the	DT	the
civilians	NNS	civilian
who	WP	who
may	MD	may
be	VB	be
injured	VVN	injure
uh	UH	uh
in	IN	in
the	DT	the
in	IN	in
the	DT	the
fight	NN	fight
ahead	RB	ahead
it	PP	it
is	VBZ	be
Hamas	JJ	Hamas
who	WP	who
can	MD	can
solve	VV	solve
the	DT	the
problem	NN	problem
if	IN	if
they	PP	they
give	VVP	give
up	RP	up
their	PP$	their
terrorist	JJ	terrorist
fight	NN	fight
against	IN	against
Israel	NP	Israel
if	IN	if
they	PP	they
leave	VVP	leave
their	PP$	their
arms	NNS	arm
beside	IN	beside
and	CC	and
if	IN	if
they	PP	they
come	VVP	come
back	RB	back
to	TO	to
a	DT	a
negotiation	NN	negotiation
table	NN	table
and	CC	and
of	IN	of
course	NN	course
there	EX	there
are	VBP	be
legitimate	JJ	legitimate
rights	NNS	right
of	IN	of
Palestinians	NPS	Palestinians
and	CC	and
uh	UH	uh
everybody	NN	everybody
is	VBZ	be
in	IN	in
favor	NN	favor
of	IN	of
a	DT	a
two	CD	two
states	NNS	state
solution	NN	solution
but	CC	but
not	RB	not
in	IN	in
this	DT	this
way	NN	way
not	RB	not
by	IN	by
killing	VVG	kill
more	JJR	more
than	IN	than
thousand	CD	thousand
israelian	NN	israelian
not	RB	not
through	IN	through
terrorist	JJ	terrorist
attacks	NNS	attack
so	RB	so
in	IN	in
that	DT	that
very	JJ	very
stage	NN	stage
Germany	NP	Germany
fully	RB	fully
supports	VVZ	support
Israel	NP	Israel
now	RB	now
Israel	NP	Israel
says	VVZ	say
it	PP	it
wants	VVZ	want
to	TO	to
wipe	VV	wipe
out	RP	out
Hamas	VVG	Hamas
uh	UH	uh
after	IN	after
that	DT	that
horrible	JJ	horrible
attack	NN	attack
on	IN	on
October	NP	October
7th	JJ	7th
but	CC	but
there	EX	there
are	VBP	be
voices	NNS	voice
who	WP	who
say	VVP	say
that	IN/that	that
the	DT	the
current	JJ	current
war	NN	war
will	MD	will
breed	VV	breed
more	JJR	more
hatred	NN	hatred
and	CC	and
extremism	NN	extremism
we	PP	we
heard	VVD	hear
German	JJ	German
Chancellor	NP	Chancellor
Olaf	NP	Olaf
Schultz	NP	Schultz
talking	VVG	talk
to	TO	to
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
urging	VVG	urge
him	PP	him
not	RB	not
to	TO	to
be	VB	be
blinded	VVN	blind
by	IN	by
rage	NN	rage
um	NNS	um
what	WP	what
'	''	'
s	VVG	s
your	PP$	your
take	NN	take
is	VBZ	be
Israel	NP	Israel
on	IN	on
the	DT	the
right	JJ	right
path	NN	path
now	RB	now
yes	RB	yes
it	PP	it
is	VBZ	be
on	IN	on
the	DT	the
right	JJ	right
path	NN	path
you	PP	you
have	VHP	have
not	RB	not
seen	VVN	see
a	DT	a
full	JJ	full
-	NN	-
fledged	VVD	fledge
offensive	JJ	offensive
on	IN	on
the	DT	the
ground	NN	ground
so	IN	so
I	PP	I
do	VVP	do
not	RB	not
see	VV	see
rage	NN	rage
but	CC	but
I	PP	I
see	VVP	see
but	CC	but
I	PP	I
see	VVP	see
in	IN	in
Israel	NP	Israel
which	WDT	which
is	VBZ	be
uh	UH	uh
clearly	RB	clearly
decided	VVN	decide
to	TO	to
really	RB	really
wipe	VV	wipe
out	RP	out
these	DT	these
terrorists	NNS	terrorist
and	CC	and
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
very	RB	very
necessary	JJ	necessary
I	PP	I
do	VVP	do
not	RB	not
see	VV	see
any	DT	any
other	JJ	other
solution	NN	solution
and	CC	and
I	PP	I
would	MD	would
have	VH	have
expected	VVN	expect
that	IN/that	that
the	DT	the
UN	NP	UN
Council	NP	Council
and	CC	and
especially	RB	especially
the	DT	the
general	JJ	general
secretary	NN	secretary
could	MD	could
have	VH	have
urged	VVN	urge
the	DT	the
Arabic	JJ	Arabic
countries	NNS	country
who	WP	who
are	VBP	be
of	IN	of
course	NN	course
taking	VVG	take
care	NN	care
of	IN	of
the	DT	the
phe	NN	phe
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
uh	UH	uh
and	CC	and
and	CC	and
who	WP	who
are	VBP	be
formulating	VVG	formulate
their	PP$	their
interests	NNS	interest
on	IN	on
the	DT	the
international	JJ	international
uh	UH	uh
level	NN	level
which	WDT	which
is	VBZ	be
necessary	JJ	necessary
and	CC	and
uh	UH	uh
absolutely	RB	absolutely
legitimate	JJ	legitimate
but	CC	but
I	PP	I
would	MD	would
have	VH	have
expected	VVN	expect
that	IN/that	that
the	DT	the
UN	NP	UN
secretary	NN	secretary
could	MD	could
have	VH	have
uh	UH	uh
asked	VVD	ask
the	DT	the
uh	UH	uh
Arabic	NN	Arabic
countries	NNS	country
to	TO	to
put	VV	put
more	JJR	more
pressure	NN	pressure
on	IN	on
Hamas	NP	Hamas
to	TO	to
use	VV	use
their	PP$	their
leverage	NN	leverage
on	IN	on
Hamas	NP	Hamas
to	TO	to
give	VV	give
us	PP	us
this	DT	this
to	TO	to
give	VV	give
up	RP	up
this	DT	this
fight	NN	fight
to	TO	to
give	VV	give
up	RP	up
uh	UH	uh
the	DT	the
way	NN	way
and	CC	and
only	RB	only
using	VVG	use
terrorist	JJ	terrorist
uh	UH	uh
uh	UH	uh
chances	NNS	chance
to	TO	to
to	RB	to
to	TO	to
and	CC	and
and	CC	and
opportunities	NNS	opportunity
to	TO	to
to	TO	to
wipe	VV	wipe
out	IN	out
Israel	NP	Israel
that	WDT	that
is	VBZ	be
there	EX	there
'	''	'
s	VVG	s
no	DT	no
determination	NN	determination
for	IN	for
for	IN	for
this	DT	this
Johan	NP	Johan
vadul	NP	vadul
Deputy	NP	Deputy
head	NN	head
of	IN	of
the	DT	the
CDU	NP	CDU
CSU	NP	CSU
parliamentary	JJ	parliamentary
group	NN	group
and	CC	and
expert	NN	expert
on	IN	on
defense	NN	defense
foreign	JJ	foreign
policy	NN	policy
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
thank	VV	thank
you	PP	you
as	IN	as
