two	CD	two
because	IN	because
the	DT	the
way	NN	way
the	DT	the
court	NN	court
build	VV	build
presedent	JJ	presedent
we	PP	we
are	VBP	be
now	RB	now
discussing	VVG	discuss
something	NN	something
similar	JJ	similar
than	IN	than
the	DT	the
decision	NN	decision
on	IN	on
Bosnia	NP	Bosnia
taken	VVN	take
in	IN	in
2007	CD	@card@
so	IN	so
that	DT	that
'	''	'
s	VVG	s
the	DT	the
court	NN	court
system	NN	system
working	VVG	work
so	IN	so
the	DT	the
the	DT	the
final	JJ	final
decision	NN	decision
will	MD	will
important	JJ	important
but	CC	but
not	RB	not
to	TO	to
protect	VV	protect
the	DT	the
Palestinians	NPS	Palestinians
to	TO	to
protect	VV	protect
the	DT	the
Palestinian	NN	Palestinian
is	VBZ	be
now	RB	now
and	CC	and
you	PP	you
think	VVP	think
that	IN/that	that
this	DT	this
will	MD	will
have	VH	have
an	DT	an
immediate	JJ	immediate
impact	NN	impact
on	IN	on
protecting	VVG	protect
Palestinian	JJ	Palestinian
lives	NNS	life
meaning	VVG	mean
in	IN	in
the	DT	the
next	JJ	next
couple	NN	couple
of	IN	of
days	NNS	day
I	PP	I
mean	VVP	mean
you	PP	you
know	VVP	know
we	PP	we
follow	VV	follow
obviously	RB	obviously
the	DT	the
new	JJ	new
cycle	NN	cycle
and	CC	and
we	PP	we
are	VBP	be
seeing	VVG	see
these	DT	these
things	NNS	thing
daily	RB	daily
do	VVP	do
you	PP	you
think	VVP	think
that	IN/that	that
this	DT	this
would	MD	would
have	VH	have
an	DT	an
immediate	JJ	immediate
impact	NN	impact
on	IN	on
the	DT	the
ground	NN	ground
I	PP	I
I	PP	I
I	PP	I
will	MD	will
mention	VV	mention
the	DT	the
next	JJ	next
two	CD	two
weeks	NNS	week
not	RB	not
two	CD	two
days	NNS	day
I	PP	I
believe	VVP	believe
now	RB	now
the	DT	the
ball	NN	ball
this	DT	this
the	DT	the
core	NN	core
gave	VVD	give
the	DT	the
ball	NN	ball
back	RB	back
to	TO	to
Israel	NP	Israel
and	CC	and
us	PP	us
has	VHZ	have
a	DT	a
meaningful	JJ	meaningful
role	NN	role
because	IN	because
us	PP	us
is	VBZ	be
supporting	VVG	support
Israel	NP	Israel
politically	RB	politically
Israel	NP	Israel
us	PP	us
veto	VV	veto
exu	NN	exu
resolution	NN	resolution
and	CC	and
us	PP	us
is	VBZ	be
supporting	VVG	support
Israel	NP	Israel
military	JJ	military
Israel	NP	Israel
Fleet	NP	Fleet
is	VBZ	be
there	RB	there
protecting	VVG	protect
Israel	NP	Israel
from	IN	from
Lebanon	NP	Lebanon
Hezbollah	NP	Hezbollah
and	CC	and
Iran	NP	Iran
the	DT	the
problem	NN	problem
now	RB	now
is	VBZ	be
US	PP	us
support	VVP	support
to	TO	to
Israel	NP	Israel
could	MD	could
be	VB	be
complicity	NN	complicity
on	IN	on
genocide	NN	genocide
that	RB	that
'	POS	'
s	NN	S
a	DT	a
new	JJ	new
limit	NN	limit
now	RB	now
and	CC	and
that	IN/that	that
why	WRB	why
the	DT	the
US	NP	US
had	VHD	have
to	TO	to
adjust	VV	adjust
drastically	RB	drastically
and	CC	and
the	DT	the
would	MD	would
be	VB	be
would	MD	would
be	VB	be
a	DT	a
very	RB	very
difficult	JJ	difficult
time	NN	time
for	IN	for
us	PP	us
to	TO	to
adjust	VV	adjust
Netanyahu	NP	Netanyahu
because	IN	because
Netanyahu	NP	Netanyahu
is	VBZ	be
fighting	VVG	fight
for	IN	for
survival	NN	survival
and	CC	and
he	PP	he
'	POS	'
s	NNS	s
a	DT	a
survival	NN	survival
he	PP	he
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
survival	NN	survival
but	CC	but
now	RB	now
he	PP	he
'	POS	'
s	NNS	s
fighting	VVG	fight
to	TO	to
stay	VV	stay
in	IN	in
power	NN	power
it	PP	it
'	POS	'
s	NN	S
not	RB	not
more	RBR	more
about	IN	about
Israel	NP	Israel
it	PP	it
'	POS	'
s	NN	S
about	IN	about
himself	PP	himself
so	RB	so
and	CC	and
then	RB	then
he	PP	he
is	VBZ	be
running	VVG	run
he	PP	he
has	VHZ	have
no	DT	no
he	PP	he
cannot	MD	can
go	VV	go
back	RB	back
that	IN/that	that
why	WRB	why
the	DT	the
next	JJ	next
weeks	NNS	week
are	VBP	be
about	RB	about
Palestinian	JJ	Palestinian
but	CC	but
also	RB	also
about	IN	about
the	DT	the
relation	NN	relation
between	IN	between
us	PP	us
and	CC	and
and	CC	and
Israel	NP	Israel
government	NN	government
Mr	NN	Mr
that	RB	that
'	POS	'
s	NN	S
all	RB	all
we	PP	we
have	VHP	have
time	NN	time
for	IN	for
but	CC	but
we	PP	we
'	POS	'
re	NN	re
very	RB	very
very	RB	very
grateful	JJ	grateful
uh	UH	uh
for	IN	for
joining	VVG	join
us	PP	us
at	IN	at
do	VVP	do
TR	NP	TR
and	CC	and
hope	VVP	hope
to	TO	to
talk	VV	talk
to	TO	to
you	PP	you
again	RB	again
soon	RB	soon
very	RB	very
grateful	JJ	grateful
for	IN	for
the	DT	the
