kisin	NN	kisin
you	PP	you
know	VVP	know
after	IN	after
a	DT	a
certain	JJ	certain
you	PP	you
know	VVP	know
um	JJ	um
autonomy	NN	autonomy
that	WDT	that
would	MD	would
have	VH	have
been	VBN	be
granted	VVN	grant
to	TO	to
the	DT	the
donbas	NNS	donbas
there	EX	there
would	MD	would
be	VB	be
a	DT	a
kind	NN	kind
of	IN	of
reunification	NN	reunification
and	CC	and
and	NP	and
Ukraine	NP	Ukraine
would	MD	would
again	RB	again
have	VH	have
the	DT	the
sovereignty	NN	sovereignty
of	IN	of
over	RB	over
over	IN	over
this	DT	this
territory	NN	territory
so	IN	so
the	DT	the
um	NNS	um
I	PP	I
think	VVP	think
the	DT	the
agreement	NN	agreement
was	VBD	be
a	DT	a
was	VBD	be
a	DT	a
good	JJ	good
one	CD	one
uh	UH	uh
the	DT	the
problem	NN	problem
was	VBD	be
the	DT	the
implementation	NN	implementation
that	IN/that	that
Russia	NP	Russia
Vladimir	NP	Vladimir
Putin	NP	Putin
was	VBD	be
not	RB	not
ready	JJ	ready
to	TO	to
to	TO	to
implement	VV	implement
it	PP	it
um	JJ	um
but	CC	but
just	RB	just
a	DT	a
final	JJ	final
question	NN	question
I	PP	I
mean	VVP	mean
you	PP	you
suggest	VVP	suggest
that	IN/that	that
there	EX	there
could	MD	could
be	VB	be
an	DT	an
agreement	NN	agreement
where	WRB	where
Russia	NP	Russia
withdraws	VVZ	withdraw
all	DT	all
of	IN	of
its	PP$	its
troops	NNS	troop
and	CC	and
Ukraine	NP	Ukraine
also	RB	also
joins	VVZ	join
NATO	NP	NATO
for	IN	for
Russia	NP	Russia
to	TO	to
go	VV	go
along	RP	along
with	IN	with
something	NN	something
like	IN	like
that	WDT	that
they	PP	they
would	MD	would
probably	RB	probably
need	VV	need
to	TO	to
be	VB	be
under	IN	under
much	RB	much
greater	JJR	great
military	JJ	military
pressure	NN	pressure
than	IN	than
they	PP	they
are	VBP	be
now	RB	now
wouldn	NN	wouldn
'	POS	'
t	NN	t
they	PP	they
well	RB	well
this	DT	this
is	VBZ	be
why	WRB	why
um	JJ	um
we	PP	we
have	VHP	have
to	TO	to
see	VV	see
that	IN/that	that
Ukraine	NP	Ukraine
continues	VVZ	continue
to	TO	to
be	VB	be
armed	VVN	arm
with	IN	with
all	DT	all
arms	VVZ	arm
uh	UH	uh
that	WDT	that
are	VBP	be
at	IN	at
our	PP$	our
disposal	NN	disposal
because	IN	because
after	IN	after
all	DT	all
they	PP	they
defend	VVP	defend
our	PP$	our
freedom	NN	freedom
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
the	DT	the
ukrainians	NNS	ukrainians
but	CC	but
also	RB	also
ours	PP	ours
because	IN	because
Vladimir	NP	Vladimir
Putin	NP	Putin
has	VHZ	have
said	VVN	say
publicly	RB	publicly
that	IN/that	that
he	PP	he
wouldn	NNS	wouldn
'	POS	'
t	NN	t
stop	NN	stop
there	RB	there
so	IN	so
we	PP	we
we	PP	we
have	VHP	have
to	TO	to
do	VV	do
um	NNS	um
we	PP	we
have	VHP	have
to	TO	to
have	VH	have
to	TO	to
support	VV	support
um	NNS	um
for	IN	for
Vladimir	NP	Vladimir
Putin	NP	Putin
he	PP	he
has	VHZ	have
to	TO	to
understand	VV	understand
that	IN/that	that
he	PP	he
cannot	MD	can
gain	VV	gain
by	IN	by
prolonging	VVG	prolong
this	DT	this
war	NN	war
that	IN/that	that
he	PP	he
cannot	MD	can
win	VV	win
this	DT	this
war	NN	war
and	CC	and
um	VVG	um
you	PP	you
you	PP	you
can	MD	can
see	VV	see
that	DT	that
um	NN	um
while	IN	while
he	PP	he
gives	VVZ	give
the	DT	the
um	JJ	um
appearance	NN	appearance
of	IN	of
being	VBG	be
the	DT	the
strong	JJ	strong
man	NN	man
who	WP	who
has	VHZ	have
everything	NN	everything
under	IN	under
control	NN	control
that	IN/that	that
um	NNS	um
you	PP	you
know	VVP	know
there	EX	there
are	VBP	be
the	DT	the
first	JJ	first
effects	NNS	effect
of	IN	of
and	CC	and
strong	JJ	strong
effects	NNS	effect
of	IN	of
sanctions	NNS	sanction
you	PP	you
know	VVP	know
their	PP$	their
Fleet	NP	Fleet
of	IN	of
airplanes	NNS	airplane
from	IN	from
Airbus	NP	Airbus
and	CC	and
boing	NN	boing
is	VBZ	be
is	VBZ	be
grounded	VVN	ground
you	PP	you
could	MD	could
see	VV	see
that	IN/that	that
he	PP	he
lost	VVD	lose
faith	NN	faith
last	JJ	last
week	NN	week
when	WRB	when
he	PP	he
had	VHD	have
to	TO	to
stop	VV	stop
one	CD	one
of	IN	of
the	DT	the
candidates	NNS	candidate
that	IN/that	that
who	WP	who
nobody	NN	nobody
knew	VVD	know
before	IN	before
was	VBD	be
running	VVG	run
for	IN	for
president	NN	president
on	IN	on
a	DT	a
um	NNS	um
you	PP	you
know	VVP	know
on	IN	on
a	DT	a
ticket	NN	ticket
that	WDT	that
was	VBD	be
you	PP	you
know	VVP	know
against	IN	against
the	DT	the
war	NN	war
and	CC	and
he	PP	he
was	VBD	be
um	RB	um
scared	VVN	scare
that	IN/that	that
all	DT	all
of	IN	of
a	DT	a
sudden	JJ	sudden
the	DT	the
momentum	NN	momentum
this	DT	this
person	NN	person
created	VVN	create
was	VBD	be
enormous	JJ	enormous
so	RB	so
that	IN/that	that
he	PP	he
had	VHD	have
to	TO	to
um	RB	um
stop	VV	stop
that	IN/that	that
this	DT	this
shows	NNS	show
um	NNS	um
a	DT	a
sign	NN	sign
of	IN	of
weakness	NN	weakness
um	NNS	um
and	CC	and
um	NNS	um
so	IN	so
we	PP	we
have	VHP	have
to	TO	to
continue	VV	continue
to	TO	to
push	VV	push
him	PP	him
into	IN	into
this	DT	this
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
is	VBZ	be
very	RB	very
important	JJ	important
by	IN	by
the	DT	the
way	NN	way
is	VBZ	be
and	CC	and
we	PP	we
try	VVP	try
to	TO	to
do	VV	do
this	DT	this
also	RB	also
on	IN	on
the	DT	the
Munich	NP	Munich
security	NN	security
conference	NN	conference
that	IN/that	that
we	PP	we
have	VHP	have
to	TO	to
talk	VV	talk
to	TO	to
those	DT	those
countries	NNS	country
that	IN/that	that
um	JJ	um
don	NN	don
'	POS	'
t	NN	t
Implement	NN	implement
sanctions	NNS	sanction
to	TO	to
think	VV	think
about	IN	about
this	DT	this
to	TO	to
think	VV	think
about	IN	about
um	JJ	um
um	NNS	um
if	IN	if
it	PP	it
wouldn	NN	wouldn
'	POS	'
t	NN	t
suit	NN	suit
their	PP$	their
interests	NNS	interest
better	RBR	well
if	IN	if
an	DT	an
aggressor	NN	aggressor
like	IN	like
um	JJ	um
Russia	NP	Russia
would	MD	would
be	VB	be
put	VVN	put
into	IN	into
um	VVG	um
his	PP$	his
place	NN	place
to	TO	to
stop	VV	stop
um	JJ	um
similar	JJ	similar
um	VVZ	um
uh	UH	uh
you	PP	you
know	VVP	know
things	NNS	thing
from	IN	from
happening	VVG	happen
in	IN	in
other	JJ	other
parts	NNS	part
of	IN	of
the	DT	the
world	NN	world
so	IN	so
lots	NNS	lot
of	IN	of
look	NN	look
out	RP	out
for	IN	for
the	DT	the
munity	NN	munity
security	NN	security
conference	NN	conference
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
Christo	NP	Christo
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
for	IN	for
your	PP$	your
questions	NNS	question
