<video_id>fcaIVECkzo4</video_id>	JJ	<video_id>fcaIVECkzo4</video_id>
failure	NN	failure
of	IN	of
the	DT	the
sewage	NN	sewage
system	NN	system
to	TO	to
work	VV	work
because	IN	because
of	IN	of
the	DT	the
lack	NN	lack
of	IN	of
power	NN	power
will	MD	will
lead	VV	lead
to	TO	to
massive	JJ	massive
outbreaks	NNS	outbreak
of	IN	of
of	IN	of
waterborne	JJ	waterborne
gastrointestinal	JJ	gastrointestinal
diseases	NNS	disease
which	WDT	which
we	PP	we
are	VBP	be
very	RB	very
very	RB	very
concerned	VVN	concern
about	IN	about
the	DT	the
wh's	NP	wh's
Margaret	NP	Margaret
Harris	NP	Harris
there	RB	there
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
having	VHG	have
me	PP	me
</doc>	JJ	</doc>
