Israeli	JJ	Israeli
approved	VVN	approve
but	CC	but
72	CD	@card@
left	VVN	leave
because	IN	because
the	DT	the
rest	NN	rest
according	VVG	accord
to	TO	to
the	DT	the
minist	NN	minist
of	IN	of
Health	NP	Health
um	NNS	um
already	RB	already
died	VVN	die
or	CC	or
had	VHD	have
surgeries	NNS	surgery
in	IN	in
Gaza	NP	Gaza
hospitals	NNS	hospital
um	NNS	um
along	IN	along
with	IN	with
that	DT	that
um	NN	um
up	RB	up
to	TO	to
the	DT	the
latest	JJS	late
number	NN	number
355	CD	@card@
um	NNS	um
dual	JJ	dual
Nationals	NNS	national
or	CC	or
Palestinians	NNS	Palestinian
were	VBD	be
working	VVG	work
with	IN	with
some	DT	some
International	NP	International
NOS	NNS	no
um	NNS	um
left	VVD	leave
um	NNS	um
according	VVG	accord
to	TO	to
the	DT	the
list	NN	list
we	PP	we
are	VBP	be
talking	VVG	talk
about	RB	about
450	CD	@card@
something	NN	something
that	IN/that	that
they	PP	they
are	VBP	be
uh	UH	uh
plan	NN	plan
to	TO	to
leave	VV	leave
uh	UH	uh
today	NN	today
all	DT	all
right	JJ	right
thanks	NNS	thanks
for	IN	for
that	DT	that
haam	NN	haam
haam	NN	haam
belala	NN	belala
in	IN	in
Gaza	NP	Gaza
thank	VVP	thank
you	PP	you
now	RB	now
journalist	NN	journalist
Hugh	NP	Hugh
miles	NNS	mile
is	VBZ	be
covering	VVG	cover
events	NNS	event
from	IN	from
Cairo	NP	Cairo
he	PP	he
uh	UH	uh
he	PP	he
was	VBD	be
uh	UH	uh
here	RB	here
on	IN	on
DW	NN	DW
and	CC	and
asked	VVD	ask
whether	IN	whether
it	PP	it
'	POS	'
s	NN	S
likely	JJ	likely
that	IN/that	that
more	RBR	more
foreign	JJ	foreign
and	CC	and
dual	JJ	dual
Nationals	NNS	national
would	MD	would
be	VB	be
allowed	VVN	allow
to	TO	to
leave	VV	leave
well	UH	well
uh	UH	uh
nobody	NN	nobody
knows	VVZ	know
how	WRB	how
many	JJ	many
uh	UH	uh
passport	NN	passport
dual	JJ	dual
national	JJ	national
passport	NN	passport
holders	NNS	holder
there	EX	there
are	VBP	be
in	IN	in
Gaza	NP	Gaza
but	CC	but
there	EX	there
are	VBP	be
certainly	RB	certainly
many	DT	many
many	JJ	many
uh	UH	uh
countries	NNS	country
uh	UH	uh
who	WP	who
have	VHP	have
got	VVN	get
um	VVG	um
their	PP$	their
their	PP$	their
dual	JJ	dual
National	NP	National
citizens	NNS	citizen
in	IN	in
in	IN	in
Gaza	NP	Gaza
and	CC	and
they	PP	they
they	PP	they
'	POS	'
ve	RB	ve
been	VBN	be
trying	VVG	try
since	IN	since
the	DT	the
start	NN	start
of	IN	of
the	DT	the
war	NN	war
to	TO	to
get	VV	get
them	PP	them
out	RP	out
uh	UH	uh
and	CC	and
um	JJ	um
Anthony	NP	Anthony
blinken	NP	blinken
the	DT	the
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
has	VHZ	have
has	VHZ	have
said	VVN	say
that	IN/that	that
this	DT	this
is	VBZ	be
a	DT	a
top	JJ	top
priority	NN	priority
for	IN	for
him	PP	him
and	CC	and
he	PP	he
'	POS	'
s	NNS	s
working	VVG	work
on	IN	on
it	PP	it
every	DT	every
day	NN	day
and	CC	and
now	RB	now
we	PP	we
understand	VVP	understand
that	IN/that	that
there	EX	there
'	''	'
s	NNS	s
going	VVG	go
to	TO	to
be	VB	be
a	DT	a
limited	JJ	limited
number	NN	number
maybe	RB	maybe
500	CD	@card@
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
um	RB	um
allowed	VVN	allow
out	RP	out
so	IN	so
this	DT	this
would	MD	would
be	VB	be
a	DT	a
um	NN	um
a	DT	a
big	JJ	big
step	NN	step
forward	RB	forward
and	CC	and
and	CC	and
um	VVZ	um
uh	UH	uh
Egypt	NP	Egypt
has	VHZ	have
been	VBN	be
um	RB	um
involved	VVN	involve
in	IN	in
this	DT	this
process	NN	process
as	IN	as
well	RB	well
together	RB	together
with	IN	with
the	DT	the
UN	NP	UN
two	CD	two
miles	NNS	mile
in	IN	in
at	IN	at
