<video_id>XbdJHMjdV4Q</video_id>	NP	<video_id>XbdJHMjdV4Q</video_id>
five	CD	five
nations	NNS	nation
the	DT	the
Saudis	NP	Saudis
Jordan	NP	Jordan
the	DT	the
Palestinians	NPS	Palestinians
Israel	NP	Israel
and	CC	and
America	NP	America
under	IN	under
the	DT	the
uh	UH	uh
offices	NNS	office
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
security	NN	security
Council	NP	Council
and	CC	and
the	DT	the
solution	NN	solution
of	IN	of
the	DT	the
refugee	NN	refugee
problem	NN	problem
within	IN	within
the	DT	the
framework	NN	framework
of	IN	of
the	DT	the
Arab	JJ	Arab
leak	NN	leak
peace	NN	peace
initiative	NN	initiative
which	WDT	which
was	VBD	be
originally	RB	originally
accepted	VVN	accept
in	IN	in
2002	CD	@card@
and	CC	and
was	VBD	be
reconfirmed	VVD	reconfirm
in	IN	in
2007	CD	@card@
this	DT	this
is	VBZ	be
a	DT	a
peace	NN	peace
plan	NN	plan
which	WDT	which
was	VBD	be
presented	VVN	present
to	TO	to
the	DT	the
Palestinians	NPS	Palestinians
unfortunately	RB	unfortunately
then	RB	then
they	PP	they
didn't	VVD	didn't
say	VV	say
yes	UH	yes
and	CC	and
they	PP	they
fil	NN	fil
away	RB	away
yeah	RB	yeah
this	DT	this
is	VBZ	be
the	DT	the
Secretary	NP	Secretary
General	NP	General
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
has	VHZ	have
also	RB	also
said	VVN	say
that	IN/that	that
they	PP	they
will	MD	will
not	RB	not
take	VV	take
care	NN	care
of	IN	of
the	DT	the
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
after	IN	after
this	DT	this
war	NN	war
and	CC	and
I'm	NN	I'm
really	RB	really
sorry	JJ	sorry
we'll	NN	we'll
have	VHP	have
to	TO	to
leave	VV	leave
it	PP	it
there	RB	there
we're	VVP	we're
running	VVG	run
out	RP	out
of	IN	of
time	NN	time
Mr	NP	Mr
aled	VVD	aled
great	JJ	great
speaking	NN	speaking
to	TO	to
you	PP	you
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
taking	VVG	take
the	DT	the
time	NN	time
to	TO	to
coming	VVG	come
on	IN	on
to	TO	to
</doc>	JJ	</doc>
