<video_id>D33ioQTcwrM</video_id>	JJ	<video_id>D33ioQTcwrM</video_id>
show	VV	show
it	PP	it
even	RB	even
towards	IN	towards
us	PP	us
that	WDT	that
guilt	NN	guilt
because	IN	because
Africans	NNS	African
suffered	VVN	suffer
under	IN	under
under	IN	under
the	DT	the
British	JJ	British
colonialism	NN	colonialism
under	IN	under
the	DT	the
French	JJ	French
colonialism	NN	colonialism
and	CC	and
the	DT	the
Portuguese	JJ	Portuguese
colonialism	NN	colonialism
they	PP	they
must	MD	must
feel	VV	feel
guilty	RB	guilty
when	WRB	when
they	PP	they
see	VVP	see
us	PP	us
they	PP	they
must	MD	must
do	VV	do
things	NNS	thing
that	WDT	that
will	MD	will
be	VB	be
will	MD	will
be	VB	be
will	MD	will
be	VB	be
correcting	VVG	correct
that	DT	that
history	NN	history
and	CC	and
all	DT	all
what	WP	what
they	PP	they
stole	VVD	steal
from	IN	from
from	IN	from
the	DT	the
continent	NN	continent
you	PP	you
see	VVP	see
so	RB	so
it	PP	it
needs	VVZ	need
to	TO	to
be	VB	be
corrected	VVN	correct
the	DT	the
lives	NNS	life
that	IN/that	that
we	PP	we
lost	VVD	lose
and	CC	and
all	RB	all
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
genocide	NN	genocide
now	RB	now
have	VHP	have
you	PP	you
heard	VVN	hear
anyone	NN	anyone
referring	VVG	refer
to	TO	to
the	DT	the
congol	NN	congol
Le	NP	Le
genocide	NN	genocide
of	IN	of
10	CD	@card@
million	CD	million
people	NNS	people
10	CD	@card@
million	CD	million
people	NNS	people
people	NNS	people
killed	VVN	kill
by	IN	by
king	NN	king
lold	NNS	lold
of	IN	of
Belgium	NP	Belgium
have	VHP	have
you	PP	you
ever	RB	ever
heard	VVD	hear
of	IN	of
it	PP	it
nobody	NN	nobody
talks	NNS	talk
about	IN	about
that	DT	that
nobody	NN	nobody
talks	VVZ	talk
about	RB	about
that	IN/that	that
so	RB	so
where	WRB	where
how	WRB	how
is	VBZ	be
this	DT	this
sense	NN	sense
of	IN	of
guilt	NN	guilt
not	RB	not
balanced	VVN	balance
why	WRB	why
is	VBZ	be
it	PP	it
like	VVP	like
that	IN/that	that
side	NN	side
and	CC	and
not	RB	not
this	DT	this
side	NN	side
so	RB	so
if	IN	if
there	EX	there
was	VBD	be
any	DT	any
they	PP	they
would	MD	would
show	VV	show
it	PP	it
to	TO	to
us	PP	us
too	RB	too
Ambassador	NN	ambassador
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
joining	VVG	join
me	PP	me
on	IN	on
FR	NP	FR
I	PP	I
appreciate	VVP	appreciate
thank	VV	thank
you	PP	you
thank	VV	thank
you	PP	you
thank	VV	thank
</doc>	NN	</doc>
