interrupt	VV	interrupt
has	VHZ	have
made	VVN	make
a	DT	a
public	JJ	public
apology	NN	apology
for	IN	for
the	DT	the
the	DT	the
strike	NN	strike
and	CC	and
there	EX	there
was	VBD	be
no	DT	no
mention	NN	mention
of	IN	of
Rafa	NP	Rafa
in	IN	in
this	DT	this
readout	NN	readout
can	MD	can
you	PP	you
talk	VV	talk
to	TO	to
us	PP	us
about	IN	about
how	WRB	how
if	IN	if
that	WDT	that
did	VVD	do
come	VV	come
up	RB	up
and	CC	and
how	WRB	how
that	DT	that
might	MD	might
have	VH	have
been	VBN	be
discussed	VVN	discuss
between	IN	between
the	DT	the
two	CD	two
this	DT	this
conversation	NN	conversation
was	VBD	be
was	VBD	be
focused	VVN	focus
uh	UH	uh
primarily	RB	primarily
on	IN	on
U	NP	U
the	DT	the
need	NN	need
to	TO	to
get	VV	get
a	DT	a
temporary	JJ	temporary
ceasefire	NN	ceasefire
in	IN	in
place	NN	place
the	DT	the
need	NN	need
for	IN	for
there	RB	there
to	TO	to
be	VB	be
a	DT	a
pause	NN	pause
in	IN	in
in	IN	in
the	DT	the
fighting	VVG	fight
um	NN	um
so	IN	so
we	PP	we
can	MD	can
get	VV	get
the	DT	the
hostages	NNS	hostage
out	IN	out
humanitarian	JJ	humanitarian
assistance	NN	assistance
uh	UH	uh
the	DT	the
need	NN	need
to	TO	to
see	VV	see
that	IN/that	that
steps	NNS	step
are	VBP	be
being	VBG	be
taken	VVN	take
to	TO	to
learn	VV	learn
from	IN	from
this	DT	this
strike	NN	strike
and	CC	and
to	TO	to
make	VV	make
changes	NNS	change
in	IN	in
the	DT	the
way	NN	way
civilian	JJ	civilian
harm	NN	harm
is	VBZ	be
mitigated	VVN	mitigate
from	IN	from
an	DT	an
operational	JJ	operational
perspective	NN	perspective
and	CC	and
they	PP	they
did	VVD	do
spend	VV	spend
time	NN	time
as	IN	as
the	DT	the
readout	NN	readout
makes	VVZ	make
clear	JJ	clear
talking	NN	talking
about	IN	about
the	DT	the
very	RB	very
public	JJ	public
threats	NNS	threat
from	IN	from
from	IN	from
Iran	NP	Iran
to	TO	to
Israel	NP	Israel
and	CC	and
the	DT	the
president	NN	president
as	IN	as
I	PP	I
said	VVD	say
made	VVN	make
very	RB	very
clear	JJ	clear
to	TO	to
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
that	IN/that	that
United	NP	United
States	NPS	States
support	NN	support
for	IN	for
Israel	NP	Israel
'	POS	'
s	JJ	s
ability	NN	ability
to	TO	to
defend	VV	defend
itself	PP	itself
from	IN	from
a	DT	a
range	NN	range
of	IN	of
threats	NNS	threat
not	RB	not
just	RB	just
Hamas	VV	Hamas
uh	UH	uh
remains	VVZ	remain
Ironclad	JJ	ironclad
okay	JJ	okay
Danny	NP	Danny
thanks	NNS	thanks
screen	NN	screen
thanks	VVZ	thank
just	RB	just
things	NNS	thing
firstly	RB	firstly
how	WRB	how
how	WRB	how
long	RB	long
did	VVD	do
this	DT	this
call	JJ	call
uh	UH	uh
last	JJ	last
it	PP	it
was	VBD	be
about	RB	about
30	CD	@card@
minutes	NNS	minute
or	CC	or
so	RB	so
and	CC	and
just	RB	just
going	VVG	go
back	RB	back
to	TO	to
I	PP	I
mean	VVP	mean
Jeff	NP	Jeff
'	POS	'
s	JJ	s
question	NN	question
about	IN	about
the	DT	the
um	NNS	um
you	PP	you
know	VVP	know
why	WRB	why
why	WRB	why
this	DT	this
sort	NN	sort
of	IN	of
change	NN	change
in	IN	in
tone	NN	tone
I	PP	I
mean	VVP	mean
has	VHZ	have
there	RB	there
been	VBN	be
growing	VVG	grow
frustration	NN	frustration
on	IN	on
the	DT	the
part	NN	part
of	IN	of
President	NP	President
Biden	NP	Biden
that	IN/that	that
previous	JJ	previous
um	NNS	um
messaging	VVG	message
to	TO	to
prime	JJ	prime
minister	NN	minister
Netanyahu	NP	Netanyahu
just	JJ	just
doesn	NN	doesn
'	POS	'
t	NN	t
seem	VVP	seem
to	TO	to
have	VH	have
gotten	VVN	get
through	RP	through
yes	RB	yes
there	RB	there
'	''	'
s	RB	s
been	VBN	be
growing	VVG	grow
frustration	NN	frustration
thank	VV	thank
you	PP	you
so	IN	so
much	JJ	much
Karim	NP	Karim
John	NP	John
one	CD	one
question	NN	question
on	IN	on
Israel	NP	Israel
and	CC	and
another	DT	another
on	IN	on
Venezuela	NP	Venezuela
we	PP	we
saw	VVD	see
in	IN	in
the	DT	the
past	JJ	past
president	NN	president
uh	UH	uh
Biden	NP	Biden
pushing	VVG	push
Netanyahu	NP	Netanyahu
to	TO	to
protect	VV	protect
civilians	NNS	civilian
but	CC	but
how	WRB	how
much	JJ	much
words	NNS	word
really	RB	really
matter	VVP	matter
here	RB	here
when	WRB	when
on	IN	on
actions	NNS	action
the	DT	the
same	JJ	same
day	NN	day
of	IN	of
the	DT	the
attack	NN	attack
on	IN	on
the	DT	the
humanitarian	JJ	humanitarian
words	NNS	word
the	DT	the
US	PP	us
was	VBD	be
approving	VVG	approve
more	JJR	more
bones	NNS	bone
to	TO	to
Israel	NP	Israel
do	VVP	do
you	PP	you
we	PP	we
are	VBP	be
now	RB	now
six	CD	six
month	NN	month
into	IN	into
the	DT	the
war	NN	war
how	WRB	how
much	JJ	much
the	DT	the
US	NP	US
actions	NNS	action
are	VBP	be
actually	RB	actually
encouraging	VVG	encourage
Israel	NP	Israel
to	TO	to
not	RB	not
do	VV	do
enough	RB	enough
to	TO	to
protect	VV	protect
civilians	NNS	civilian
yeah	RB	yeah
look	VVP	look
I	PP	I
I	PP	I
'	POS	'
m	NN	m
I	NP	I
'	POS	'
m	NN	m
kind	NN	kind
of	IN	of
glad	JJ	glad
the	DT	the
question	NN	question
came	VVD	come
up	RP	up
uh	UH	uh
because	IN	because
I	PP	I
would	MD	would
tell	VV	tell
you	PP	you
when	WRB	when
I	PP	I
'	POS	'
ve	JJ	ve
seen	VVN	see
press	NN	press
reporting	VVG	report
you	PP	you
know	VVP	know
about	IN	about
the	DT	the
uh	UH	uh
about	IN	about
the	DT	the
uh	UH	uh
the	DT	the
arm	NN	arm
sales	NNS	sale
and	CC	and
that	DT	that
kind	NN	kind
of	IN	of
thing	NN	thing
and	CC	and
I	PP	I
I	PP	I
would	MD	would
just	RB	just
remind	VV	remind
you	PP	you
that	IN/that	that
that	DT	that
uh	UH	uh
it	PP	it
with	IN	with
the	DT	the
exception	NN	exception
of	IN	of
the	DT	the
immediate	JJ	immediate
two	CD	two
months	NNS	month
after	IN	after
the	DT	the
attack	NN	attack
we	PP	we
haven	VVP	haven
'	''	'
t	NN	t
really	RB	really
sent	VVD	send
emergency	NN	emergency
aid	NN	aid
and	CC	and
Military	JJ	military
assistance	NN	assistance
to	TO	to
to	TO	to
Israel	NP	Israel
that	WDT	that
was	VBD	be
in	IN	in
the	DT	the
first	JJ	first
couple	NN	couple
of	IN	of
months	NNS	month
but	CC	but
what	WP	what
you	PP	you
'	POS	'
re	NN	re
seeing	NN	seeing
here	IN	here
uh	UH	uh
is	VBZ	be
the	DT	the
result	NN	result
of	IN	of
a	DT	a
a	DT	a
process	NN	process
of	IN	of
foreign	JJ	foreign
military	JJ	military
sales	NNS	sale
to	TO	to
Israel	NP	Israel
that	WDT	that
takes	VVZ	take
years	NNS	year
uh	UH	uh
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
this	DT	this
material	NN	material
that	RB	that
'	POS	'
s	RB	s
been	VBN	be
reported	VVN	report
publicly	RB	publicly
was	VBD	be
notified	VVN	notify
to	TO	to
Congress	NP	Congress
many	JJ	many
many	JJ	many
months	NNS	month
if	IN	if
not	RB	not
years	NNS	year
ago	RB	ago
and	CC	and
are	VBP	be
in	IN	in
the	DT	the
train	NN	train
to	TO	to
get	VV	get
to	TO	to
Israel	NP	Israel
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
important	JJ	important
to	TO	to
remember	VV	remember
as	IN	as
I	PP	I
tried	VVD	try
to	TO	to
mention	VV	mention
in	IN	in
the	DT	the
last	JJ	last
answer	NN	answer
that	IN/that	that
Israel	NP	Israel
still	RB	still
has	VHZ	have
a	DT	a
lot	NN	lot
of	IN	of
threats	NNS	threat
it	PP	it
faces	VVZ	face
I	PP	I
mean	VVP	mean
we	PP	we
'	''	'
re	IN	re
all	DT	all
focused	VVN	focus
on	IN	on
Hamas	NP	Hamas
and	CC	and
I	PP	I
understand	VVP	understand
that	IN/that	that
but	CC	but
uh	UH	uh
they	PP	they
still	RB	still
face	VVP	face
active	JJ	active
threats	NNS	threat
throughout	IN	throughout
the	DT	the
region	NN	region
including	VVG	include
from	IN	from
Iran	NP	Iran
and	CC	and
the	DT	the
United	NP	United
State	NP	State
still	RB	still
has	VHZ	have
an	DT	an
iron	NN	iron
clag	NN	clag
commitment	NN	commitment
to	TO	to
help	VV	help
uh	UH	uh
Israel	NP	Israel
with	IN	with
its	PP$	its
self	JJ	self
-	NN	-
defense	NN	defense
and	CC	and
so	RB	so
a	DT	a
lot	NN	lot
of	IN	of
these	DT	these
articles	NNS	article
includ	NN	includ
including	VVG	include
the	DT	the
2000lb	JJ	2000lb
bombs	NNS	bomb
and	CC	and
the	DT	the
F35	NP	F35
so	IN	so
that	DT	that
'	''	'
s	VVG	s
those	DT	those
are	VBP	be
things	NNS	thing
that	WDT	that
have	VHP	have
been	VBN	be
long	JJ	long
in	IN	in
the	DT	the
train	NN	train
and	CC	and
not	RB	not
tied	VVN	tie
the	DT	the
S	NP	S
the	DT	the
foreign	JJ	foreign
military	JJ	military
sales	NNS	sale
process	NN	process
was	VBD	be
not	RB	not
tied	VVN	tie
to	TO	to
this	DT	this
conflict	NN	conflict
can	MD	can
I	PP	I
have	VH	have
one	CD	one
more	JJR	more
on	IN	on
on	IN	on
Venezuela	NP	Venezuela
quick	JJ	quick
because	IN	because
yesterday	NN	yesterday
Nicolas	NP	Nicolas
maduru	NP	maduru
enacted	VVD	enact
a	DT	a
law	NN	law
creating	VVG	create
a	DT	a
province	NN	province
of	IN	of
Venezuela	NP	Venezuela
in	IN	in
Guyana	NP	Guyana
and	CC	and
he	PP	he
accused	VVD	accuse
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
building	VVG	build
secret	JJ	secret
military	JJ	military
bases	NNS	base
in	IN	in
ex	FW	ex
a	DT	a
CUO	NN	CUO
so	IN	so
uh	UH	uh
what	WP	what
is	VBZ	be
your	PP$	your
reaction	NN	reaction
in	RB	in
is	VBZ	be
the	DT	the
us	PP	us
considering	VVG	consider
bu	NN	bu
base	NN	base
to	TO	to
support	VV	support
gu	NN	gu
to	TO	to
defend	VV	defend
our	PP$	our
sovereignty	NN	sovereignty
there	RB	there
'	POS	'
s	NN	S
no	RB	no
plans	VVZ	plan
for	IN	for
a	DT	a
secret	JJ	secret
military	JJ	military
base	NN	base
and	CC	and
we	PP	we
'	POS	'
ve	NN	ve
said	VVD	say
many	JJ	many
times	NNS	time
that	IN/that	that
there	EX	there
'	''	'
s	VVG	s
an	DT	an
1899	CD	@card@
arbitral	JJ	arbitral
ruling	NN	ruling
about	IN	about
the	DT	the
Border	NP	Border
uh	UH	uh
between	IN	between
Guyana	NP	Guyana
and	CC	and
Venezuela	NP	Venezuela
and	CC	and
we	PP	we
want	VVP	want
both	DT	both
sides	NNS	side
to	TO	to
respect	VV	respect
that	DT	that
ruling	NN	ruling
and	CC	and
to	TO	to
do	VV	do
it	PP	it
peacefully	RB	peacefully
thank	VVP	thank
you	PP	you
um	JJ	um
you	PP	you
said	VVD	say
we	PP	we
would	MD	would
hope	VV	hope
to	TO	to
see	VV	see
an	DT	an
announcement	NN	announcement
of	IN	of
changes	NNS	change
I	PP	I
'	POS	'
m	NN	m
wondering	VVG	wonder
if	IN	if
that	WDT	that
is	VBZ	be
just	RB	just
hope	NN	hope
or	CC	or
is	VBZ	be
it	PP	it
an	DT	an
expectation	NN	expectation
is	VBZ	be
it	PP	it
based	VVN	base
on	IN	on
a	DT	a
commitment	NN	commitment
we	PP	we
expect	VVP	expect
that	IN/that	that
the	DT	the
the	DT	the
will	MD	will
be	VB	be
uh	UH	uh
some	DT	some
um	NN	um
some	DT	some
announcements	NNS	announcement
coming	VVG	come
from	IN	from
Israel	NP	Israel
in	IN	in
the	DT	the
coming	VVG	come
hours	NNS	hour
and	CC	and
days	NNS	day
but	CC	but
I	PP	I
want	VVP	want
to	TO	to
respect	VV	respect
their	PP$	their
right	NN	right
to	TO	to
manage	VV	manage
that	DT	that
process	NN	process
on	IN	on
their	PP$	their
own	JJ	own
okay	NN	okay
and	CC	and
um	NNS	um
was	VBD	be
there	RB	there
any	DT	any
update	NN	update
given	VVN	give
uh	UH	uh
by	IN	by
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
on	IN	on
what	WP	what
exactly	RB	exactly
happened	VVD	happen
with	IN	with
the	DT	the
world	NN	world
Central	NP	Central
Kitchen	NP	Kitchen
Envoy	NP	Envoy
they	PP	they
they	PP	they
didn	NP	didn
'	POS	'
t	NN	t
talk	NN	talk
about	IN	about
the	DT	the
actual	JJ	actual
strike	NN	strike
in	IN	in
great	JJ	great
detail	NN	detail
that	IN/that	that
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
uh	UH	uh
did	VVD	do
reiterate	VV	reiterate
um	NNS	um
as	IN	as
his	PP$	his
military	NN	military
has	VHZ	have
reiterated	VVN	reiterate
that	IN/that	that
this	DT	this
was	VBD	be
on	IN	on
them	PP	them
um	JJ	um
that	IN/that	that
the	DT	the
the	DT	the
uh	UH	uh
investigation	NN	investigation
was	VBD	be
was	VBD	be
concluding	VVG	conclude
um	NNS	um
that	IN/that	that
he	PP	he
looked	VVD	look
forward	RB	forward
to	TO	to
to	TO	to
seeing	VVG	see
it	PP	it
and	CC	and
that	IN/that	that
you	PP	you
know	VVP	know
he	PP	he
would	MD	would
take	VV	take
appropriate	JJ	appropriate
actions	NNS	action
to	TO	to
make	VV	make
sure	JJ	sure
something	NN	something
like	IN	like
that	DT	that
couldn	NN	couldn
'	POS	'
t	NN	t
happen	VVP	happen
again	RB	again
I	PP	I
mean	VVP	mean
they	PP	they
did	VVD	do
obviously	RB	obviously
they	PP	they
talked	VVD	talk
about	IN	about
it	PP	it
of	IN	of
course	VV	course
uh	UH	uh
but	CC	but
did	VVD	do
they	PP	they
go	VVP	go
through	IN	through
Point	NP	Point
by	IN	by
point	NN	point
the	DT	the
investigations	NNS	investigation
findings	NNS	finding
no	RB	no
because	IN	because
I	PP	I
think	VVP	think
the	DT	the
prime	JJ	prime
minister	NN	minister
'	POS	'
s	NN	S
office	NN	office
is	VBZ	be
still	RB	still
evaluating	VVG	evaluate
um	NNS	um
the	DT	the
actual	JJ	actual
investigation	NN	investigation
results	NNS	result
and	CC	and
just	RB	just
to	TO	to
try	VV	try
to	TO	to
get	VV	get
a	DT	a
technical	JJ	technical
understanding	NN	understanding
is	VBZ	be
you	PP	you
described	VVD	describe
the	DT	the
very	RB	very
long	JJ	long
process	NN	process
of	IN	of
uh	UH	uh
supplying	VVG	supply
arms	NNS	arm
uh	UH	uh
to	TO	to
to	TO	to
Israel	NP	Israel
if	IN	if
this	DT	this
contingency	NN	contingency
isn	NN	isn
'	POS	'
t	NN	t
met	VVD	meet
and	CC	and
there	EX	there
is	VBZ	be
a	DT	a
change	NN	change
in	IN	in
US	NP	US
policy	NN	policy
how	WRB	how
easy	JJ	easy
or	CC	or
hard	RB	hard
would	MD	would
it	PP	it
be	VB	be
to	TO	to
um	RB	um
slow	VV	slow
down	RP	down
or	CC	or
change	VV	change
shipments	NNS	shipment
to	TO	to
Israel	NP	Israel
based	VVN	base
on	IN	on
current	JJ	current
law	NN	law
and	CC	and
all	DT	all
of	IN	of
the	DT	the
requirements	NNS	requirement
and	CC	and
all	PDT	all
the	DT	the
things	NNS	thing
you	PP	you
just	RB	just
described	VVD	describe
yeah	RB	yeah
again	RB	again
I	PP	I
don	VV	don
'	''	'
t	NN	t
want	VVP	want
to	TO	to
get	VV	get
ahead	RB	ahead
of	IN	of
where	WRB	where
we	PP	we
are	VBP	be
uh	UH	uh
let	VV	let
'	''	'
s	NNS	s
see	VVP	see
what	WP	what
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
side	NN	side
does	VVZ	do
and	CC	and
says	VVZ	say
and	CC	and
what	WP	what
they	PP	they
Implement	VV	implement
and	CC	and
where	WRB	where
they	PP	they
go	VVP	go
before	IN	before
we	PP	we
talk	VVP	talk
about	RB	about
actual	JJ	actual
policy	NN	policy
decisions	NNS	decision
and	CC	and
I	PP	I
'	POS	'
m	NN	m
certainly	RB	certainly
not	RB	not
going	VVG	go
to	TO	to
close	VV	close
down	RP	down
decision	NN	decision
space	NN	space
for	IN	for
the	DT	the
president	NN	president
of	IN	of
the	DT	the
United	NP	United
States	NP	States
he	PP	he
gets	VVZ	get
to	TO	to
make	VV	make
those	DT	those
decisions	NNS	decision
uh	UH	uh
but	CC	but
I	PP	I
mean	VVP	mean
obviously	RB	obviously
as	IN	as
commander	NN	commander
-	NN	-
in	IN	in
-	NN	-
chief	JJ	chief
and	CC	and
yes	RB	yes
the	DT	the
foreign	JJ	foreign
military	JJ	military
sales	NNS	sale
certainly	RB	certainly
is	VBZ	be
uh	UH	uh
is	VBZ	be
supported	VVN	support
by	IN	by
legislation	NN	legislation
but	CC	but
uh	UH	uh
but	CC	but
there	EX	there
are	VBP	be
certain	JJ	certain
authorities	NNS	authority
that	IN/that	that
you	PP	you
can	MD	can
do	VV	do
to	TO	to
manage	VV	manage
that	RB	that
but	CC	but
again	RB	again
let	VV	let
'	''	'
s	NNS	s
not	RB	not
get	VVP	get
ahead	RB	ahead
of	IN	of
where	WRB	where
we	PP	we
are	VBP	be
uh	UH	uh
this	DT	this
is	VBZ	be
really	RB	really
about	IN	about
uh	UH	uh
seeing	VVG	see
what	WP	what
the	DT	the
Israelis	NPS	Israelis
say	VVP	say
they	PP	they
'	''	'
re	IN	re
going	VVG	go
to	TO	to
do	VV	do
and	CC	and
then	RB	then
act	VV	act
on	IN	on
on	IN	on
those	DT	those
on	IN	on
those	DT	those
changes	NNS	change
good	JJ	good
admiral	NN	admiral
has	VHZ	have
the	DT	the
US	NP	US
lost	VVD	lose
its	PP$	its
leverage	NN	leverage
with	IN	with
prime	JJ	prime
minister	NN	minister
nahu	NN	nahu
you	PP	you
know	VVP	know
I	PP	I
keep	VV	keep
getting	VVG	get
this	DT	this
question	VVP	question
about	RB	about
leverage	VV	leverage
uh	UH	uh
Israel	NP	Israel
is	VBZ	be
an	DT	an
ally	NN	ally
and	CC	and
a	DT	a
friend	NN	friend
and	CC	and
a	DT	a
partner	NN	partner
uh	UH	uh
and	CC	and
the	DT	the
president	NN	president
believes	VVZ	believe
strongly	RB	strongly
and	CC	and
has	VHZ	have
for	IN	for
his	PP$	his
entire	JJ	entire
public	JJ	public
career	NN	career
in	IN	in
the	DT	the
security	NN	security
of	IN	of
the	DT	the
Israeli	JJ	Israeli
people	NNS	people
and	CC	and
the	DT	the
uh	UH	uh
and	CC	and
the	DT	the
longevity	NN	longevity
of	IN	of
the	DT	the
Israeli	JJ	Israeli
State	NN	state
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
not	RB	not
going	VVG	go
to	TO	to
change	VV	change
uh	UH	uh
and	CC	and
uh	UH	uh
I	PP	I
can	MD	can
say	VV	say
unequivocally	RB	unequivocally
and	CC	and
I	PP	I
don	VVP	don
'	''	'
t	NN	t
think	VVP	think
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
would	MD	would
mind	VV	mind
me	PP	me
saying	VVG	say
here	RB	here
that	IN/that	that
in	IN	in
the	DT	the
call	NN	call
today	NN	today
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
reiterated	VVD	reiterate
his	PP$	his
thanks	NNS	thanks
to	TO	to
President	NP	President
Biden	NP	Biden
and	CC	and
this	DT	this
Administration	NN	administration
for	IN	for
the	DT	the
support	NN	support
that	IN/that	that
that	WDT	that
we	PP	we
have	VHP	have
continued	VVN	continue
to	TO	to
provide	VV	provide
Israel	NP	Israel
it	PP	it
'	POS	'
s	JJ	s
longstanding	JJ	longstanding
it	PP	it
was	VBD	be
before	IN	before
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
and	CC	and
it	PP	it
is	VBZ	be
now	RB	now
uh	UH	uh
and	CC	and
that	DT	that
supports	VVZ	support
uh	UH	uh
that	DT	that
support	NN	support
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
continue	VV	continue
but	CC	but
again	RB	again
um	NNS	um
with	IN	with
respect	NN	respect
to	TO	to
Gaza	NP	Gaza
uh	UH	uh
we	PP	we
need	VVP	need
to	TO	to
see	VV	see
certain	JJ	certain
changes	VVZ	change
uh	UH	uh
uh	UH	uh
and	CC	and
if	IN	if
we	PP	we
don	NN	don
'	POS	'
t	NN	t
then	RB	then
we	PP	we
'	POS	'
ll	NNS	ll
have	VHP	have
to	TO	to
consider	VV	consider
changes	NNS	change
to	TO	to
our	PP$	our
own	JJ	own
policy	NN	policy
but	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
about	IN	about
it	PP	it
'	POS	'
s	NN	S
not	RB	not
about	RB	about
leverage	VV	leverage
it	PP	it
'	POS	'
s	NN	S
about	IN	about
the	DT	the
relationship	NN	relationship
and	CC	and
it	PP	it
'	POS	'
s	NN	S
about	IN	about
The	DT	the
credibility	NN	credibility
I	PP	I
would	MD	would
even	RB	even
say	VV	say
the	DT	the
unique	JJ	unique
credibility	NN	credibility
that	IN/that	that
this	DT	this
particular	JJ	particular
president	NN	president
has	VHZ	have
in	IN	in
Israel	NP	Israel
and	CC	and
with	IN	with
Israeli	JJ	Israeli
leadership	NN	leadership
based	VVN	base
on	IN	on
his	PP$	his
long	JJ	long
Public	NP	Public
Service	NP	Service
of	IN	of
support	NN	support
talk	NN	talk
about	IN	about
this	DT	this
relationship	NN	relationship
do	VVP	do
you	PP	you
think	VVP	think
the	DT	the
prime	JJ	prime
minister	NN	minister
is	VBZ	be
really	RB	really
listening	VVG	listen
it	PP	it
was	VBD	be
uh	UH	uh
I	PP	I
think	VVP	think
it	PP	it
was	VBD	be
evident	JJ	evident
in	IN	in
the	DT	the
phone	NN	phone
call	NN	call
today	NN	today
uh	UH	uh
it	PP	it
was	VBD	be
uh	UH	uh
a	DT	a
good	JJ	good
discussion	NN	discussion
direct	VV	direct
no	DT	no
question	NN	question
but	CC	but
a	DT	a
good	JJ	good
discussion	NN	discussion
and	CC	and
uh	UH	uh
and	CC	and
I	NP	I
I	PP	I
believe	VV	believe
uh	UH	uh
the	DT	the
president	NN	president
made	VVD	make
very	RB	very
clear	VV	clear
his	PP$	his
concerns	NNS	concern
and	CC	and
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
acknowledged	VVD	acknowledge
those	DT	those
concerns	NNS	concern
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
timing	NN	timing
of	IN	of
this	DT	this
call	NN	call
we	PP	we
understand	VVP	understand
that	IN/that	that
this	DT	this
call	NN	call
was	VBD	be
set	VVN	set
up	RP	up
after	IN	after
the	DT	the
strike	NN	strike
on	IN	on
the	DT	the
world	NN	world
Central	NP	Central
Kitchen	NP	Kitchen
uh	UH	uh
workers	NNS	worker
would	MD	would
you	PP	you
say	VV	say
if	IN	if
this	DT	this
call	NN	call
was	VBD	be
a	DT	a
direct	JJ	direct
result	NN	result
of	IN	of
that	WDT	that
was	VBD	be
that	IN/that	that
the	DT	the
reason	NN	reason
behind	IN	behind
the	DT	the
call	NN	call
yes	RB	yes
and	CC	and
then	RB	then
one	CD	one
one	CD	one
last	JJ	last
thing	NN	thing
response	NN	response
to	TO	to
Jose	NP	Jose
andr	NN	andr
Chef	NN	chef
Andre	NP	Andre
says	VVZ	say
that	IN/that	that
the	DT	the
Convoy	NN	convoy
was	VBD	be
deliberately	RB	deliberately
targeted	VVN	target
any	DT	any
response	NN	response
from	IN	from
the	DT	the
US	NP	US
on	IN	on
that	IN/that	that
again	RB	again
I	PP	I
I	PP	I
haven	VVP	haven
'	''	'
t	NN	t
seen	VVN	see
the	DT	the
Israeli	JJ	Israeli
investigation	NN	investigation
uh	UH	uh
they	PP	they
have	VHP	have
said	VVN	say
themselves	PP	themselves
publicly	RB	publicly
after	IN	after
a	DT	a
preliminary	JJ	preliminary
investigation	NN	investigation
uh	UH	uh
that	IN/that	that
there	EX	there
was	VBD	be
no	DT	no
deliberate	JJ	deliberate
targeting	VVG	target
of	IN	of
wck	NP	wck
and	CC	and
and	NP	and
Chef	NN	chef
Andre	NP	Andre
um	VVZ	um
they	PP	they
uh	UH	uh
they	PP	they
'	''	'
re	IN	re
working	VVG	work
their	PP$	their
way	NN	way
through	IN	through
now	RB	now
in	IN	in
independent	JJ	independent
follow	NN	follow
on	IN	on
Investigation	NP	Investigation
which	WDT	which
I	PP	I
understand	VVP	understand
is	VBZ	be
very	RB	very
very	RB	very
close	VV	close
to	TO	to
complete	VV	complete
um	VVG	um
uh	UH	uh
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
just	RB	just
talked	VVD	talk
about	IN	about
it	PP	it
broadly	RB	broadly
um	VVD	um
and	CC	and
reiterated	VVD	reiterate
today	NN	today
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
reiterated	VVD	reiterate
today	NN	today
that	IN/that	that
there	EX	there
was	VBD	be
no	DT	no
deliberate	JJ	deliberate
targeting	VVG	target
of	IN	of
uh	UH	uh
of	IN	of
that	IN/that	that
that	DT	that
Aid	NN	aid
Convoy	NN	convoy
good	JJ	good
night	NN	night
thank	VVP	thank
you	PP	you
two	CD	two
questions	VVZ	question
uh	UH	uh
Senator	NP	Senator
Co	NP	Co
who	WP	who
was	VBD	be
very	RB	very
close	JJ	close
to	TO	to
the	DT	the
president	NN	president
said	VVD	say
that	IN/that	that
we	PP	we
have	VHP	have
reached	VVN	reach
a	DT	a
moment	NN	moment
where	WRB	where
arms	NNS	arm
restriction	NN	restriction
to	TO	to
Israel	NP	Israel
should	MD	should
be	VB	be
considered	VVN	consider
Senator	NP	Senator
Warren	NP	Warren
also	RB	also
said	VVD	say
that	IN/that	that
we	PP	we
have	VH	have
Israel	NP	Israel
has	VHZ	have
violated	VVN	violate
our	PP$	our
own	JJ	own
laws	NNS	law
are	VBP	be
they	PP	they
wrong	JJ	wrong
in	IN	in
their	PP$	their
assessment	NN	assessment
the	DT	the
president	NN	president
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
clear	JJ	clear
in	IN	in
in	IN	in
the	DT	the
readout	NN	readout
Nadia	NP	Nadia
that	IN/that	that
the	DT	the
the	DT	the
president	NN	president
has	VHZ	have
has	VHZ	have
made	VVN	make
it	PP	it
clear	JJ	clear
today	NN	today
um	NNS	um
that	IN/that	that
if	IN	if
we	PP	we
don	VVP	don
'	''	'
t	NN	t
see	VV	see
uh	UH	uh
changes	NNS	change
to	TO	to
the	DT	the
way	NN	way
uh	UH	uh
the	DT	the
IDF	NP	IDF
is	VBZ	be
treating	VVG	treat
innocent	JJ	innocent
civilians	NNS	civilian
and	CC	and
Aid	NN	aid
workers	NNS	worker
and	CC	and
flowing	VVG	flow
the	DT	the
humanitarian	JJ	humanitarian
assistance	NN	assistance
that	DT	that
uh	UH	uh
he	PP	he
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
have	VH	have
to	TO	to
reconsider	VV	reconsider
our	PP$	our
Gaza	NP	Gaza
policy	NN	policy
so	IN	so
I	PP	I
mean	VVP	mean
he	PP	he
was	VBD	be
very	RB	very
direct	JJ	direct
with	IN	with
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
about	IN	about
that	DT	that
I	NP	I
'	POS	'
m	NN	m
not	RB	not
going	VVG	go
