<	SYM	<
destroyed	VVN	destroy
end	NN	end
of	IN	of
quote	NN	quote
the	DT	the
United	NP	United
Nations	NPS	Nations
sources	NNS	source
indicate	VVP	indicate
that	IN/that	that
the	DT	the
aforementioned	JJ	aforementioned
risks	NNS	risk
have	VHP	have
started	VVN	start
to	TO	to
materialize	VV	materialize
and	CC	and
will	MD	will
intensify	VV	intensify
even	RB	even
further	RBR	further
if	IN	if
the	DT	the
operation	NN	operation
continues	VVZ	continue
for	IN	for
instance	NN	instance
on	IN	on
May	NP	May
8th	JJ	8th
2024	CD	@card@
the	DT	the
director	NN	director
general	NN	general
of	IN	of
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
stated	VVD	state
the	DT	the
alar	JJ	alar
hospital	NN	hospital
one	CD	one
of	IN	of
the	DT	the
last	JJ	last
remaining	VVG	remain
medical	JJ	medical
facilities	NNS	facility
in	IN	in
the	DT	the
Rafa	NP	Rafa
governor	NN	governor
was	VBD	be
no	RB	no
longer	RBR	longer
functional	JJ	functional
due	RB	due
to	TO	to
the	DT	the
ongoing	JJ	ongoing
hostilities	NNS	hostility
in	IN	in
its	PP$	its
vicinity	NN	vicinity
on	IN	on
May	NP	May
17	CD	@card@
2024	CD	@card@
the	DT	the
world	NN	world
food	NN	food
program	NN	program
warned	VVD	warn
that	IN/that	that
it	PP	it
had	VHD	have
been	VBN	be
able	JJ	able
to	TO	to
access	VV	access
its	PP$	its
warehous	JJ	warehous
in	IN	in
Rafa	NP	Rafa
for	IN	for
over	IN	over
it	PP	it
hadn	NN	hadn
'	POS	'
t	NN	t
been	VBN	be
able	JJ	able
to	TO	to
access	VV	access
its	PP$	its
warh	NN	warh
houses	NNS	house
in	IN	in
Rafa	NP	Rafa
for	IN	for
over	IN	over
a	DT	a
week	NN	week
and	CC	and
observed	VVD	observe
that	IN/that	that
I	PP	I
quote	VVP	quote
the	DT	the
incursion	NN	incursion
into	IN	into
Rafa	NP	Rafa
is	VBZ	be
a	DT	a
significant	JJ	significant
set	NN	set
back	RB	back
to	TO	to
recent	JJ	recent
mod	JJ	mod
modest	JJ	modest
progress	NN	progress
on	IN	on
access	NN	access
and	CC	and
of	IN	of
quot	NN	quot
on	IN	on
the	DT	the
basis	NN	basis
of	IN	of
information	NN	information
before	IN	before
it	PP	it
the	DT	the
court	NN	court
is	VBZ	be
not	RB	not
convinced	VVN	convince
that	IN/that	that
the	DT	the
evacuation	NN	evacuation
efforts	NNS	effort
and	CC	and
related	JJ	related
measures	NNS	measure
that	WDT	that
Israel	NP	Israel
affirms	VVZ	affirm
to	TO	to
have	VH	have
undertaken	VVN	undertake
to	TO	to
enhance	VV	enhance
the	DT	the
security	NN	security
of	IN	of
civilians	NNS	civilian
in	IN	in
the	DT	the
gasa	NN	gasa
strip	NN	strip
and	CC	and
in	IN	in
particular	RB	particular
those	DT	those
recently	RB	recently
displaced	VVN	displace
from	IN	from
the	DT	the
governor	NN	governor
are	VBP	be
sufficient	JJ	sufficient
to	TO	to
alleviate	VV	alleviate
the	DT	the
immense	JJ	immense
risk	NN	risk
to	TO	to
which	WDT	which
the	DT	the
Palestinian	JJ	Palestinian
population	NN	population
is	VBZ	be
exposed	VVN	expose
as	IN	as
a	DT	a
result	NN	result
of	IN	of
the	DT	the
military	JJ	military
offensive	NN	offensive
in	IN	in
Rafa	NP	Rafa
the	DT	the
court	NN	court
observed	VVD	observe
for	IN	for
instance	NN	instance
that	IN/that	that
according	VVG	accord
to	TO	to
a	DT	a
statement	NN	statement
by	IN	by
the	DT	the
commissioner	NN	commissioner
General	NP	General
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
relief	NN	relief
and	CC	and
works	VVZ	work
Agency	NP	Agency
for	IN	for
Palestine	NP	Palestine
refugees	NNS	refugee
in	IN	in
the	DT	the
near	JJ	near
East	NP	East
Mr	NP	Mr
Philip	NP	Philip
lazarini	NP	Lazarini
on	IN	on
May	NP	May
18	CD	@card@
2024	CD	@card@
I	PP	I
quote	VVP	quote
the	DT	the
areas	NNS	area
that	IN/that	that
peoples	NNS	people
are	VBP	be
fleeing	VVG	flee
to	TO	to
now	RB	now
do	VVP	do
not	RB	not
have	VH	have
Safe	NP	Safe
Water	NP	Water
Supplies	NNS	supply
or	CC	or
sanitation	NN	sanitation
facilities	NNS	facility
al	NP	al
-	NN	-
maasi	NN	maasi
as	IN	as
one	CD	one
example	NN	example
is	VBZ	be
a	DT	a
Sandy	NP	Sandy
14	CD	@card@
Square	NP	Square
kilm	NN	kilm
agricultur	NN	agricultur
land	NN	land
where	WRB	where
people	NNS	people
are	VBP	be
left	VVN	leave
out	RP	out
in	IN	in
the	DT	the
open	JJ	open
with	IN	with
little	JJ	little
to	TO	to
no	DT	no
buildings	NNS	building
or	CC	or
roads	NNS	road
it	PP	it
lacks	VVZ	lack
the	DT	the
minimal	JJ	minimal
conditions	NNS	condition
to	TO	to
provide	VV	provide
emergency	NN	emergency
humanitarian	JJ	humanitarian
assistance	NN	assistance
in	IN	in
a	DT	a
safe	JJ	safe
and	CC	and
dignified	JJ	dignified
manner	NN	manner
end	NN	end
of	IN	of
Court	NP	Court
the	DT	the
court	NN	court
observed	VVD	observe
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
not	RB	not
provided	VVN	provide
sufficient	JJ	sufficient
information	NN	information
concerning	VVG	concern
the	DT	the
safety	NN	safety
of	IN	of
the	DT	the
population	NN	population
during	IN	during
the	DT	the
evacuation	NN	evacuation
process	NN	process
or	CC	or
the	DT	the
availability	NN	availability
in	IN	in
al	NP	al
-	NN	-
maasi	NN	maasi
area	NN	area
of	IN	of
the	DT	the
necessary	JJ	necessary
amount	NN	amount
of	IN	of
Water	NP	Water
Sanitation	NN	sanitation
food	NN	food
medicine	NN	medicine
and	CC	and
shelter	NN	shelter
for	IN	for
the	DT	the
800	CD	@card@
,	,	,
000	CD	@card@
Palestinians	NNS	Palestinian
that	WDT	that
have	VHP	have
evacuated	VVN	evacuate
thus	RB	thus
far	RB	far
consequently	RB	consequently
the	DT	the
court	NN	court
is	VBZ	be
of	IN	of
view	NN	view
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
not	RB	not
sufficiently	RB	sufficiently
addressed	VVN	address
and	CC	and
dispelled	VVN	dispel
the	DT	the
concerns	NNS	concern
raised	VVN	raise
by	IN	by
its	PP$	its
military	JJ	military
offensive	NN	offensive
in	IN	in
Rafa	NP	Rafa
in	IN	in
light	NN	light
of	IN	of
the	DT	the
consideration	NN	consideration
set	VVN	set
out	RP	out
in	IN	in
the	DT	the
preceding	JJ	preceding
sections	NNS	section
of	IN	of
the	DT	the
order	NN	order
and	CC	and
taking	VVG	take
account	NN	account
of	IN	of
the	DT	the
orders	NNS	order
of	IN	of
January	NP	January
26	CD	@card@
2024	CD	@card@
and	CC	and
March	NP	March
28	CD	@card@
2024	CD	@card@
the	DT	the
court	NN	court
finds	VVZ	find
that	IN/that	that
the	DT	the
current	JJ	current
situation	NN	situation
arising	VVG	arise
from	IN	from
Israel	NP	Israel
'	POS	'
s	JJ	s
military	JJ	military
offensive	NN	offensive
in	IN	in
Rafa	NP	Rafa
entails	VVZ	entail
a	DT	a
further	JJR	further
risk	NN	risk
of	IN	of
irreparable	JJ	irreparable
prejudice	NN	prejudice
to	TO	to
the	DT	the
and	CC	and
that	IN/that	that
there	EX	there
is	VBZ	be
urgency	NN	urgency
in	IN	in
the	DT	the
sense	NN	sense
that	IN/that	that
there	EX	there
exists	VVZ	exist
a	DT	a
real	JJ	real
and	CC	and
imminent	JJ	imminent
risk	NN	risk
that	IN/that	that
such	JJ	such
Prejudice	NN	prejudice
will	MD	will
be	VB	be
caused	VVN	cause
before	IN	before
the	DT	the
Court	NP	Court
gives	VVZ	give
its	PP$	its
final	JJ	final
decision	NN	decision
the	DT	the
court	NN	court
concludes	VVZ	conclude
on	IN	on
the	DT	the
basis	NN	basis
of	IN	of
the	DT	the
aforementioned	JJ	aforementioned
considerations	NNS	consideration
that	IN/that	that
the	DT	the
circumstances	NNS	circumstance
of	IN	of
the	DT	the
case	NN	case
required	VVN	require
to	TO	to
modify	VV	modify
its	PP$	its
decision	NN	decision
set	VVD	set
out	RP	out
in	IN	in
its	PP$	its
order	NN	order
of	IN	of
March	NP	March
28	CD	@card@
2024	CD	@card@
the	DT	the
court	NN	court
recalls	VVZ	recall
that	IN/that	that
in	IN	in
accordance	NN	accordance
with	IN	with
article	NN	article
75	CD	@card@
paragraph	NN	paragraph
2	CD	@card@
of	IN	of
its	PP$	its
rules	NNS	rule
when	WRB	when
a	DT	a
request	NN	request
for	IN	for
the	DT	the
indication	NN	indication
of	IN	of
provision	NN	provision
measures	NNS	measure
has	VHZ	have
been	VBN	be
made	VVN	make
it	PP	it
has	VHZ	have
the	DT	the
power	NN	power
under	IN	under
its	PP$	its
statute	NN	statute
to	TO	to
indicate	VV	indicate
measures	NNS	measure
that	WDT	that
are	VBP	be
not	RB	not
in	IN	in
whole	NN	whole
or	CC	or
in	IN	in
part	NN	part
other	JJ	other
than	IN	than
those	DT	those
requested	VVN	request
in	IN	in
the	DT	the
present	JJ	present
case	NN	case
having	VHG	have
considered	VVN	consider
the	DT	the
terms	NNS	term
of	IN	of
the	DT	the
provisional	JJ	provisional
measures	NNS	measure
requested	VVN	request
by	IN	by
South	NP	South
Africa	NP	Africa
and	CC	and
the	DT	the
circumstances	NNS	circumstance
of	IN	of
the	DT	the
case	NN	case
the	DT	the
court	NN	court
found	VVD	find
that	IN/that	that
the	DT	the
measures	NNS	measure
to	TO	to
be	VB	be
indicated	VVN	indicate
need	MD	need
not	RB	not
be	VB	be
identical	JJ	identical
to	TO	to
those	DT	those
requested	VVD	request
the	DT	the
court	NN	court
consider	VVP	consider
that	IN/that	that
in	IN	in
Conformity	NN	conformity
with	IN	with
obligations	NNS	obligation
under	IN	under
the	DT	the
genocide	NN	genocide
convention	NN	convention
is	VBZ	be
Israel	NP	Israel
must	MD	must
immediately	RB	immediately
hold	VV	hold
its	PP$	its
military	JJ	military
offens	NNS	offens
and	CC	and
any	DT	any
other	JJ	other
action	NN	action
in	IN	in
the	DT	the
Rafa	NP	Rafa
Governor	NP	Governor
which	WDT	which
may	MD	may
inflict	VV	inflict
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
group	NN	group
in	IN	in
Gaza	NP	Gaza
conditions	NNS	condition
of	IN	of
life	NN	life
that	WDT	that
could	MD	could
bring	VV	bring
about	IN	about
its	PP$	its
physical	JJ	physical
destruction	NN	destruction
in	IN	in
whole	NN	whole
or	CC	or
in	IN	in
part	NN	part
the	DT	the
court	NN	court
recalls	VVZ	recall
that	IN/that	that
it	PP	it
that	IN/that	that
in	IN	in
its	PP$	its
order	NN	order
of	IN	of
January	NP	January
26	CD	@card@
2024	CD	@card@
it	PP	it
ordered	VVD	order
Israel	NP	Israel
inter	VV	inter
area	NN	area
to	TO	to
I	PP	I
quote	VVP	quote
take	VV	take
effective	JJ	effective
measures	NNS	measure
to	TO	to
prevent	VV	prevent
the	DT	the
destruction	NN	destruction
and	CC	and
ensure	VV	ensure
the	DT	the
preservation	NN	preservation
of	IN	of
evidence	NN	evidence
related	VVN	relate
to	TO	to
allegations	NNS	allegation
of	IN	of
Acts	NNS	act
within	IN	within
the	DT	the
scope	NN	scope
of	IN	of
Article	NP	Article
2	CD	@card@
and	CC	and
article	NN	article
3	CD	@card@
of	IN	of
the	DT	the
genocide	NN	genocide
convention	NN	convention
end	NN	end
of	IN	of
quote	NN	quote
in	IN	in
the	DT	the
present	JJ	present
circumstances	NNS	circumstance
the	DT	the
court	NN	court
is	VBZ	be
also	RB	also
of	IN	of
the	DT	the
view	NN	view
that	IN/that	that
in	IN	in
order	NN	order
to	TO	to
preserve	VV	preserve
evidence	NN	evidence
related	VVN	relate
to	TO	to
allegations	NNS	allegation
of	IN	of
Acts	NNS	act
falling	VVG	fall
within	IN	within
the	DT	the
scope	NN	scope
of	IN	of
Article	NP	Article
2	CD	@card@
and	CC	and
article	NN	article
three	CD	three
of	IN	of
the	DT	the
genocide	NN	genocide
convention	NN	convention
Israel	NP	Israel
must	MD	must
take	VV	take
effective	JJ	effective
measures	NNS	measure
to	TO	to
ensure	VV	ensure
the	DT	the
unimpeded	JJ	unimpeded
access	NN	access
to	TO	to
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
of	IN	of
any	DT	any
Commission	NP	Commission
of	IN	of
inquiry	NN	inquiry
fact	NN	fact
finding	VVG	find
Mission	NP	Mission
or	CC	or
other	JJ	other
investigative	JJ	investigative
body	NN	body
mandated	VVN	mandate
by	IN	by
competent	JJ	competent
organs	NNS	organ
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
to	TO	to
investigate	VV	investigate
allegations	NNS	allegation
of	IN	of
genocide	NN	genocide
the	DT	the
court	NN	court
also	RB	also
considers	VVZ	consider
that	IN/that	that
the	DT	the
catastrophic	JJ	catastrophic
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
confirmed	VVD	confirm
the	DT	the
need	NN	need
for	IN	for
the	DT	the
immediate	JJ	immediate
and	CC	and
effective	JJ	effective
implementation	NN	implementation
of	IN	of
the	DT	the
measures	NNS	measure
indicated	VVD	indicate
in	IN	in
its	PP$	its
orders	NNS	order
2024	CD	@card@
which	WDT	which
are	VBP	be
applicable	JJ	applicable
throughout	IN	throughout
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
including	VVG	include
in	IN	in
Rafa	NP	Rafa
in	IN	in
these	DT	these
circumstances	NNS	circumstance
the	DT	the
court	NN	court
finds	VVZ	find
it	PP	it
necessary	JJ	necessary
to	TO	to
reaffirm	VV	reaffirm
the	DT	the
measures	NNS	measure
indicated	VVN	indicate
in	IN	in
those	DT	those
orders	NNS	order
in	IN	in
so	RB	so
doing	VVG	do
the	DT	the
Court	NP	Court
wishes	VVZ	wish
to	TO	to
emphasize	VV	emphasize
that	IN/that	that
the	DT	the
measure	NN	measure
indicated	VVD	indicate
in	IN	in
paragraph	NN	paragraph
512a	NN	512a
of	IN	of
its	PP$	its
order	NN	order
of	IN	of
March	NP	March
28	CD	@card@
2024	CD	@card@
requiring	VVG	require
I	PP	I
quote	VVP	quote
the	DT	the
unhindered	JJ	unhindered
provision	NN	provision
at	IN	at
scale	NN	scale
by	IN	by
all	DT	all
concerned	VVN	concern
of	IN	of
urgently	RB	urgently
needed	VVN	need
basic	JJ	basic
services	NNS	service
and	CC	and
humanitarian	JJ	humanitarian
assistance	NN	assistance
and	CC	and
of	IN	of
course	NN	course
necess	NN	necess
states	VVZ	state
that	IN/that	that
the	DT	the
respondent	NN	respondent
maintain	VVP	maintain
open	JJ	open
land	NN	land
Crossing	VVG	cross
points	NNS	point
and	CC	and
in	IN	in
particular	RB	particular
the	DT	the
Rafa	NP	Rafa
Crossing	VVG	cross
in	IN	in
view	NN	view
of	IN	of
the	DT	the
specific	JJ	specific
provisional	JJ	provisional
measures	NNS	measure
it	PP	it
has	VHZ	have
decided	VVN	decide
to	TO	to
indicate	VV	indicate
the	DT	the
court	NN	court
considered	VVD	consider
that	IN/that	that
Israel	NP	Israel
must	MD	must
submit	VV	submit
a	DT	a
report	NN	report
to	TO	to
the	DT	the
court	NN	court
on	IN	on
all	DT	all
measures	NNS	measure
taken	VVN	take
to	TO	to
give	VV	give
effect	NN	effect
to	TO	to
this	DT	this
order	NN	order
within	IN	within
one	CD	one
month	NN	month
from	IN	from
the	DT	the
date	NN	date
of	IN	of
this	DT	this
order	NN	order
the	DT	the
report	NN	report
so	RB	so
provided	VVN	provide
will	MD	will
then	RB	then
be	VB	be
communicated	VVN	communicate
to	TO	to
South	NP	South
Africa	NP	Africa
which	WDT	which
shall	MD	shall
be	VB	be
given	VVN	give
the	DT	the
opportunity	NN	opportunity
to	TO	to
submit	VV	submit
to	TO	to
the	DT	the
court	NN	court
its	PP$	its
commands	NNS	command
thereon	RB	thereon
the	DT	the
court	NN	court
recalls	VVZ	recall
that	IN/that	that
its	PP$	its
orders	NNS	order
on	IN	on
provisional	JJ	provisional
measures	NNS	measure
under	IN	under
article	NN	article
41	CD	@card@
of	IN	of
the	DT	the
statute	NN	statute
have	VHP	have
binding	JJ	binding
effect	NN	effect
and	CC	and
thus	RB	thus
create	VV	create
International	NP	International
legal	JJ	legal
obligations	NNS	obligation
for	IN	for
any	DT	any
party	NN	party
to	TO	to
whom	WP	whom
the	DT	the
provisional	JJ	provisional
measures	NNS	measure
are	VBP	be
addressed	VVN	address
the	DT	the
court	NN	court
underlined	VVD	underline
that	IN/that	that
the	DT	the
present	JJ	present
order	NN	order
is	VBZ	be
without	IN	without
prejudice	NN	prejudice
to	TO	to
any	DT	any
findings	NNS	finding
concerning	VVG	concern
the	DT	the
respondent	NN	respondent
'	POS	'
s	JJ	s
compliance	NN	compliance
with	IN	with
the	DT	the
orders	NNS	order
of	IN	of
January	NP	January
26	CD	@card@
2024	CD	@card@
and	CC	and
March	NP	March
28	CD	@card@
2024	CD	@card@
in	IN	in
its	PP$	its
orders	NNS	order
of	IN	of
January	NP	January
26	CD	@card@
2024	CD	@card@
and	CC	and
March	NP	March
28th	JJ	28th
2024	CD	@card@
the	DT	the
court	NN	court
expressed	VVD	express
its	PP$	its
grave	JJ	grave
concern	NN	concern
over	IN	over
the	DT	the
fate	NN	fate
of	IN	of
the	DT	the
hostages	NNS	hostage
abducted	VVN	abduct
during	IN	during
the	DT	the
attacks	NNS	attack
in	IN	in
Israel	NP	Israel
on	IN	on
October	NP	October
7	CD	@card@
2023	CD	@card@
and	CC	and
hence	RB	hence
since	IN	since
then	RB	then
by	IN	by
Hamas	JJ	Hamas
and	CC	and
other	JJ	other
armed	JJ	armed
group	NN	group
and	CC	and
called	VVN	call
for	IN	for
their	PP$	their
immediate	JJ	immediate
and	CC	and
unconditional	JJ	unconditional
release	NN	release
the	DT	the
court	NN	court
finds	VVZ	find
it	PP	it
deeply	RB	deeply
troubling	JJ	troubling
that	IN/that	that
many	JJ	many
of	IN	of
these	DT	these
hostages	NNS	hostage
remain	VVP	remain
in	IN	in
captivity	NN	captivity
and	CC	and
reiterate	VV	reiterate
its	PP$	its
SC	NP	SC
for	IN	for
their	PP$	their
immediate	JJ	immediate
and	CC	and
unconditional	JJ	unconditional
release	NN	release
I	PP	I
shall	MD	shall
Now	RB	now
read	VV	read
out	RP	out
the	DT	the
operative	JJ	operative
part	NN	part
of	IN	of
the	DT	the
order	NN	order
for	IN	for
these	DT	these
reasons	NNS	reason
the	DT	the
court	NN	court
by	IN	by
13	CD	@card@
vots	NNS	vots
to	TO	to
two	CD	two
reaffirms	VVZ	reaffirm
the	DT	the
provisional	JJ	provisional
measures	NNS	measure
indicated	VVN	indicate
in	IN	in
its	PP$	its
orders	NNS	order
of	IN	of
26th	JJ	26th
January	NP	January
2024	CD	@card@
and	CC	and
March	NP	March
28th	JJ	28th
2024	CD	@card@
which	WDT	which
should	MD	should
be	VB	be
immediately	RB	immediately
and	CC	and
effectively	RB	effectively
implemented	VVN	implement
in	IN	in
favor	NN	favor
president	NN	president
Salam	NP	Salam
judges	NNS	judge
Abraham	NP	Abraham
YF	NP	YF
bandari	NP	bandari
iwasawa	NP	iwasawa
n	NN	n
charwell	NN	charwell
brand	NN	brand
Gomez	NP	Gomez
roblo	NP	roblo
Cleveland	NP	Cleveland
oresco	NP	oresco
CL	NP	CL
against	IN	against
vice	JJ	vice
president	NN	president
subu	NN	subu
judge	NN	judge
adok	NN	adok
Barak	NP	Barak
two	CD	two
indicates	VVZ	indicate
the	DT	the
following	VVG	follow
provisional	JJ	provisional
measures	NNS	measure
the	DT	the
states	NNS	state
of	IN	of
Israel	NP	Israel
shall	MD	shall
in	IN	in
Conformity	NN	conformity
with	IN	with
its	PP$	its
obligation	NN	obligation
under	IN	under
the	DT	the
convention	NN	convention
on	IN	on
the	DT	the
pre	NN	pre
prevention	NN	prevention
and	CC	and
Punishment	NN	punishment
of	IN	of
the	DT	the
crime	NN	crime
of	IN	of
genocide	NN	genocide
and	CC	and
in	IN	in
view	NN	view
of	IN	of
the	DT	the
worsening	VVG	worsen
conditions	NNS	condition
of	IN	of
Life	NP	Life
faced	VVD	face
by	IN	by
civilian	JJ	civilian
in	IN	in
the	DT	the
Governor	NP	Governor
a	DT	a
by	IN	by
13	CD	@card@
VES	NN	VES
to	TO	to
two	CD	two
immediately	RB	immediately
hold	VVP	hold
its	PP$	its
military	JJ	military
offensive	NN	offensive
and	CC	and
any	DT	any
other	JJ	other
action	NN	action
in	IN	in
the	DT	the
RAF	NN	RAF
Governor	NP	Governor
which	WDT	which
may	MD	may
inflict	VV	inflict
on	IN	on
the	DT	the
life	NN	life
that	WDT	that
would	MD	would
bring	VV	bring
about	IN	about
its	PP$	its
physical	JJ	physical
part	NN	part
in	IN	in
favor	NN	favor
president	NN	president
Salam	NP	Salam
judges	NNS	judge
Abraham	NP	Abraham
YF	NP	YF
bandari	NP	bandari
iwazawa	NP	iwazawa
n	NN	n
Charlesworth	NP	Charlesworth
BR	NP	BR
Gomez	NP	Gomez
Roo	NP	Roo
Cleveland	NP	Cleveland
oresco	NP	oresco
CL	NP	CL
against	IN	against
vice	JJ	vice
president	NN	president
cind	NN	cind
judge	NN	judge
adok	NN	adok
Barak	NP	Barak
by	IN	by
13	CD	@card@
votes	NNS	vote
to	TO	to
two	CD	two
maintain	VVP	maintain
open	VV	open
the	DT	the
Rafa	NP	Rafa
Crossing	VVG	cross
for	IN	for
unhindered	JJ	unhindered
provision	NN	provision
at	IN	at
scale	NN	scale
of	IN	of
humanitarian	JJ	humanitarian
assistance	NN	assistance
in	IN	in
favor	NN	favor
president	NN	president
Salam	NP	Salam
judges	NNS	judge
Abraham	NP	Abraham
Yu	NP	Yu
sh	NN	sh
bandari	NP	bandari
iwasawa	NP	iwasawa
n	NN	n
Charlesworth	NP	Charlesworth
BR	NP	BR
kblo	NP	kblo
Cleveland	NP	Cleveland
uresco	NP	uresco
CL	NP	CL
against	IN	against
vice	JJ	vice
president	NN	president
CND	NP	CND
judge	NN	judge
ad	NN	ad
hok	NN	hok
Barack	NP	Barack
C	NP	C
by	IN	by
30	CD	@card@
votes	NNS	vote
to	TO	to
two	CD	two
take	NN	take
effective	JJ	effective
measures	NNS	measure
to	TO	to
ensure	VV	ensure
the	DT	the
unimpeded	JJ	unimpeded
access	NN	access
to	TO	to
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
of	IN	of
any	DT	any
Commission	NP	Commission
of	IN	of
inquiry	NN	inquiry
fact	NN	fact
finding	VVG	find
Mission	NP	Mission
or	CC	or
other	JJ	other
investigative	JJ	investigative
body	NN	body
mandated	VVN	mandate
by	IN	by
competent	JJ	competent
organs	NNS	organ
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
to	TO	to
investigate	VV	investigate
allegations	NNS	allegation
of	IN	of
genocide	NN	genocide
in	IN	in
favor	NN	favor
president	NN	president
Salam	NP	Salam
judges	NNS	judge
Abraham	NP	Abraham
yo	NP	Yo
bandari	NP	bandari
iwasawa	NP	iwasawa
n	NN	n
Charlesworth	NP	Charlesworth
BR	NP	BR
kblo	NP	kblo
Cleveland	NP	Cleveland
oresco	NP	oresco
CL	NP	CL
against	IN	against
vice	JJ	vice
president	NN	president
seu	NN	seu
judge	NN	judge
adok	NN	adok
Barak	NP	Barak
three	CD	three
by	IN	by
13	CD	@card@
votes	NNS	vote
to	TO	to
two	CD	two
decides	VVZ	decide
that	IN/that	that
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
shall	MD	shall
submit	VV	submit
a	DT	a
report	NN	report
to	TO	to
the	DT	the
court	NN	court
on	IN	on
all	DT	all
measures	NNS	measure
within	IN	within
1	CD	@card@
month	NN	month
as	IN	as
from	IN	from
the	DT	the
date	NN	date
of	IN	of
this	DT	this
order	NN	order
in	IN	in
favor	NN	favor
president	NN	president
Salam	NP	Salam
judges	NNS	judge
Abraham	NP	Abraham
yusf	NP	yusf
bandari	NP	bandari
iwasawa	NP	iwasawa
n	NN	n
Charles	NP	Charles
worth	JJ	worth
barand	NN	barand
Gomez	NP	Gomez
Roo	NP	Roo
Cleveland	NP	Cleveland
uresco	NP	uresco
CL	NP	CL
against	IN	against
vice	JJ	vice
president	NN	president
seutin	NN	seutin
judge	NN	judge
adok	NP	adok
Barak	NP	Barak
I	PP	I
shall	MD	shall
Now	RB	now
call	VV	call
on	IN	on
the	DT	the
registar	NN	registar
to	TO	to
read	VV	read
the	DT	the
operative	JJ	operative
part	NN	part
of	IN	of
the	DT	the
order	NN	order
in	IN	in
French	JJ	French
m	NN	m
m	NN	m
abru	NN	abru
madame	NN	madame
m	NN	m
iasa	NN	iasa
Madame	NN	Madame
charlesw	NN	charlesw
M	NP	M
BR	NP	BR
Gomez	NP	Gomez
roblo	NP	roblo
Madame	NN	Madame
clevand	NN	clevand
M	NN	M
ores	NNS	ore
total	VVP	total
M	NP	M
Salam	NP	Salam
abrahamu	NP	abrahamu
Madame	NN	Madame
Shu	NP	Shu
m	NN	m
bandari	NN	bandari
iasa	NN	iasa
n	NN	n
Madame	NN	Madame
Charles	NP	Charles
swart	JJ	swart
M	NP	M
brand	NN	brand
Gomez	NP	Gomez
Roo	NP	Roo
madame	NN	madame
clame	NN	clame
Madame	NN	Madame
bandari	NN	bandari
iasa	NN	iasa
Madame	NN	Madame
Charlesworth	NP	Charlesworth
M	NP	M
BR	NP	BR
Gomez	NP	Gomez
roblo	NP	roblo
Madame	NN	Madame
Cleveland	NP	Cleveland
M	NP	M
ores	NNS	ore
M	NP	M
Abraham	NP	Abraham
Yu	NP	Yu
Madame	NN	Madame
m	NN	m
bandara	NN	bandara
madame	NN	madame
Char	NP	Char
M	NP	M
bran	NN	bran
Gomez	NP	Gomez
Madame	NN	Madame
Cleveland	NP	Cleveland
m	NN	m
madame	NN	madame
Madame	NN	Madame
Shu	NP	Shu
m	NN	m
bandari	NP	bandari
iwasawa	NP	iwasawa
n	NN	n
Madame	NN	Madame
charlesw	NN	charlesw
Miss	NP	Miss
br	NP	br
meland	NP	Meland
M	NP	M
barok	NN	barok
vice	JJ	vice
president	NN	president
CBU	NP	CBU
appends	VVZ	append
a	DT	a
descending	VVG	descend
opinion	NN	opinion
to	TO	to
the	DT	the
order	NN	order
of	IN	of
the	DT	the
Court	NP	Court
judges	NNS	judge
Nesco	NP	Nesco
and	CC	and
append	VV	append
declaration	NN	declaration
to	TO	to
the	DT	the
order	NN	order
of	IN	of
the	DT	the
court	NN	court
judge	NN	judge
adok	NP	adok
Barak	NP	Barak
append	VV	append
a	DT	a
descending	VVG	descend
opinion	NN	opinion
to	TO	to
the	DT	the
order	NN	order
of	IN	of
the	DT	the
Court	NP	Court
the	DT	the
text	NN	text
of	IN	of
the	DT	the
order	NN	order
is	VBZ	be
a	DT	a
available	JJ	available
from	IN	from
today	NN	today
in	IN	in
typescript	NN	typescript
it	PP	it
will	MD	will
be	VB	be
available	JJ	available
shortly	RB	shortly
on	IN	on
the	DT	the
court	NN	court
website	NN	website
the	DT	the
printed	JJ	printed
text	NN	text
will	MD	will
be	VB	be
available	JJ	available
in	IN	in
due	JJ	due
course	NN	course
as	IN	as
the	DT	the
court	NN	court
has	VHZ	have
no	DT	no
further	JJR	further
business	NN	business
before	IN	before
it	PP	it
today	NN	today
I	PP	I
declare	VVP	declare
the	DT	the
sitting	VVG	sit
closed	VVN	close
<	SYM	<
/	SYM	/
doc	NN	doc
>	SYM	>
