now	RB	now
said	VVN	say
they	PP	they
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
do	VV	do
from	IN	from
the	DT	the
outset	NN	outset
which	WDT	which
is	VBZ	be
continue	VV	continue
with	IN	with
their	PP$	their
war	NN	war
and	CC	and
they	PP	they
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
use	VV	use
every	DT	every
possible	JJ	possible
opportunity	NN	opportunity
extra	NN	extra
time	VV	time
uh	UH	uh
afforded	VVN	afford
to	TO	to
them	PP	them
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
to	TO	to
do	VV	do
just	RB	just
exactly	RB	exactly
that	RB	that
destroy	VV	destroy
Gaza	NP	Gaza
and	CC	and
go	VV	go
after	IN	after
Hamas	NN	Hamas
and	CC	and
it	PP	it
'	POS	'
s	JJ	s
whatever	JJ	whatever
presence	NN	presence
there	EX	there
is	VBZ	be
in	IN	in
Gaza	NP	Gaza
so	IN	so
Israel	NP	Israel
is	VBZ	be
not	RB	not
going	VVG	go
to	TO	to
save	VV	save
any	DT	any
effort	NN	effort
or	CC	or
any	DT	any
time	NN	time
to	TO	to
do	VV	do
just	RB	just
that	IN/that	that
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
why	WRB	why
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
saying	VVG	say
even	RB	even
if	IN	if
they	PP	they
embrace	VVP	embrace
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
resolution	NN	resolution
they	PP	they
will	MD	will
continue	VV	continue
with	IN	with
the	DT	the
war	NN	war
soon	RB	soon
after	IN	after
because	IN	because
it	PP	it
affords	VVZ	afford
them	PP	them
that	IN/that	that
why	WRB	why
because	IN	because
in	IN	in
phase	NN	phase
two	CD	two
it	PP	it
does	VVZ	do
say	VV	say
upon	IN	upon
the	DT	the
agreement	NN	agreement
of	IN	of
the	DT	the
parties	NNS	party
which	WDT	which
mean	VVP	mean
upon	IN	upon
the	DT	the
agreement	NN	agreement
of	IN	of
Israel	NP	Israel
Israel	NP	Israel
is	VBZ	be
not	RB	not
going	VVG	go
to	TO	to
agree	VV	agree
to	TO	to
a	DT	a
second	JJ	second
phase	NN	phase
where	WRB	where
it	PP	it
withdraws	VVZ	withdraw
all	DT	all
forces	NNS	force
from	IN	from
uh	UH	uh
Gaza	NP	Gaza
so	IN	so
Israel	NP	Israel
is	VBZ	be
doing	VVG	do
now	RB	now
what	WDT	what
it	PP	it
has	VHZ	have
done	VVN	do
the	DT	the
past	JJ	past
eight	CD	eight
months	NNS	month
what	WP	what
it	PP	it
will	MD	will
probably	RB	probably
do	VV	do
the	DT	the
next	JJ	next
weeks	NNS	week
and	CC	and
months	NNS	month
which	WDT	which
is	VBZ	be
Contin	NN	Contin
with	IN	with
its	PP$	its
War	NN	war
because	IN	because
America	NP	America
continues	VVZ	continue
to	TO	to
gives	VVZ	give
it	PP	it
ex	JJ	ex
excuses	NNS	excuse
and	CC	and
secretary	NN	secretary
blinkin	NN	blinkin
continues	VVZ	continue
to	TO	to
cover	VV	cover
for	IN	for
it	PP	it
Maran	NP	Maran
bashara	NP	Bashara
alzer	NP	alzer
'	POS	'
s	JJ	s
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
there	RB	there
thanks	VVZ	thank
for	IN	for
joining	VVG	join
us	PP	us
again	RB	again
Maran	NP	Maran
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NP	jazer
