Reed	NP	Reed
least	JJS	least
4	CD	@card@
,	,	,
000	CD	@card@
lers	NNS	lers
per	IN	per
day	NN	day
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	IN	about
hundreds	NNS	hundred
of	IN	of
of	IN	of
uh	UH	uh
kidney	NN	kidney
dialysis	NN	dialysis
patients	NNS	patient
who	WP	who
made	VVD	make
it	PP	it
all	PDT	all
the	DT	the
way	NN	way
from	IN	from
Rafa	NP	Rafa
to	TO	to
uh	UH	uh
ala	NN	ala
Hospital	NN	hospital
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	RB	about
more	JJR	more
than	IN	than
700	CD	@card@
uh	UH	uh
patients	NNS	patient
that	WDT	that
are	VBP	be
receiving	VVG	receive
their	PP$	their
dialysis	NN	dialysis
treatment	NN	treatment
every	DT	every
single	JJ	single
day	NN	day
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	IN	about
premature	JJ	premature
babies	NNS	baby
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	IN	about
people	NNS	people
connected	VVN	connect
to	TO	to
the	DT	the
oxygen	NN	oxygen
machines	VVZ	machine
we	PP	we
'	''	'
re	IN	re
talking	VVG	talk
about	IN	about
surgeries	NNS	surgery
where	WRB	where
every	DT	every
single	JJ	single
day	NN	day
multiple	NN	multiple
and	CC	and
dozens	NNS	dozen
of	IN	of
injuries	NNS	injury
make	VVP	make
it	PP	it
to	TO	to
Ala	NP	Ala
hospital	NN	hospital
after	IN	after
they	PP	they
have	VHP	have
been	VBN	be
uh	UH	uh
targeted	VVN	target
by	IN	by
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
airri	JJ	airri
uh	UH	uh
this	DT	this
is	VBZ	be
the	DT	the
one	CD	one
of	IN	of
the	DT	the
only	JJ	only
uh	UH	uh
hospitals	NNS	hospital
still	RB	still
standing	NN	standing
on	IN	on
uh	UH	uh
uh	UH	uh
it	PP	it
its	PP$	its
feet	NNS	foot
and	CC	and
if	IN	if
anything	NN	anything
happens	VVZ	happen
if	IN	if
we	PP	we
they	PP	they
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
consistent	JJ	consistent
fuel	NN	fuel
there	RB	there
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
be	VB	be
a	DT	a
dire	JJ	dire
situation	NN	situation
in	IN	in
the	DT	the
middle	JJ	middle
area	NN	area
in	IN	in
the	DT	the
Gaza	NP	Gaza
City	NP	City
and	CC	and
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
that	DT	that
hindel	NN	hindel
live	JJ	live
in	IN	in
Al	NP	Al
Bala	NP	Bala
let	NN	let
'	POS	'
s	NNS	s
bring	VVP	bring
in	IN	in
Imran	NP	Imran
Khan	NP	Khan
now	RB	now
a	DT	a
reminder	NN	reminder
to	TO	to
our	PP$	our
viewers	NNS	viewer
that	IN/that	that
Prim	NP	Prim
Minister	NP	Minister
Benjamin	NP	Benjamin
netanyahu	NP	netanyahu
'	POS	'
s	NN	S
government	NN	government
has	VHZ	have
banned	VVN	ban
Al	NP	Al
jaaz	NP	jaaz
in	IN	in
Israel	NP	Israel
which	WDT	which
is	VBZ	be
why	WRB	why
we	PP	we
are	VBP	be
reporting	VVG	report
from	IN	from
the	DT	the
Jordanian	JJ	Jordanian
C	NP	C
am	RB	am
man	VV	man
Imran	NP	Imran
I	PP	I
hear	VVP	hear
that	IN/that	that
you	PP	you
'	POS	'
ve	NN	ve
already	RB	already
seen	VVN	see
some	DT	some
reaction	NN	reaction
from	IN	from
Israel	NP	Israel
to	TO	to
the	DT	the
ruling	NN	ruling
that	RB	that
'	POS	'
s	NN	S
right	NN	right
what	WP	what
we	PP	we
'	POS	'
re	NN	re
hearing	NN	hearing
from	IN	from
diplomatic	JJ	diplomatic
s	NN	S
sources	NNS	source
to	TO	to
Israeli	JJ	Israeli
Channel	NP	Channel
13	CD	@card@
uh	UH	uh
the	DT	the
TV	NN	TV
channel	VV	channel
uh	UH	uh
prime	JJ	prime
minister	NN	minister
Netanyahu	NP	Netanyahu
is	VBZ	be
going	VVG	go
to	TO	to
convene	VV	convene
an	DT	an
emergency	NN	emergency
meeting	NN	meeting
in	IN	in
that	IN/that	that
meeting	VVG	meet
uh	UH	uh
will	MD	will
be	VB	be
the	DT	the
foreign	JJ	foreign
minister	NN	minister
Israel	NP	Israel
Katz	NP	Katz
war	NN	war
minister	NN	minister
Benny	NP	Benny
Gant	NP	Gant
and	CC	and
the	DT	the
government	NN	government
'	POS	'
s	JJ	s
judicial	JJ	judicial
advisor	NN	advisor
that	RB	that
'	POS	'
s	NN	S
how	WRB	how
seriously	RB	seriously
they	PP	they
'	''	'
re	IN	re
taking	VVG	take
this	DT	this
ruling	NN	ruling
but	CC	but
the	DT	the
first	JJ	first
reaction	NN	reaction
has	VHZ	have
actually	RB	actually
come	VVN	come
from	IN	from
uh	UH	uh
the	DT	the
Finance	NP	Finance
Minister	NP	Minister
Beth	NP	Beth
Del	NP	Del
smartr	JJ	smartr
uh	UH	uh
one	CD	one
of	IN	of
the	DT	the
governing	VVG	govern
one	CD	one
of	IN	of
the	DT	the
members	NNS	member
of	IN	of
the	DT	the
hard	JJ	hard
right	JJ	right
part	NN	part
of	IN	of
the	DT	the
Coalition	NP	Coalition
he	PP	he
says	VVZ	say
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
is	VBZ	be
at	IN	at
War	NP	War
for	IN	for
its	PP$	its
own	JJ	own
existence	NN	existence
in	IN	in
sad	JJ	sad
times	NNS	time
in	IN	in
history	NN	history
we	PP	we
could	MD	could
not	RB	not
stand	VV	stand
on	IN	on
our	PP$	our
own	JJ	own
today	NN	today
the	DT	the
Jewish	JJ	Jewish
people	NNS	people
have	VHP	have
the	DT	the
independence	NN	independence
and	CC	and
ability	NN	ability
to	TO	to
protect	VV	protect
our	PP$	our
lives	NNS	life
it	PP	it
'	POS	'
s	NN	S
a	DT	a
lengthy	JJ	lengthy
statement	NN	statement
but	CC	but
he	PP	he
ends	VVZ	end
with	IN	with
um	NNS	um
we	PP	we
continue	VVP	continue
to	TO	to
fight	VV	fight
for	IN	for
ourselves	PP	ourselves
in	IN	in
the	DT	the
entire	JJ	entire
free	JJ	free
world	NN	world
history	NN	history
will	MD	will
judge	VV	judge
the	DT	the
who	WP	who
today	NN	today
stood	VVD	stand
by	IN	by
the	DT	the
Nazis	NPS	Nazis
of	IN	of
Hamas	NP	Hamas
and	CC	and
Isis	NP	Isis
now	RB	now
we	PP	we
'	POS	'
re	NN	re
also	RB	also
hearing	VVG	hear
from	IN	from
political	JJ	political
sources	NNS	source
uh	UH	uh
speaking	VVG	speak
to	TO	to
local	JJ	local
media	NNS	medium
in	IN	in
Israel	NP	Israel
um	JJ	um
they	PP	they
'	''	'
re	IN	re
being	VBG	be
told	VVN	tell
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
not	RB	not
going	VVG	go
to	TO	to
respond	VV	respond
uh	UH	uh
to	TO	to
the	DT	the
decision	NN	decision
of	IN	of
the	DT	the
Court	NP	Court
uh	UH	uh
both	CC	both
politically	RB	politically
or	CC	or
militarily	RB	militarily
it	PP	it
'	POS	'
s	NN	S
already	RB	already
holding	VVG	hold
uh	UH	uh
under	IN	under
the	DT	the
table	NN	table
talks	NNS	talk
with	IN	with
America	NP	America
uh	UH	uh
those	DT	those
talks	NNS	talk
have	VHP	have
been	VBN	be
ongoing	JJ	ongoing
since	IN	since
this	DT	this
decision	NN	decision
was	VBD	be
about	RB	about
to	TO	to
take	VV	take
place	NN	place
and	CC	and
they	PP	they
expect	VVP	expect
Washington	NP	Washington
to	TO	to
veto	VV	veto
the	DT	the
resolution	NN	resolution
all	DT	all
right	JJ	right
Imran	NP	Imran
thank	VVP	thank
you	PP	you
for	IN	for
that	DT	that
Imran	NP	Imran
Khan	NP	Khan
joining	VVG	join
us	PP	us
live	VVP	live
from	IN	from
Aman	NP	Aman
let	NN	let
'	POS	'
s	NNS	s
bring	VVP	bring
in	RB	in
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NP	jazer
