<video_id>75C8Xe7VQq0</video_id>	NP	<video_id>75C8Xe7VQq0</video_id>
Israeli	JJ	Israeli
hostages	NNS	hostage
from	IN	from
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
from	IN	from
the	DT	the
Israeli	JJ	Israeli
site	NN	site
more	JJR	more
Palestinians	NNS	Palestinian
will	MD	will
be	VB	be
released	VVN	release
from	IN	from
the	DT	the
Israeli	JJ	Israeli
jails	NNS	jail
okay	JJ	okay
for	IN	for
now	RB	now
TK	NP	TK
Abu	NP	Abu
aom	NN	aom
there	RB	there
for	IN	for
us	PP	us
in	IN	in
khun	NN	khun
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
thank	VVP	thank
you	PP	you
for	IN	for
that	DT	that
</doc>	NN	</doc>
