all	PDT	all
is	VBZ	be
not	RB	not
just	JJ	just
uh	UH	uh
the	DT	the
only	JJ	only
goal	NN	goal
the	DT	the
war	NN	war
isn	NN	isn
'	POS	'
t	NN	t
just	RB	just
the	DT	the
only	JJ	only
goal	NN	goal
against	IN	against
Hamas	NP	Hamas
but	CC	but
also	RB	also
those	DT	those
captives	NNS	captive
in	IN	in
the	DT	the
last	JJ	last
uh	UH	uh
couple	NN	couple
of	IN	of
hours	NNS	hour
we	PP	we
'	POS	'
ve	NN	ve
also	RB	also
been	VBN	be
hearing	NN	hearing
from	IN	from
uh	UH	uh
the	DT	the
Justice	NP	Justice
minister	NN	minister
minist	NN	minist
rather	RB	rather
which	WDT	which
has	VHZ	have
released	VVN	release
a	DT	a
list	NN	list
of	IN	of
prisoners	NNS	prisoner
uh	UH	uh
the	DT	the
name	NN	name
of	IN	of
those	DT	those
that	WDT	that
will	MD	will
be	VB	be
released	VVN	release
300	RB	@card@
interestingly	RB	interestingly
because	IN	because
150	CD	@card@
we	PP	we
know	VVP	know
will	MD	will
be	VB	be
released	VVN	release
in	IN	in
exchange	NN	exchange
for	IN	for
those	DT	those
50	CD	@card@
captives	NNS	captive
but	CC	but
this	DT	this
could	MD	could
elude	VV	elude
the	DT	the
reason	NN	reason
why	WRB	why
they	PP	they
'	POS	'
re	NN	re
releasing	VVG	release
these	DT	these
names	VVZ	name
uh	UH	uh
being	VBG	be
300	CD	@card@
so	RB	so
double	JJ	double
is	VBZ	be
that	IN/that	that
if	IN	if
Hamas	NP	Hamas
releases	VVZ	release
10	CD	@card@
more	JJR	more
captives	NNS	captive
They	PP	they
will	MD	will
receive	VV	receive
an	DT	an
extension	NN	extension
uh	UH	uh
in	IN	in
terms	NNS	term
of	IN	of
PA	NN	pa
of	IN	of
fighting	VVG	fight
more	JJR	more
than	IN	than
those	DT	those
four	CD	four
days	NNS	day
and	CC	and
as	RB	as
well	RB	well
the	DT	the
release	NN	release
of	IN	of
more	JJR	more
prisoners	NNS	prisoner
so	RB	so
in	IN	in
a	DT	a
way	NN	way
this	DT	this
is	VBZ	be
a	DT	a
a	DT	a
push	NN	push
from	IN	from
Israel	NP	Israel
to	TO	to
encourage	VV	encourage
Hamas	NNS	Hamas
to	TO	to
do	VV	do
so	RB	so
very	RB	very
interesting	JJ	interesting
Sara	NP	Sara
and	CC	and
you	PP	you
mentioned	VVD	mention
the	DT	the
families	NNS	family
of	IN	of
those	DT	those
captives	NNS	captive
of	IN	of
course	NN	course
this	DT	this
news	NN	news
must	MD	must
bring	VV	bring
some	DT	some
relief	NN	relief
uh	UH	uh
has	VHZ	have
there	RB	there
been	VBN	be
much	JJ	much
reaction	NN	reaction
from	IN	from
them	PP	them
huge	JJ	huge
relief	NN	relief
in	IN	in
in	IN	in
some	DT	some
ways	NNS	way
only	RB	only
in	IN	in
the	DT	the
perspective	NN	perspective
that	IN/that	that
they	PP	they
feel	VVP	feel
that	IN/that	that
their	PP$	their
pressure	NN	pressure
on	IN	on
the	DT	the
government	NN	government
potentially	RB	potentially
has	VHZ	have
helped	VVN	help
uh	UH	uh
towards	IN	towards
these	DT	these
negotiations	NNS	negotiation
they	PP	they
said	VVD	say
that	IN/that	that
they	PP	they
'	POS	'
ve	RB	ve
been	VBN	be
left	VVN	leave
out	RP	out
of	IN	of
the	DT	the
dark	NN	dark
but	CC	but
their	PP$	their
marches	NNS	march
and	CC	and
their	PP$	their
protest	NN	protest
and	CC	and
being	VBG	be
very	RB	very
vocal	JJ	vocal
about	IN	about
it	PP	it
also	RB	also
on	IN	on
Israeli	JJ	Israeli
media	NNS	medium
they	PP	they
think	VVP	think
may	MD	may
have	VH	have
had	VHN	have
something	NN	something
to	TO	to
do	VV	do
with	IN	with
this	DT	this
but	CC	but
there	EX	there
'	''	'
s	NNS	s
real	JJ	real
worry	NN	worry
because	IN	because
Hamas	NP	Hamas
will	MD	will
only	RB	only
be	VB	be
releasing	VVG	release
the	DT	the
names	NNS	name
of	IN	of
those	DT	those
that	WDT	that
will	MD	will
be	VB	be
released	VVN	release
the	DT	the
day	NN	day
before	IN	before
so	CC	so
uh	UH	uh
the	DT	the
families	NNS	family
will	MD	will
be	VB	be
waiting	VVG	wait
to	TO	to
find	VV	find
out	RP	out
if	IN	if
their	PP$	their
uh	UH	uh
members	NNS	member
are	VBP	be
being	VBG	be
released	VVN	release
and	CC	and
of	IN	of
course	NN	course
that	RB	that
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
big	JJ	big
concern	NN	concern
the	DT	the
other	JJ	other
concern	NN	concern
for	IN	for
them	PP	them
is	VBZ	be
that	IN/that	that
some	DT	some
of	IN	of
those	DT	those
being	NN	being
held	VVN	hold
are	VBP	be
not	RB	not
just	RB	just
by	IN	by
Hamas	NN	Hamas
but	CC	but
also	RB	also
Islamic	NP	Islamic
Jihad	NP	Jihad
and	CC	and
in	IN	in
in	IN	in
a	DT	a
few	JJ	few
weeks	NNS	week
ago	RB	ago
some	RB	some
of	IN	of
them	PP	them
had	VHD	have
said	VVN	say
said	VVD	say
that	IN/that	that
they	PP	they
didn	NNS	didn
'	POS	'
t	NN	t
know	VV	know
where	WRB	where
all	PDT	all
those	DT	those
those	DT	those
that	WDT	that
are	VBP	be
held	VVN	hold
captive	NN	captive
were	VBD	be
so	RB	so
again	RB	again
uh	UH	uh
this	DT	this
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
a	DT	a
very	JJ	very
nerve	NN	nerve
-	NN	-
wracking	VVG	wrack
time	NN	time
for	IN	for
the	DT	the
families	NNS	family
as	IN	as
some	DT	some
of	IN	of
them	PP	them
I	PP	I
'	POS	'
m	NN	m
sure	RB	sure
will	MD	will
find	VV	find
out	RP	out
that	DT	that
th	NN	th
their	PP$	their
loved	VVN	love
ones	NNS	one
won	VVD	win
'	''	'
t	NN	t
be	VB	be
released	VVN	release
just	RB	just
yet	RB	yet
thank	VV	thank
you	PP	you
for	IN	for
that	DT	that
Sarah	NP	Sarah
kyat	NN	kyat
there	RB	there
for	IN	for
us	PP	us
an	DT	an
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
we	PP	we
can	MD	can
turn	VV	turn
now	RB	now
to	TO	to
John	NP	John
hendren	NNS	hendren
to	TO	to
get	VV	get
the	DT	the
view	NN	view
from	IN	from
the	DT	the
United	NP	United
States	NPS	States
John	NP	John
so	IN	so
I	PP	I
wonder	VVP	wonder
how	WRB	how
significant	JJ	significant
you	PP	you
think	VVP	think
it	PP	it
is	VBZ	be
that	IN/that	that
we	PP	we
did	VVD	do
get	VV	get
a	DT	a
statement	NN	statement
from	IN	from
the	DT	the
United	NP	United
States	NPS	States
from	IN	from
President	NP	President
Biden	NP	Biden
but	CC	but
that	WDT	that
only	RB	only
came	VVD	come
after	IN	after
the	DT	the
qataris	NN	qataris
had	VHD	have
released	VVN	release
a	DT	a
statement	NN	statement
that	RB	that
'	POS	'
s	JJ	s
right	NN	right
the	DT	the
US	NP	US
uh	UH	uh
Administration	NP	Administration
official	NN	official
actually	RB	actually
spoke	VVD	speak
to	TO	to
reporters	NNS	reporter
before	IN	before
that	DT	that
announcement	NN	announcement
was	VBD	be
made	VVN	make
by	IN	by
Qatar	NP	Qatar
but	CC	but
it	PP	it
was	VBD	be
embargoed	VVN	embargo
for	IN	for
reporting	VVG	report
we	PP	we
weren	NNS	weren
'	POS	'
t	NN	t
allowed	VVD	allow
to	TO	to
say	VV	say
anything	NN	anything
about	IN	about
it	PP	it
until	IN	until
the	DT	the
Qatari	JJ	Qatari
announcement	NN	announcement
was	VBD	be
made	VVN	make
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
because	IN	because
the	DT	the
US	NP	US
was	VBD	be
grateful	JJ	grateful
for	IN	for
qatar	NN	qatar
'	POS	'
s	NN	S
role	NN	role
that	WDT	that
is	VBZ	be
Qatar	NP	Qatar
can	MD	can
do	VV	do
something	NN	something
that	IN/that	that
the	DT	the
us	PP	us
simply	RB	simply
can	MD	can
'	''	'
t	NN	t
do	VVP	do
and	CC	and
that	WDT	that
is	VBZ	be
talk	NN	talk
directly	RB	directly
to	TO	to
Hamas	JJ	Hamas
and	CC	and
that	WDT	that
'	POS	'
s	VVG	s
what	WP	what
they	PP	they
needed	VVD	need
to	TO	to
happen	VV	happen
and	CC	and
uh	UH	uh
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
is	VBZ	be
grateful	JJ	grateful
that	IN/that	that
something	NN	something
has	VHZ	have
happened	VVN	happen
that	IN/that	that
there	EX	there
has	VHZ	have
been	VBN	be
some	DT	some
progress	NN	progress
on	IN	on
this	DT	this
not	RB	not
just	RB	just
because	IN	because
there	EX	there
are	VBP	be
three	CD	three
Americans	NPS	Americans
among	IN	among
those	DT	those
uh	UH	uh
50	CD	@card@
plus	NN	plus
to	TO	to
be	VB	be
released	VVN	release
one	CD	one
of	IN	of
them	PP	them
is	VBZ	be
a	DT	a
three	CD	three
-	NN	-
year	NN	year
-	NN	-
old	JJ	old
named	VVN	name
Abigail	NP	Abigail
whose	WP$	whose
birthday	NN	birthday
is	VBZ	be
on	IN	on
Friday	NP	Friday
but	CC	but
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
really	RB	really
uh	UH	uh
wants	VVZ	want
something	NN	something
to	TO	to
happen	VV	happen
on	IN	on
this	DT	this
because	IN	because
Biden	NP	Biden
'	POS	'
s	NN	S
popularity	NN	popularity
is	VBZ	be
really	RB	really
tanked	VVN	tank
in	IN	in
polls	NNS	poll
across	IN	across
the	DT	the
us	PP	us
there	RB	there
was	VBD	be
widespread	JJ	widespread
support	NN	support
for	IN	for
Israel	NP	Israel
initially	RB	initially
after	IN	after
the	DT	the
October	NP	October
7th	JJ	7th
attacks	NNS	attack
but	CC	but
that	WDT	that
has	VHZ	have
waned	VVN	wane
and	CC	and
most	JJS	most
of	IN	of
the	DT	the
protests	VVZ	protest
you	PP	you
'	''	'
ve	NNS	ve
seen	VVN	see
across	IN	across
the	DT	the
US	NP	US
are	VBP	be
pro	JJ	pro
Palestinian	JJ	Palestinian
lately	RB	lately
there	EX	there
are	VBP	be
on	IN	on
both	DT	both
sides	NNS	side
but	CC	but
there	EX	there
are	VBP	be
some	DT	some
huge	JJ	huge
Pro	NP	Pro
Palestinian	JJ	Palestinian
protests	NNS	protest
and	CC	and
polls	NNS	poll
have	VHP	have
shown	VVN	show
that	IN/that	that
Biden	NP	Biden
has	VHZ	have
really	RB	really
taken	VVN	take
a	DT	a
hit	NN	hit
that	IN/that	that
he	PP	he
'	POS	'
s	NN	S
actually	RB	actually
gone	VVN	go
from	IN	from
being	VBG	be
ahead	RB	ahead
of	IN	of
his	PP$	his
presumed	JJ	presumed
rival	NN	rival
Donald	NP	Donald
Trump	NP	Trump
the	DT	the
Republican	JJ	Republican
in	IN	in
the	DT	the
2024	CD	@card@
presidential	JJ	presidential
election	NN	election
to	TO	to
being	VBG	be
behind	IN	behind
him	PP	him
not	RB	not
that	IN/that	that
that	WDT	that
has	VHZ	have
necessarily	RB	necessarily
driven	VVN	drive
it	PP	it
but	CC	but
we	PP	we
'	POS	'
ve	JJ	ve
seen	VVN	see
statements	NNS	statement
across	IN	across
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
praising	VVG	praise
this	DT	this
move	VVP	move
they	PP	they
'	''	'
re	IN	re
clearly	RB	clearly
grateful	JJ	grateful
okay	RB	okay
thank	VV	thank
you	PP	you
for	IN	for
that	DT	that
John	NP	John
hendin	NN	hendin
there	RB	there
for	IN	for
us	PP	us
in	IN	in
Washington	NP	Washington
DC	NP	DC
