<video_id>HIG8Pxa6EyQ</video_id>	NN	<video_id>HIG8Pxa6EyQ</video_id>
bombardments	NNS	bombardment
coincided	VVD	coincide
with	IN	with
a	DT	a
complete	JJ	complete
cut	NN	cut
out	IN	out
uh	UH	uh
of	IN	of
internet	NN	Internet
and	CC	and
fular	JJ	fular
uh	UH	uh
networks	NNS	network
all	RB	all
over	IN	over
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
for	IN	for
the	DT	the
third	JJ	third
time	NN	time
in	IN	in
less	JJR	less
than	IN	than
10	CD	@card@
days	NNS	day
so	RB	so
now	RB	now
um	JJ	um
the	DT	the
people	NNS	people
all	RB	all
over	IN	over
the	DT	the
Gaza	NP	Gaza
STP	NP	STP
are	VBP	be
unable	JJ	unable
to	TO	to
communicate	VV	communicate
with	IN	with
each	DT	each
other	JJ	other
especially	RB	especially
following	VVG	follow
every	DT	every
every	DT	every
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
as	IN	as
they	PP	they
have	VHP	have
been	VBN	be
using	VVG	use
to	TO	to
uh	UH	uh
to	TO	to
do	VV	do
uh	UH	uh
to	TO	to
check	VV	check
their	PP$	their
relatives	NNS	relative
and	CC	and
with	IN	with
their	PP$	their
families	NNS	family
who	WP	who
are	VBP	be
deployed	VVN	deploy
and	CC	and
displaced	VVN	displace
in	IN	in
different	JJ	different
places	NNS	place
all	RB	all
over	IN	over
G	NN	G
so	IN	so
uh	UH	uh
saf	NN	saf
what	WP	what
you	PP	you
say	VVP	say
severe	JJ	severe
clashes	NNS	clash
between	IN	between
Israeli	JJ	Israeli
troops	VVZ	troop
uh	UH	uh
and	CC	and
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
these	DT	these
would	MD	would
be	VB	be
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
ground	NN	ground
troops	VVZ	troop
uh	UH	uh
who've	NN	who've
conducted	VVD	conduct
this	DT	this
ground	NN	ground
incursion	NN	incursion
it's	NN	it's
been	VBN	be
a	DT	a
week	NN	week
now	RB	now
since	IN	since
the	DT	the
ground	NN	ground
incursion	NN	incursion
began	VVD	begin
but	CC	but
we're	NN	we're
seeing	VVG	see
at	IN	at
the	DT	the
same	JJ	same
time	VV	time
uh	UH	uh
a	DT	a
number	NN	number
of	IN	of
air	NN	air
strikes	NNS	strike
so	IN	so
it	PP	it
would	MD	would
be	VB	be
a	DT	a
ground	NN	ground
operation	NN	operation
supported	VVN	support
for	IN	for
the	DT	the
Israelis	NPS	Israelis
at	IN	at
least	JJS	least
by	IN	by
uh	UH	uh
air	NN	air
power	NN	power
hello	NN	hello
hello	NN	hello
yes	NN	yes
saat	NN	saat
can	MD	can
you	PP	you
hear	VV	hear
me	PP	me
can	MD	can
you	PP	you
hear	VV	hear
me	PP	me
yes	RB	yes
I	PP	I
can	MD	can
hear	VV	hear
you	PP	you
yes	UH	yes
yes	UH	yes
now	RB	now
I	PP	I
can	MD	can
yes	RB	yes
I	PP	I
was	VBD	be
asking	VVG	ask
you	PP	you
about	IN	about
the	DT	the
clashes	NNS	clash
you	PP	you
say	VVP	say
severe	JJ	severe
clashes	NNS	clash
between	IN	between
Israeli	JJ	Israeli
troops	NNS	troop
and	CC	and
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
presumably	RB	presumably
this	DT	this
would	MD	would
be	VB	be
uh	UH	uh
part	NN	part
of	IN	of
the	DT	the
ground	NN	ground
operation	NN	operation
the	DT	the
ground	NN	ground
incursion	NN	incursion
that	IN/that	that
Israeli	JJ	Israeli
troops	NNS	troop
began	VVD	begin
uh	UH	uh
a	DT	a
week	NN	week
ago	RB	ago
now	RB	now
into	IN	into
Gaza	NP	Gaza
uh	UH	uh
do	VV	do
we	PP	we
know	VV	know
do	VVP	do
you	PP	you
know	VVP	know
what	WP	what
specific	JJ	specific
areas	NNS	area
uh	UH	uh
this	DT	this
ground	NN	ground
incursion	NN	incursion
and	CC	and
these	DT	these
clashes	NNS	clash
are	VBP	be
happening	VVG	happen
at	IN	at
look	NN	look
the	DT	the
Israeli	JJ	Israeli
tanks	NNS	tank
and	CC	and
troes	NNS	troes
entered	VVD	enter
the	DT	the
Gaza	NP	Gaza
City	NP	City
and	CC	and
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
from	IN	from
three	CD	three
three	CD	three
different	JJ	different
directions	NNS	direction
the	DT	the
first	JJ	first
one	CD	one
is	VBZ	be
from	IN	from
the	DT	the
north	NN	north
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
uh	UH	uh
they	PP	they
have	VHP	have
even	RB	even
crossed	VVN	cross
B	NP	B
hanon	NP	hanon
and	CC	and
B	NP	B
Laha	NP	Laha
The	DT	the
Villages	NNS	village
of	IN	of
the	DT	the
north	NN	north
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
now	RB	now
they	PP	they
uh	UH	uh
or	CC	or
in	IN	in
the	DT	the
last	JJ	last
three	CD	three
days	NNS	day
let's	NNS	let's
say	VVP	say
they	PP	they
have	VHP	have
been	VBN	be
stationing	VVG	station
at	IN	at
uh	UH	uh
the	DT	the
outskirt	NN	outskirt
of	IN	of
Gaza	NP	Gaza
City	NP	City
uh	UH	uh
and	CC	and
at	IN	at
the	DT	the
outskirt	NN	outskirt
of	IN	of
the	DT	the
shatti	NP	shatti
refugee	NN	refugee
camp	NN	camp
which	WDT	which
is	VBZ	be
adjacent	JJ	adjacent
to	TO	to
Gaza	NP	Gaza
City	NP	City
and	CC	and
from	IN	from
the	DT	the
uh	UH	uh
the	DT	the
the	DT	the
south	RB	south
east	JJ	east
and	CC	and
the	DT	the
south	JJ	south
west	NN	west
of	IN	of
Gaza	NP	Gaza
City	NN	city
from	IN	from
uh	UH	uh
four	CD	four
Direction	NN	direction
three	CD	three
directions	NNS	direction
uh	UH	uh
in	IN	in
the	DT	the
last	JJ	last
three	CD	three
days	NNS	day
the	DT	the
Israeli	JJ	Israeli
troops	NNS	troop
and	CC	and
tanks	NNS	tank
have	VHP	have
not	RB	not
achieved	VVN	achieve
any	DT	any
more	JJR	more
advanc	NN	advanc
advancement	NN	advancement
uh	UH	uh
since	IN	since
since	IN	since
the	DT	the
last	JJ	last
time	NN	time
they	PP	they
entered	VVD	enter
Gaza	NP	Gaza
they	PP	they
cut	VVD	cut
the	DT	the
road	NN	road
the	DT	the
main	JJ	main
road	NN	road
called	VVN	call
Salah	NP	Salah
that	WDT	that
links	VVZ	link
Gaza	NP	Gaza
City	NP	City
with	IN	with
uh	UH	uh
with	IN	with
its	PP$	its
North	JJ	North
with	IN	with
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
now	RB	now
they	PP	they
there	EX	there
are	VBP	be
a	DT	a
few	JJ	few
tens	NNS	ten
of	IN	of
meters	NNS	meter
from	IN	from
the	DT	the
other	JJ	other
uh	UH	uh
Coastal	NP	Coastal
road	NN	road
which	WDT	which
is	VBZ	be
the	DT	the
other	JJ	other
option	NN	option
for	IN	for
the	DT	the
people	NNS	people
to	TO	to
leave	VV	leave
Gaza	NP	Gaza
and	CC	and
they	PP	they
open	VVP	open
the	DT	the
fire	NN	fire
even	RB	even
for	IN	for
anyone	NN	anyone
who	WP	who
try	VVP	try
to	TO	to
cross	VV	cross
from	IN	from
Gaza	NP	Gaza
uh	UH	uh
to	TO	to
the	DT	the
southern	JJ	southern
area	NN	area
of	IN	of
the	DT	the
Gaza	NP	Gaza
so	RB	so
still	RB	still
the	DT	the
clashes	NNS	clash
are	VBP	be
still	RB	still
taking	VVG	take
place	NN	place
at	IN	at
the	DT	the
same	JJ	same
three	CD	three
uh	UH	uh
points	NNS	point
or	CC	or
location	NN	location
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
tanks	NNS	tank
and	CC	and
the	DT	the
Israeli	JJ	Israeli
troops	NNS	troop
have	VHP	have
been	VBN	be
stationing	VVG	station
for	IN	for
almost	RB	almost
three	CD	three
days	NNS	day
uh	UH	uh
the	DT	the
Israelis	NPS	Israelis
as	RB	as
from	IN	from
what	WP	what
uh	UH	uh
we	PP	we
understood	VVD	understand
uh	UH	uh
they	PP	they
tried	VVD	try
several	JJ	several
times	NNS	time
to	TO	to
uh	UH	uh
to	TO	to
achieve	VV	achieve
or	CC	or
to	TO	to
push	VV	push
the	DT	the
tanks	NNS	tank
forward	RB	forward
towards	IN	towards
the	DT	the
town	NN	town
but	CC	but
they	PP	they
have	VHP	have
been	VBN	be
confronted	VVN	confront
by	IN	by
severe	JJ	severe
clashes	NNS	clash
with	IN	with
the	DT	the
fighting	VVG	fight
groups	NNS	group
we	PP	we
have	VHP	have
been	VBN	be
receiving	VVG	receive
videos	NNS	video
released	VVN	release
by	IN	by
the	DT	the
fighting	VVG	fight
groups	NNS	group
showing	VVG	show
uh	UH	uh
showing	VVG	show
them	PP	them
exchanging	VVG	exchange
the	DT	the
fire	NN	fire
directly	RB	directly
face	VVP	face
to	TO	to
face	VV	face
with	IN	with
the	DT	the
tanks	NNS	tank
uh	UH	uh
at	IN	at
the	DT	the
same	JJ	same
time	VV	time
uh	UH	uh
some	DT	some
of	IN	of
the	DT	the
tanks	NNS	tank
have	VHP	have
been	VBN	be
moving	VVG	move
from	IN	from
the	DT	the
Eastern	JJ	eastern
side	NN	side
of	IN	of
Gaza	NP	Gaza
City	NP	City
towards	IN	towards
the	DT	the
western	JJ	western
side	NN	side
which	WDT	which
is	VBZ	be
the	DT	the
the	DT	the
coastal	JJ	coastal
road	NN	road
to	TO	to
isolate	VV	isolate
completely	RB	completely
the	DT	the
Gaza	NP	Gaza
City	NP	City
from	IN	from
the	DT	the
southern	JJ	southern
area	NN	area
or	CC	or
from	IN	from
the	DT	the
central	JJ	central
area	NN	area
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
until	IN	until
now	RB	now
the	DT	the
same	JJ	same
the	DT	the
same	JJ	same
point	NN	point
for	IN	for
almost	RB	almost
three	CD	three
days	NNS	day
yeah	RB	yeah
so	IN	so
clashes	NNS	clash
you	PP	you
say	VVP	say
at	IN	at
three	CD	three
different	JJ	different
locations	NNS	location
particularly	RB	particularly
in	IN	in
central	JJ	central
Gaza	NP	Gaza
and	CC	and
the	DT	the
objective	NN	objective
of	IN	of
the	DT	the
Israeli	JJ	Israeli
military	NN	military
is	VBZ	be
to	TO	to
cut	VV	cut
the	DT	the
territory	NN	territory
in	IN	in
half	NN	half
of	IN	of
course	NN	course
isolate	VVP	isolate
the	DT	the
north	NN	north
from	IN	from
the	DT	the
south	NN	south
you	PP	you
talked	VVD	talk
about	IN	about
uh	UH	uh
Hamas	NN	Hamas
and	CC	and
the	DT	the
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
uh	UH	uh
pushing	VVG	push
back	RB	back
and	CC	and
and	CC	and
the	DT	the
fact	NN	fact
that	IN/that	that
you	PP	you
say	VVP	say
Israelis	NPS	Israelis
haven't	NN	haven't
been	VBN	be
able	JJ	able
to	TO	to
make	VV	make
that	IN/that	that
much	RB	much
of	IN	of
an	DT	an
advance	NN	advance
how	WRB	how
are	VBP	be
the	DT	the
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
able	JJ	able
to	TO	to
hold	VV	hold
out	RP	out
able	JJ	able
to	TO	to
push	VV	push
back	RB	back
these	DT	these
Israeli	JJ	Israeli
forces	NNS	force
the	DT	the
Palestinian	JJ	Palestinian
fighting	NN	fighting
groups	NNS	group
have	VHP	have
been	VBN	be
preparing	VVG	prepare
themselves	PP	themselves
for	IN	for
the	DT	the
for	IN	for
the	DT	the
Israeli	JJ	Israeli
Invasion	NN	invasion
from	IN	from
the	DT	the
beginning	NN	beginning
and	CC	and
that's	NNS	that's
why	WRB	why
they	PP	they
have	VHP	have
dig	VV	dig
a	DT	a
network	NN	network
of	IN	of
tunnels	NNS	tunnel
underground	RB	underground
and	CC	and
from	IN	from
the	DT	the
the	DT	the
pictures	NNS	picture
or	CC	or
the	DT	the
videos	NNS	video
that	IN/that	that
the	DT	the
fighting	VVG	fight
group	NN	group
they	PP	they
have	VHP	have
been	VBN	be
releasing	VVG	release
and	CC	and
sending	VVG	send
to	TO	to
Media	NP	Media
Outlet	NN	outlet
uh	UH	uh
showing	VVG	show
the	DT	the
fighting	VVG	fight
groups	NNS	group
coming	VVG	come
up	RP	up
uh	UH	uh
coming	VVG	come
up	RP	up
from	IN	from
tunnels	NNS	tunnel
that	IN/that	that
they	PP	they
built	VVD	build
uh	UH	uh
to	TO	to
uh	UH	uh
in	IN	in
in	IN	in
specific	JJ	specific
places	NNS	place
that	IN/that	that
they	PP	they
have	VHP	have
been	VBN	be
expecting	VVG	expect
so	IN	so
they	PP	they
come	VVP	come
up	RP	up
from	IN	from
these	DT	these
tunnels	NNS	tunnel
and	CC	and
fire	VV	fire
their	PP$	their
projectiles	NNS	projectile
or	CC	or
the	DT	the
exchange	NN	exchange
the	DT	the
fire	NN	fire
directly	RB	directly
with	IN	with
the	DT	the
with	IN	with
the	DT	the
tanks	NNS	tank
that's	NN	that's
why	WRB	why
we	PP	we
the	DT	the
these	DT	these
tanks	NNS	tank
have	VHP	have
or	CC	or
the	DT	the
troops	NNS	troop
have	VHP	have
been	VBN	be
re	IN	re
uh	UH	uh
reing	NN	reing
in	IN	in
different	JJ	different
places	NNS	place
and	CC	and
locations	NNS	location
uh	UH	uh
still	RB	still
all	PDT	all
these	DT	these
places	NNS	place
and	CC	and
the	DT	the
areas	NNS	area
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
tanks	NNS	tank
and	CC	and
troops	NNS	troop
have	VHP	have
been	VBN	be
entering	VVG	enter
and	CC	and
trying	VVG	try
to	TO	to
pushing	VVG	push
to	TO	to
push	VV	push
forward	RB	forward
they	PP	they
confront	VVP	confront
they	PP	they
are	VBP	be
confronted	VVN	confront
by	IN	by
the	DT	the
fighting	VVG	fight
fighting	NN	fighting
groups	NNS	group
who	WP	who
seem	VVP	seem
to	TO	to
be	VB	be
well	RB	well
prepared	VVN	prepare
for	IN	for
this	DT	this
movement	NN	movement
and	CC	and
uh	UH	uh
we	PP	we
expecting	VVG	expect
these	DT	these
Israeli	JJ	Israeli
movements	NNS	movement
including	VVG	include
tanks	NNS	tank
uh	UH	uh
troops	NNS	troop
so	IN	so
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
Army	NP	Army
the	DT	the
Israeli	JJ	Israeli
figh	NN	figh
targets	VVZ	target
they	PP	they
uh	UH	uh
they	PP	they
adopted	VVD	adopt
a	DT	a
new	JJ	new
tactic	NN	tactic
which	WDT	which
is	VBZ	be
the	DT	the
scotched	VVD	scotch
land	VV	land
uh	UH	uh
every	DT	every
time	NN	time
they	PP	they
they	PP	they
want	VVP	want
to	TO	to
push	VV	push
forward	RB	forward
the	DT	the
the	DT	the
tanks	NNS	tank
that's	NN	that's
why	WRB	why
lots	NNS	lot
of	IN	of
air	NN	air
sites	NNS	site
lots	NN	lots
of	IN	of
uh	UH	uh
buildings	NNS	building
have	VHP	have
Destro	NP	Destro
to	TO	to
pave	VV	pave
the	DT	the
way	NN	way
to	TO	to
the	DT	the
tanks	NNS	tank
to	TO	to
push	VV	push
forward	RB	forward
but	CC	but
still	RB	still
again	RB	again
the	DT	the
fighting	VVG	fight
groups	NNS	group
are	VBP	be
still	RB	still
able	JJ	able
to	TO	to
come	VV	come
up	RP	up
from	IN	from
the	DT	the
tunnels	NNS	tunnel
that	IN/that	that
they	PP	they
built	VVD	build
and	CC	and
uh	UH	uh
carry	VV	carry
out	RP	out
direct	JJ	direct
exchange	NN	exchange
of	IN	of
fire	NN	fire
with	IN	with
the	DT	the
tanks	NNS	tank
who	WP	who
are	VBP	be
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
step	NN	step
so	IN	so
massive	JJ	massive
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
saward	JJ	saward
as	IN	as
you	PP	you
say	VVP	say
and	CC	and
as	IN	as
we've	NN	we've
seen	VVN	see
on	IN	on
our	PP$	our
screens	NNS	screen
over	IN	over
Central	NP	Central
Gaza	NP	Gaza
uh	UH	uh
in	IN	in
the	DT	the
last	JJ	last
hour	NN	hour
so	IN	so
this	DT	this
as	RB	as
Israeli	JJ	Israeli
ground	NN	ground
troops	NNS	troop
try	VVP	try
to	TO	to
make	VV	make
an	DT	an
advance	NN	advance
as	IN	as
you	PP	you
say	VVP	say
but	RB	but
that's	NNS	that's
been	VBN	be
uh	UH	uh
held	VVD	hold
back	RB	back
pushed	VVN	push
back	RB	back
by	IN	by
the	DT	the
Palestinian	JJ	Palestinian
fighters	NNS	fighter
on	IN	on
the	DT	the
ground	NN	ground
there	RB	there
as	IN	as
all	DT	all
of	IN	of
this	DT	this
has	VHZ	have
been	VBN	be
happening	VVG	happen
we	PP	we
heard	VVD	hear
and	CC	and
and	CC	and
saw	VVD	see
earlier	JJR	early
today	NN	today
Israeli	JJ	Israeli
forces	NNS	force
are	VBP	be
telling	VVG	tell
residents	NNS	resident
of	IN	of
Northern	NP	Northern
Gaza	NP	Gaza
uh	UH	uh
to	TO	to
to	TO	to
head	VV	head
to	TO	to
the	DT	the
South	NP	South
for	IN	for
safety	NN	safety
but	CC	but
as	IN	as
we've	NN	we've
seen	VVN	see
in	IN	in
the	DT	the
past	JJ	past
three	CD	three
weeks	NNS	week
there	RB	there
have	VHP	have
been	VBN	be
so	RB	so
many	JJ	many
incidents	NNS	incident
of	IN	of
of	IN	of
civilians	NNS	civilian
being	VBG	be
killed	VVN	kill
as	IN	as
they	PP	they
fled	VVD	flee
is	VBZ	be
there	RB	there
anyone	NN	anyone
who	WP	who
has	VHZ	have
attempted	VVN	attempt
to	TO	to
move	VV	move
South	NP	South
and	CC	and
and	CC	and
how	WRB	how
you	PP	you
know	VVP	know
you	PP	you
Central	JJ	central
Gaza	NP	Gaza
right	NN	right
now	RB	now
safwat	NN	safwat
how	WRB	how
populated	JJ	populated
is	VBZ	be
Central	NP	Central
Gaza	NP	Gaza
today	NN	today
still	RB	still
as	IN	as
this	DT	this
massive	JJ	massive
Israeli	JJ	Israeli
bombardment	NN	bombardment
happens	VVZ	happen
on	IN	on
that	DT	that
specific	JJ	specific
area	NN	area
of	IN	of
the	DT	the
territory	NN	territory
right	RB	right
now	RB	now
many	JJ	many
people	NNS	people
they	PP	they
tried	VVD	try
uh	UH	uh
or	CC	or
they	PP	they
have	VHP	have
been	VBN	be
trying	VVG	try
to	TO	to
leave	VV	leave
the	DT	the
Gaza	NP	Gaza
Gaza	NP	Gaza
City	NP	City
towards	IN	towards
the	DT	the
South	NP	South
despite	IN	despite
that	WDT	that
the	DT	the
south	NN	south
is	VBZ	be
not	RB	not
safe	JJ	safe
anymore	RB	anymore
or	CC	or
or	CC	or
there	EX	there
is	VBZ	be
lack	NN	lack
of	IN	of
all	PDT	all
the	DT	the
humanitarian	JJ	humanitarian
needs	NNS	need
but	CC	but
still	RB	still
people	NNS	people
because	IN	because
of	IN	of
the	DT	the
H	NP	H
bombardment	NN	bombardment
in	IN	in
the	DT	the
Gaza	NP	Gaza
City	NP	City
and	CC	and
in	IN	in
the	DT	the
North	NP	North
they	PP	they
tried	VVD	try
to	TO	to
flee	VV	flee
or	CC	or
scave	VV	scave
through	IN	through
the	DT	the
coastal	JJ	coastal
line	NN	line
but	CC	but
the	DT	the
the	DT	the
Israeli	JJ	Israeli
tanks	NNS	tank
who	WP	who
are	VBP	be
close	JJ	close
to	TO	to
this	DT	this
coastal	JJ	coastal
line	NN	line
they	PP	they
open	VVP	open
the	DT	the
fire	NN	fire
at	IN	at
many	JJ	many
people	NNS	people
there	RB	there
and	CC	and
we	PP	we
saw	VVD	see
the	DT	the
pictures	NNS	picture
of	IN	of
the	DT	the
people	NNS	people
of	IN	of
the	DT	the
Buddies	NNS	buddy
big	JJ	big
buddies	NNS	buddy
uh	UH	uh
and	CC	and
deployed	VVN	deploy
in	IN	in
the	DT	the
coastal	JJ	coastal
line	NN	line
we	PP	we
know	VVP	know
about	RB	about
even	RB	even
same	JJ	same
number	NN	number
of	IN	of
people	NNS	people
who	WP	who
are	VBP	be
at	IN	at
Salah	NP	Salah
street	NN	street
but	CC	but
none	NN	none
of	IN	of
the	DT	the
ambulances	NNS	ambulance
is	VBZ	be
able	JJ	able
to	TO	to
go	VV	go
and	CC	and
and	CC	and
bring	VV	bring
uh	UH	uh
the	DT	the
bodies	NNS	body
or	CC	or
carry	VV	carry
the	DT	the
bodies	NNS	body
of	IN	of
the	DT	the
deck	NN	deck
people	NNS	people
yesterday	NN	yesterday
the	DT	the
said	VVD	say
they	PP	they
give	VVP	give
or	CC	or
they	PP	they
said	VVD	say
that	IN/that	that
people	NNS	people
can	MD	can
leave	VV	leave
um	NNS	um
they	PP	they
give	VVP	give
three	CD	three
hours	NNS	hour
for	IN	for
the	DT	the
people	NNS	people
to	TO	to
leave	VV	leave
from	IN	from
Gaza	NP	Gaza
City	NP	City
towards	IN	towards
the	DT	the
South	NP	South
but	CC	but
when	WRB	when
people	NNS	people
tried	VVD	try
to	TO	to
cross	VV	cross
Salah	NP	Salah
the	DT	the
point	NN	point
that	IN/that	that
the	DT	the
Israelis	NPS	Israelis
said	VVD	say
people	NNS	people
can	MD	can
leave	VV	leave
through	IN	through
they	PP	they
opened	VVD	open
the	DT	the
fire	NN	fire
at	IN	at
the	DT	the
people	NNS	people
there	RB	there
so	IN	so
people	NNS	people
went	VVD	go
back	RB	back
today	NN	today
the	DT	the
same	JJ	same
some	DT	some
people	NNS	people
we	PP	we
we	PP	we
know	VVP	know
about	IN	about
some	DT	some
people	NNS	people
who	WP	who
tried	VVD	try
to	TO	to
go	VV	go
and	CC	and
they	PP	they
were	VBD	be
they	PP	they
were	VBD	be
uh	UH	uh
they	PP	they
couldn't	NNS	couldn't
take	VVP	take
any	DT	any
anything	NN	anything
with	IN	with
them	PP	them
except	IN	except
their	PP$	their
uh	UH	uh
ID	NN	id
and	CC	and
they	PP	they
had	VHD	have
to	TO	to
carry	VV	carry
their	PP$	their
ID	NN	id
in	IN	in
their	PP$	their
uh	UH	uh
in	IN	in
their	PP$	their
hand	NN	hand
and	CC	and
this	DT	this
remotely	RB	remotely
the	DT	the
Israelis	NPS	Israelis
were	VBD	be
uh	UH	uh
watching	VVG	watch
and	CC	and
waiting	VVG	wait
for	IN	for
those	DT	those
who	WP	who
are	VBP	be
allowed	VVN	allow
to	TO	to
cross	VV	cross
and	CC	and
so	RB	so
on	RB	on
but	CC	but
still	RB	still
this	DT	this
is	VBZ	be
very	RB	very
limited	JJ	limited
number	NN	number
of	IN	of
people	NNS	people
because	IN	because
there	EX	there
was	VBD	be
fear	NN	fear
that	IN/that	that
they	PP	they
could	MD	could
be	VB	be
targeted	VVN	target
or	CC	or
they	PP	they
could	MD	could
be	VB	be
shot	VVN	shoot
by	IN	by
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
troops	NNS	troop
who	WP	who
who	WP	who
hold	VVP	hold
a	DT	a
checkpoint	NN	checkpoint
at	IN	at
Salah	NP	Salah
certain	JJ	certain
point	NN	point
at	IN	at
salahadin	NN	salahadin
Street	NP	Street
to	TO	to
control	VV	control
everything	NN	everything
and	CC	and
every	DT	every
movement	NN	movement
okay	JJ	okay
safat	NN	safat
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
that	DT	that
update	NN	update
safat	NN	safat
Al	NP	Al
calut	NN	calut
on	IN	on
the	DT	the
line	NN	line
there	RB	there
from	IN	from
d	NN	d
albalia	NN	albalia
in	IN	in
central	JJ	central
Gaza	NP	Gaza
where	WRB	where
there's	RB	there's
been	VBN	be
intense	JJ	intense
Israeli	JJ	Israeli
bombardment	NN	bombardment
over	IN	over
the	DT	the
last	JJ	last
hour	NN	hour
several	JJ	several
air	NN	air
strikes	VVZ	strike
huge	JJ	huge
explosions	NNS	explosion
over	IN	over
Gaza	NP	Gaza
City	NP	City
and	CC	and
Central	NP	Central
Gaza	NP	Gaza
as	IN	as
safat	NN	safat
was	VBD	be
telling	VVG	tell
us	PP	us
there	RB	there
this	DT	this
is	VBZ	be
uh	UH	uh
happening	VVG	happen
as	IN	as
a	DT	a
ground	NN	ground
incursion	NN	incursion
of	IN	of
Israeli	JJ	Israeli
troops	NNS	troop
is	VBZ	be
also	RB	also
happening	VVG	happen
in	IN	in
that	DT	that
same	JJ	same
area	NN	area
and	CC	and
the	DT	the
Israelis	NPS	Israelis
seem	VVP	seem
to	TO	to
be	VB	be
uh	UH	uh
using	VVG	use
air	NN	air
power	NN	power
to	TO	to
support	VV	support
their	PP$	their
operation	NN	operation
as	IN	as
we've	NN	we've
seen	VVN	see
telecommunications	NNS	telecommunication
the	DT	the
internet	NN	Internet
has	VHZ	have
been	VBN	be
cut	VVN	cut
off	RP	off
according	VVG	accord
to	TO	to
the	DT	the
uh	UH	uh
Palestinian	NN	Palestinian
telecommunications	NNS	telecommunication
agency	NN	agency
the	DT	the
internet	NN	Internet
across	IN	across
that	DT	that
whole	JJ	whole
area	NN	area
of	IN	of
Gaza	NP	Gaza
has	VHZ	have
been	VBN	be
disconnected	VVN	disconnect
and	CC	and
and	CC	and
people	NNS	people
haven't	NNS	haven't
been	VBN	be
able	JJ	able
to	TO	to
reach	VV	reach
out	RP	out
to	TO	to
family	NN	family
members	NNS	member
who	WP	who
live	VVP	live
in	IN	in
that	DT	that
area	NN	area
of	IN	of
Gaza	NP	Gaza
</doc>	NP	</doc>
