<doc>	NN	<doc>
do	VVP	do
you	PP	you
regard	VVP	regard
that	IN/that	that
as	IN	as
legitimate	JJ	legitimate
defense	NN	defense
well	RB	well
firstly	RB	firstly
I	PP	I
would	MD	would
I	PP	I
would	MD	would
say	VV	say
that	IN/that	that
we	PP	we
have	VHP	have
to	TO	to
remember	VV	remember
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
responding	VVG	respond
to	TO	to
the	DT	the
largest	JJS	large
terrorist	JJ	terrorist
attack	NN	attack
in	IN	in
their	PP$	their
history	NN	history
the	DT	the
largest	JJS	large
loss	NN	loss
of	IN	of
life	NN	life
at	IN	at
a	DT	a
single	JJ	single
event	NN	event
since	IN	since
the	DT	the
end	NN	end
of	IN	of
the	DT	the
Holocaust	NN	holocaust
and	CC	and
continued	JJ	continued
attacks	NNS	attack
from	IN	from
Gaza	NP	Gaza
into	IN	into
Israel	NP	Israel
so	CC	so
uh	UH	uh
we	PP	we
must	MD	must
never	RB	never
lose	VV	lose
sight	NN	sight
of	IN	of
what	WP	what
uh	UH	uh
initiated	VVD	initiate
this	DT	this
uh	UH	uh
latest	JJS	late
military	JJ	military
operation	NN	operation
we	PP	we
have	VHP	have
always	RB	always
said	VVN	say
we	PP	we
respect	VV	respect
and	CC	and
support	VV	support
Israel's	NP	Israel's
right	NN	right
to	TO	to
self-defense	NN	self-defense
and	CC	and
we	PP	we
have	VHP	have
always	RB	always
said	VVN	say
that	IN/that	that
they	PP	they
should	MD	should
do	VV	do
so	RB	so
in	IN	in
strict	JJ	strict
accordance	NN	accordance
to	TO	to
uh	UH	uh
international	JJ	international
law	NN	law
we	PP	we
also	RB	also
recognize	VVP	recognize
we've	NN	we've
seen	VVN	see
uh	UH	uh
evidence	NN	evidence
of	IN	of
this	DT	this
on	IN	on
multiple	JJ	multiple
occasions	NNS	occasion
that	IN/that	that
where	WRB	where
Israel	NP	Israel
has	VHZ	have
sought	VVN	seek
to	TO	to
warn	VV	warn
civilian	JJ	civilian
populations	NNS	population
about	IN	about
where	WRB	where
military	JJ	military
action	NN	action
is	VBZ	be
about	RB	about
to	TO	to
take	VV	take
place	NN	place
Hamas	NNS	Hamas
have	VHP	have
actively	RB	actively
prevented	VVN	prevent
Palestinians	NNS	Palestinian
from	IN	from
leaving	VVG	leave
those	DT	those
areas	NNS	area
of	IN	of
danger	JJR	dang
uh	UH	uh
now	RB	now
clearly	RB	clearly
the	DT	the
loss	NN	loss
of	IN	of
life	NN	life
the	DT	the
the	DT	the
the	DT	the
loss	NN	loss
of	IN	of
Palestinian	JJ	Palestinian
civilian	JJ	civilian
life	NN	life
is	VBZ	be
heartbreaking	JJ	heartbreaking
just	RB	just
as	RB	as
heartbreaking	JJ	heartbreaking
as	IN	as
a	DT	a
loss	NN	loss
of	IN	of
Israeli	JJ	Israeli
lives	NNS	life
in	IN	in
October	NP	October
the	DT	the
7th	JJ	7th
and	CC	and
since	IN	since
we	PP	we
want	VVP	want
to	TO	to
bring	VV	bring
this	DT	this
to	TO	to
a	DT	a
conclusion	NN	conclusion
of	IN	of
course	NN	course
we	PP	we
do	VVP	do
we	PP	we
want	VVP	want
to	TO	to
prevent	VV	prevent
further	JJR	further
escalation	NN	escalation
of	IN	of
course	NN	course
we	PP	we
do	VVP	do
but	CC	but
we	PP	we
also	RB	also
need	VVP	need
to	TO	to
respect	VV	respect
Israel's	NP	Israel's
right	NN	right
to	TO	to
defend	VV	defend
itself	PP	itself
against	IN	against
the	DT	the
brutality	NN	brutality
that	IN/that	that
we	PP	we
saw	VVD	see
two	CD	two
weeks	NNS	week
ago	RB	ago
the	DT	the
British	JJ	British
foreign	JJ	foreign
secretary	NN	secretary
there	IN	here
James	NP	James
cleverly	RB	cleverly
joining	VVG	join
us	PP	us
from	IN	from
Westminster	NP	Westminster
and	CC	and
London	NP	London
thank	VVP	thank
you	PP	you
so	RB	so
much	JJ	much
sir	NN	sir
for	IN	for
spending	VVG	spend
this	DT	this
time	NN	time
with	IN	with
us	PP	us
on	IN	on
Al	NP	Al
jazer	NP	jazer
well	RB	well
let's	NNS	let's
now	RB	now
bring	VVP	bring
in	IN	in
Sultan	NP	Sultan
Barakat	NP	Barakat
he's	NNS	he's
a	DT	a
professor	NN	professor
of	IN	of
public	JJ	public
policy	NN	policy
at	IN	at
hammad	NN	hammad
bin	NN	bin
Khalifa	NP	Khalifa
University	NP	University
he	PP	he
joins	VVZ	join
us	PP	us
now	RB	now
in	IN	in
our	PP$	our
studio	NN	studio
in	IN	in
Doha	NP	Doha
Sultan	NP	Sultan
last	JJ	last
hour	NN	hour
we	PP	we
were	VBD	be
talking	VVG	talk
about	IN	about
Western	JJ	Western
countries	NNS	country
Western	JJ	Western
backers	NNS	backer
of	IN	of
Israel	NP	Israel
and	CC	and
whether	IN	whether
or	CC	or
not	RB	not
their	PP$	their
their	PP$	their
tone	NN	tone
on	IN	on
this	DT	this
has	VHZ	have
shifted	VVN	shift
what	WP	what
did	VVD	do
you	PP	you
make	VVP	make
of	IN	of
what	WP	what
Mr	NP	Mr
clevy	NP	clevy
had	VHD	have
to	TO	to
say	VV	say
uh	UH	uh
it	PP	it
was	VBD	be
very	RB	very
disappointing	JJ	disappointing
to	TO	to
be	VB	be
honest	JJ	honest
and	CC	and
it	PP	it
I'm	NN	I'm
not	RB	not
sure	JJ	sure
who's	NNS	who's
briefing	VVG	brief
him	PP	him
but	CC	but
he	PP	he
he	PP	he
got	VVD	get
a	DT	a
lot	NN	lot
of	IN	of
things	NNS	thing
wrong	JJ	wrong
uh	UH	uh
the	DT	the
reference	NN	reference
to	TO	to
the	DT	the
diversion	NN	diversion
of	IN	of
fuel	NN	fuel
has	VHZ	have
not	RB	not
been	VBN	be
verified	VVN	verify
by	IN	by
any	DT	any
other	JJ	other
organization	NN	organization
the	DT	the
business	NN	business
about	IN	about
the	DT	the
desination	JJ	desination
uh	UH	uh
plant	NN	plant
is	VBZ	be
been	VBN	be
dismantled	VVN	dismantle
and	CC	and
used	VVN	use
for	IN	for
missiles	NNS	missile
Israel	NP	Israel
for	IN	for
14	CD	@card@
years	NNS	year
has	VHZ	have
had	VHN	have
a	DT	a
very	RB	very
very	RB	very
strict	JJ	strict
regime	NN	regime
on	IN	on
anything	NN	anything
that	WDT	that
comes	VVZ	come
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
no	DT	no
pipe	NN	pipe
has	VHZ	have
been	VBN	be
allowed	VVN	allow
in	IN	in
that	DT	that
can	MD	can
be	VB	be
used	VVN	use
dual	JJ	dual
Ed	NP	Ed
with	IN	with
the	DT	the
same	JJ	same
you	PP	you
know	VVP	know
the	DT	the
quality	NN	quality
of	IN	of
the	DT	the
casting	NN	casting
and	CC	and
so	RB	so
on	IN	on
so	RB	so
whatever	WDT	whatever
this	DT	this
story	NN	story
I	PP	I
don't	VVD	don't
know	VV	know
where	WRB	where
it	PP	it
came	VVD	come
from	IN	from
it's	NNS	it's
not	RB	not
true	JJ	true
that	IN/that	that
plan	NN	plan
took	VVD	take
years	NNS	year
to	TO	to
build	VV	build
and	CC	and
it	PP	it
was	VBD	be
paid	VVN	pay
for	IN	for
by	IN	by
the	DT	the
European	NP	European
Union	NP	Union
and	CC	and
some	DT	some
Scandinavian	JJ	Scandinavian
countries	NNS	country
so	CC	so
uh	UH	uh
that	WDT	that
is	VBZ	be
not	RB	not
not	RB	not
the	DT	the
case	NN	case
also	RB	also
the	DT	the
uh	UH	uh
the	DT	the
uh	UH	uh
reference	NN	reference
to	TO	to
uh	UH	uh
Hamas	NNS	Hamas
preventing	VVG	prevent
Palestinians	NNS	Palestinian
from	IN	from
moving	VVG	move
from	IN	from
North	NP	North
to	TO	to
the	DT	the
South	NP	South
I	PP	I
don't	VVD	don't
know	VV	know
where	WRB	where
he's	NNS	he's
been	VBN	be
I	PP	I
mean	VVP	mean
I	PP	I
has	VHZ	have
he	PP	he
not	RB	not
watched	VVD	watch
the	DT	the
news	NN	news
to	TO	to
they	PP	they
not	RB	not
give	VVP	give
him	PP	him
accurate	JJ	accurate
briefing	NN	briefing
how	WRB	how
can	MD	can
Hamas	NNS	Hamas
come	VV	come
on	IN	on
the	DT	the
streets	NNS	street
to	TO	to
prevent	VV	prevent
the	DT	the
Palestinians	NPS	Palestinians
from	IN	from
moving	VVG	move
we	PP	we
all	RB	all
saw	VVD	see
the	DT	the
Palestinians	NPS	Palestinians
making	VVG	make
the	DT	the
move	NN	move
they	PP	they
couldn't	NNS	couldn't
go	VVP	go
anywhere	RB	anywhere
they	PP	they
were	VBD	be
bombed	VVN	bomb
we	PP	we
all	DT	all
uh	UH	uh
followed	VVD	follow
the	DT	the
stories	NNS	story
about	IN	about
the	DT	the
hospitals	NNS	hospital
how	WRB	how
can	MD	can
you	PP	you
evacuate	VV	evacuate
hospitals	NNS	hospital
has	VHZ	have
Britain	NP	Britain
done	VVN	do
anything	NN	anything
to	TO	to
EV	NP	Ev
evacuate	VV	evacuate
those	DT	those
hospitals	NNS	hospital
nothing	NN	nothing
and	CC	and
finally	RB	finally
I	PP	I
think	VVP	think
this	DT	this
idea	NN	idea
that	IN/that	that
it	PP	it
is	VBZ	be
sufficient	JJ	sufficient
for	IN	for
a	DT	a
superpower	NN	superpower
United	VVN	unite
Kingdom	NP	Kingdom
one	CD	one
of	IN	of
the	DT	the
five	CD	five
permanent	JJ	permanent
members	NNS	member
to	TO	to
only	RB	only
call	VV	call
on	IN	on
Israel	NP	Israel
to	TO	to
have	VH	have
a	DT	a
conscious	JJ	conscious
uh	UH	uh
uh	UH	uh
awareness	NN	awareness
of	IN	of
the	DT	the
blight	NN	blight
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
I	PP	I
think	VVP	think
it's	NNS	it's
ridiculous	JJ	ridiculous
to	TO	to
be	VB	be
honest	JJ	honest
and	CC	and
I'm	NP	I'm
very	RB	very
very	RB	very
disappointed	VVN	disappoint
and	CC	and
when	WRB	when
you	PP	you
contrast	VVP	contrast
the	DT	the
same	JJ	same
statement	NN	statement
the	DT	the
same	JJ	same
uh	UH	uh
State	NP	State
people	VV	people
uh	UH	uh
two	CD	two
years	NNS	year
ago	RB	ago
when	WRB	when
they	PP	they
were	VBD	be
talking	NN	talking
about	IN	about
uh	UH	uh
Ukraine	NP	Ukraine
it's	NNS	it's
in	IN	in
it's	NNS	it's
two	CD	two
different	JJ	different
worlds	NNS	world
and	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
uh	UH	uh
I	PP	I
find	VVP	find
it	PP	it
very	RB	very
worrying	VVG	worry
not	RB	not
because	IN	because
of	IN	of
what's	NNS	what's
going	VVG	go
on	IN	on
in	IN	in
Gaza	NP	Gaza
it's	NNS	it's
because	IN	because
of	IN	of
the	DT	the
hatred	NN	hatred
that	WDT	that
is	VBZ	be
now	RB	now
Brewing	NP	Brewing
all	RB	all
over	IN	over
the	DT	the
world	NN	world
uh	UH	uh
towards	IN	towards
the	DT	the
west	NN	west
and	CC	and
in	IN	in
particular	JJ	particular
has	VHZ	have
right	RB	right
to	TO	to
protect	VV	protect
itself	PP	itself
we	PP	we
know	VVP	know
that	IN/that	that
it	PP	it
says	VVZ	say
that	IN/that	that
in	IN	in
the	DT	the
law	NN	law
but	CC	but
also	RB	also
the	DT	the
law	NN	law
says	VVZ	say
Israel	NP	Israel
cannot	MD	can
and	CC	and
should	MD	should
not	RB	not
Target	NP	Target
civilians	NNS	civilian
to	TO	to
Simply	RB	simply
ask	VV	ask
them	PP	them
to	TO	to
avoid	VV	avoid
civilians	NNS	civilian
to	TO	to
moderate	VV	moderate
their	PP$	their
attacks	NNS	attack
is	VBZ	be
not	RB	not
good	JJ	good
enough	JJ	enough
Security	NP	Security
Council	NP	Council
they	PP	they
don't	VVD	don't
need	VV	need
to	TO	to
argue	VV	argue
over	IN	over
the	DT	the
the	DT	the
definitions	NNS	definition
the	DT	the
only	JJ	only
thing	NN	thing
they	PP	they
need	VVP	need
to	TO	to
say	VV	say
Israel	NP	Israel
has	VHZ	have
got	VVN	get
to	TO	to
respect	VV	respect
international	JJ	international
law	NN	law
full	JJ	full
stop	NN	stop
Sultan	NP	Sultan
Barak	NP	Barak
there	RB	there
professor	NN	professor
of	IN	of
public	JJ	public
policy	NN	policy
at	IN	at
hammad	NN	hammad
bin	NN	bin
Khalifa	NP	Khalifa
University	NP	University
always	RB	always
great	JJ	great
to	TO	to
get	VV	get
your	PP$	your
thoughts	NNS	thought
here	RB	here
and	CC	and
studio	NN	studio
in	IN	in
Doha	NP	Doha
thank	VVP	thank
you	PP	you
sultan	NN	sultan
</doc>	NN	</doc>
