<video_id>m5cv7nXMFSs</video_id>	JJ	<video_id>m5cv7nXMFSs</video_id>
with	IN	with
Hamas	NP	Hamas
to	TO	to
release	VV	release
more	JJR	more
of	IN	of
the	DT	the
Israeli	JJ	Israeli
and	CC	and
foreign	JJ	foreign
captives	NNS	captive
that	IN/that	that
you	PP	you
have	VHP	have
these	DT	these
repeated	JJ	repeated
strikes	NNS	strike
on	IN	on
jabalia	NN	jabalia
and	CC	and
other	JJ	other
civilian	JJ	civilian
targets	NNS	target
well	RB	well
the	DT	the
strikes	NNS	strike
and	CC	and
the	DT	the
civilian	JJ	civilian
targets	NNS	target
targeted	VVN	target
by	IN	by
the	DT	the
Israelis	NPS	Israelis
is	VBZ	be
not	RB	not
part	NN	part
of	IN	of
um	NNS	um
keeping	VVG	keep
those	DT	those
captives	NNS	captive
or	CC	or
the	DT	the
war	NN	war
prisoners	NNS	prisoner
it's	NNS	it's
a	DT	a
process	NN	process
it's	NNS	it's
in	IN	in
fact	NN	fact
it's	NNS	it's
a	DT	a
process	NN	process
done	VVN	do
by	IN	by
the	DT	the
Israelis	NPS	Israelis
to	TO	to
make	VV	make
more	JJR	more
pressure	NN	pressure
on	IN	on
the	DT	the
leaders	NNS	leader
ship	NN	ship
of	IN	of
Hamas	NP	Hamas
and	CC	and
on	IN	on
the	DT	the
militants	NNS	militant
in	IN	in
the	DT	the
field	NN	field
and	CC	and
is	VBZ	be
it	PP	it
making	VVG	make
a	DT	a
deal	NN	deal
more	RBR	more
or	CC	or
less	RBR	less
likely	RB	likely
well	RB	well
I	PP	I
think	VVP	think
it	PP	it
will	MD	will
make	VV	make
it	PP	it
less	RBR	less
likely	JJ	likely
because	IN	because
continuing	VVG	continue
killing	VVG	kill
the	DT	the
Palestinians	NPS	Palestinians
you	PP	you
may	MD	may
kill	VV	kill
most	JJS	most
of	IN	of
those	DT	those
captives	NNS	captive
which	WDT	which
maybe	RB	maybe
with	IN	with
Netanyahu	NP	Netanyahu
it's	NNS	it's
spit	VVD	spit
up	RP	up
but	CC	but
killing	VVG	kill
more	JJR	more
captives	NNS	captive
uh	UH	uh
that	WDT	that
will	MD	will
complicate	VV	complicate
more	RBR	more
the	DT	the
issue	NN	issue
killing	VVG	kill
the	DT	the
Palestinians	NPS	Palestinians
is	VBZ	be
complicating	VVG	complicate
the	DT	the
issue	NN	issue
and	CC	and
I	PP	I
here	RB	here
I	PP	I
have	VHP	have
to	TO	to
say	VV	say
that	DT	that
nyaho	NN	nyaho
is	VBZ	be
not	RB	not
fighting	VVG	fight
the	DT	the
war	NN	war
of	IN	of
Israel	NP	Israel
he's	NNS	he's
fighting	VVG	fight
his	PP$	his
own	JJ	own
War	NN	war
because	IN	because
he	PP	he
knows	VVZ	know
well	RB	well
after	IN	after
this	DT	this
war	NN	war
he's	NNS	he's
going	VVG	go
to	TO	to
jail	VV	jail
this	DT	this
war	NN	war
make	VV	make
an	DT	an
end	NN	end
for	IN	for
his	PP$	his
political	JJ	political
life	NN	life
so	IN	so
he's	NNS	he's
trying	VVG	try
to	TO	to
complicate	VV	complicate
the	DT	the
situation	NN	situation
making	VVG	make
more	RBR	more
longer	RBR	longer
as	IN	as
he	PP	he
can	MD	can
it	PP	it
may	MD	may
create	VV	create
chances	NNS	chance
for	IN	for
him	PP	him
to	TO	to
escape	VV	escape
from	IN	from
the	DT	the
jail	NN	jail
so	IN	so
I	PP	I
think	VVP	think
he's	NNS	he's
trying	VVG	try
to	TO	to
gain	VV	gain
more	JJR	more
time	NN	time
for	IN	for
his	PP$	his
own	JJ	own
purpose	NN	purpose
and	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
I	PP	I
think	VVP	think
it's	NNS	it's
not	RB	not
likely	JJ	likely
to	TO	to
achieve	VV	achieve
this	DT	this
kind	NN	kind
of	IN	of
M	NP	M
there	EX	there
is	VBZ	be
a	DT	a
need	NN	need
for	IN	for
a	DT	a
pressure	NN	pressure
on	IN	on
Netanyahu	NP	Netanyahu
and	CC	and
this	DT	this
pressure	NN	pressure
must	MD	must
be	VB	be
done	VVN	do
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
no	DT	no
one	CD	one
else	RB	else
we	PP	we
know	VVP	know
that	IN/that	that
there	EX	there
is	VBZ	be
another	DT	another
diplomatic	JJ	diplomatic
process	NN	process
going	VVG	go
on	RP	on
in	IN	in
which	WDT	which
qar	NN	qar
is	VBZ	be
mediating	VVG	mediate
we've	NN	we've
seen	VVN	see
the	DT	the
Rafa	NP	Rafa
border	NN	border
open	JJ	open
today	NN	today
for	IN	for
a	DT	a
limited	JJ	limited
number	NN	number
of	IN	of
Palestinians	NPS	Palestinians
is	VBZ	be
there	RB	there
likely	JJ	likely
to	TO	to
be	VB	be
another	DT	another
agreement	NN	agreement
involving	VVG	involve
all	PDT	all
the	DT	the
parties	NNS	party
Hamas	NP	Hamas
Israel	NP	Israel
and	CC	and
Egypt	NP	Egypt
in	IN	in
order	NN	order
for	IN	for
more	JJR	more
Palestinians	NNS	Palestinian
to	TO	to
leave	VV	leave
and	CC	and
also	RB	also
for	IN	for
Essentials	NNS	essential
fuel	NN	fuel
water	NN	water
and	CC	and
other	JJ	other
Basics	NNS	basic
to	TO	to
enter	VV	enter
Gaza	NP	Gaza
well	RB	well
there	RB	there
is	VBZ	be
there	EX	there
is	VBZ	be
a	DT	a
very	RB	very
big	JJ	big
Force	NP	Force
done	VVN	do
by	IN	by
Qatar	NP	Qatar
in	IN	in
order	NN	order
to	TO	to
achieve	VV	achieve
that	IN/that	that
bringing	VVG	bring
in	IN	in
the	DT	the
essential	JJ	essential
needs	NNS	need
including	VVG	include
medicine	NN	medicine
and	CC	and
uh	UH	uh
uh	UH	uh
fuel	VV	fuel
but	CC	but
till	VV	till
now	RB	now
that	WDT	that
is	VBZ	be
opposed	VVN	oppose
by	IN	by
the	DT	the
Israelis	NPS	Israelis
and	CC	and
they	PP	they
are	VBP	be
trying	VVG	try
to	TO	to
undermine	VV	undermine
all	PDT	all
those	DT	those
efforts	NNS	effort
we	PP	we
know	VVP	know
that	IN/that	that
all	PDT	all
the	DT	the
parties	NNS	party
accept	VVP	accept
that	IN/that	that
effort	NN	effort
and	CC	and
they	PP	they
are	VBP	be
reacting	VVG	react
positively	RB	positively
with	IN	with
that	DT	that
except	IN	except
the	DT	the
Israelis	NPS	Israelis
so	IN	so
we	PP	we
are	VBP	be
we	PP	we
are	VBP	be
in	IN	in
fact	NN	fact
we	PP	we
have	VHP	have
said	VVN	say
that	IN/that	that
clearly	RB	clearly
uh	UH	uh
yesterday	NN	yesterday
when	WRB	when
abua	NN	abua
came	VVD	come
to	TO	to
the	DT	the
media	NNS	medium
and	CC	and
he	PP	he
said	VVD	say
we	PP	we
informed	VVD	inform
uh	UH	uh
the	DT	the
mediators	NNS	mediator
that	WDT	that
are	VBP	be
ready	JJ	ready
to	TO	to
release	VV	release
some	DT	some
of	IN	of
the	DT	the
captives	NNS	captive
in	IN	in
the	DT	the
coming	VVG	come
few	JJ	few
days	NNS	day
he	PP	he
said	VVD	say
that	IN/that	that
according	VVG	accord
to	TO	to
the	DT	the
efforts	NNS	effort
of	IN	of
qar	JJ	qar
uh	UH	uh
but	CC	but
I	NP	I
I'm	NP	I'm
still	RB	still
thinking	VVG	think
or	CC	or
believing	VVG	believe
that	IN/that	that
the	DT	the
the	DT	the
one	CD	one
who	WP	who
is	VBZ	be
undermining	VVG	undermine
all	PDT	all
those	DT	those
process	NN	process
or	CC	or
trying	VVG	try
to	TO	to
undermine	VV	undermine
the	DT	the
process	NN	process
is	VBZ	be
the	DT	the
Israeli	JJ	Israeli
side	NN	side
let	VVD	let
let	VV	let
me	PP	me
ask	VV	ask
you	PP	you
what	WP	what
will	MD	will
it	PP	it
take	VV	take
from	IN	from
your	PP$	your
perspective	NN	perspective
what	WDT	what
are	VBP	be
hamas's	JJ	hamas's
demands	NNS	demand
in	IN	in
order	NN	order
to	TO	to
release	VV	release
the	DT	the
captives	NNS	captive
you	PP	you
have	VHP	have
what	WP	what
are	VBP	be
you	PP	you
asking	VVG	ask
for	IN	for
on	IN	on
the	DT	the
table	NN	table
well	RB	well
it	PP	it
was	VBD	be
clear	JJ	clear
our	PP$	our
position	NN	position
is	VBZ	be
to	TO	to
allow	VV	allow
all	PDT	all
the	DT	the
essential	JJ	essential
needs	NNS	need
to	TO	to
enter	VV	enter
to	TO	to
Gaza	NP	Gaza
including	VVG	include
the	DT	the
fuel	NN	fuel
and	CC	and
the	DT	the
medical	JJ	medical
uh	UH	uh
needs	VVZ	need
uh	UH	uh
and	CC	and
uh	UH	uh
there	EX	there
was	VBD	be
a	DT	a
clear	JJ	clear
uh	UH	uh
position	NN	position
we	PP	we
need	VVP	need
time	NN	time
to	TO	to
bring	VV	bring
all	PDT	all
the	DT	the
people	NNS	people
together	RB	together
sending	VVG	send
them	PP	them
uh	UH	uh
to	TO	to
the	DT	the
mediators	NNS	mediator
to	TO	to
take	VV	take
them	PP	them
through	IN	through
the	DT	the
Red	NP	Red
Cross	NP	Cross
this	DT	this
is	VBZ	be
why	WRB	why
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
trying	VVG	try
to	TO	to
uh	UH	uh
undermine	VV	undermine
the	DT	the
process	NN	process
they	PP	they
they	PP	they
they	PP	they
don't	VVD	don't
want	VV	want
the	DT	the
essential	JJ	essential
needs	NNS	need
to	TO	to
go	VV	go
through	IN	through
rafaz	NN	rafaz
and	CC	and
also	RB	also
they	PP	they
they	PP	they
prefer	VVP	prefer
to	TO	to
continue	VV	continue
their	PP$	their
bombing	NN	bombing
to	TO	to
Gaza	NP	Gaza
instead	RB	instead
of	IN	of
giving	VVG	give
some	DT	some
time	NN	time
to	TO	to
bring	VV	bring
those	DT	those
people	NNS	people
together	RB	together
they	PP	they
thought	VVD	think
this	DT	this
will	NN	will
at	IN	at
least	JJS	least
make	VV	make
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
G	NP	G
they	PP	they
have	VHP	have
some	DT	some
breath	NN	breath
uh	UH	uh
they	PP	they
they	PP	they
they	PP	they
they	PP	they
don't	VVD	don't
want	VV	want
the	DT	the
Palestinians	NPS	Palestinians
to	TO	to
breathe	VV	breathe
they	PP	they
want	VV	want
them	PP	them
to	TO	to
keep	VV	keep
under	IN	under
the	DT	the
all	RB	all
the	DT	the
time	NN	time
until	IN	until
the	DT	the
military	JJ	military
operation	NN	operation
is	VBZ	be
ended	VVN	end
which	WDT	which
I	PP	I
believe	VVP	believe
it	PP	it
was	VBD	be
in	IN	in
the	DT	the
first	JJ	first
few	JJ	few
days	NNS	day
uh	UH	uh
not	RB	not
as	RB	as
good	JJ	good
as	IN	as
they	PP	they
expected	VVD	expect
all	DT	all
right	JJ	right
we'll	NN	we'll
leave	VV	leave
it	PP	it
there	RB	there
thanks	VVZ	thank
so	RB	so
much	JJ	much
Sam	NP	Sam
Haman	NP	Haman
for	IN	for
talking	VVG	talk
to	TO	to
us	PP	us
I'm	NN	I'm
joined	VVD	join
Now	RB	now
by	IN	by
safah	NN	safah
he's	NNS	he's
in	IN	in
Gaza	NP	Gaza
but	CC	but
he's	NNS	he's
using	VVG	use
an	DT	an
international	JJ	international
SIM	NP	Sim
card	NN	card
so	IN	so
he	PP	he
can	MD	can
actually	RB	actually
speak	VV	speak
to	TO	to
us	PP	us
because	IN	because
we	PP	we
know	VVP	know
the	DT	the
communications	NNS	communication
have	VHP	have
been	VBN	be
spotty	JJ	spotty
in	IN	in
Gaza	NP	Gaza
today	NN	today
sofat	NN	sofat
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
densely	RB	densely
packed	VVN	pack
refugee	NN	refugee
camp	NN	camp
in	IN	in
a	DT	a
very	RB	very
densely	RB	densely
packed	VVN	pack
civilian	JJ	civilian
area	NN	area
talk	VV	talk
us	PP	us
through	IN	through
first	JJ	first
of	IN	of
all	DT	all
what	WP	what
you	PP	you
know	VVP	know
about	IN	about
the	DT	the
aftermath	NN	aftermath
of	IN	of
this	DT	this
strike	NN	strike
no	DT	no
safad	NN	safad
if	IN	if
you	PP	you
can	MD	can
hear	VV	hear
me	PP	me
talk	VV	talk
us	PP	us
through	IN	through
the	DT	the
casualties	NNS	casualty
well	RB	well
we	PP	we
just	RB	just
news	NN	news
about	IN	about
new	JJ	new
bombardment	NN	bombardment
and	CC	and
alja	NN	alja
neighborhood	NN	neighborhood
which	WDT	which
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
crowded	JJ	crowded
neighborhoods	NNS	neighborhood
in	IN	in
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
it's	JJ	it's
uh	UH	uh
it's	NNS	it's
the	DT	the
opposite	NN	opposite
of	IN	of
the	DT	the
yesterday	NN	yesterday
I	PP	I
mean	VVP	mean
in	IN	in
terms	NNS	term
of	IN	of
directions	NNS	direction
uh	UH	uh
yesterday	NN	yesterday
one	PP	one
was	VBD	be
in	IN	in
uh	UH	uh
southeast	NN	southeast
of	IN	of
jabalia	NN	jabalia
but	CC	but
to	TO	to
day	NN	day
one	CD	one
is	VBZ	be
in	IN	in
the	DT	the
north	JJ	north
west	NN	west
of	IN	of
jabalia	NN	jabalia
refugee	NN	refugee
camp	VV	camp
we	PP	we
we	PP	we
are	VBP	be
trying	VVG	try
to	TO	to
contact	VV	contact
our	PP$	our
uh	UH	uh
sources	NNS	source
and	CC	and
our	PP$	our
relatives	NNS	relative
in	IN	in
jabalia	NN	jabalia
but	CC	but
because	IN	because
of	IN	of
the	DT	the
black	NN	black
we	PP	we
could	MD	could
not	RB	not
reach	VV	reach
or	CC	or
get	VV	get
more	RBR	more
related	JJ	related
information	NN	information
all	DT	all
right	JJ	right
sa	NN	sa
we're	NN	we're
going	VVG	go
to	TO	to
come	VV	come
back	RB	back
to	TO	to
you	PP	you
in	IN	in
a	DT	a
little	JJ	little
bit	NN	bit
</doc>	NN	</doc>
