claim	NN	claim
of	IN	of
this	DT	this
debate	NN	debate
see	VV	see
it	PP	it
differently	RB	differently
but	CC	but
here	RB	here
in	IN	in
some	DT	some
circles	NNS	circle
any	RB	any
if	IN	if
you	PP	you
say	VVP	say
inata	NNS	inata
if	IN	if
you	PP	you
say	VVP	say
from	IN	from
the	DT	the
river	NN	river
to	TO	to
the	DT	the
sea	NN	sea
that	WDT	that
is	VBZ	be
seen	VVN	see
as	IN	as
anti	JJ	anti
-	NN	-
zionist	NN	Zionist
um	NNS	um
and	CC	and
not	RB	not
more	RBR	more
than	IN	than
anti	JJ	anti
-	NN	-
zionist	NN	Zionist
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	JJ	s
anti	JJ	anti
-	NN	-
Semitic	JJ	Semitic
by	IN	by
by	IN	by
some	DT	some
people	NNS	people
here	RB	here
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
seen	VVN	see
some	DT	some
really	RB	really
great	JJ	great
debates	NNS	debate
on	IN	on
the	DT	the
sidelines	NNS	sideline
here	RB	here
of	IN	of
people	NNS	people
debating	VVG	debate
that	IN/that	that
yeah	RB	yeah
uh	UH	uh
but	CC	but
but	CC	but
clearly	RB	clearly
that	DT	that
uh	UH	uh
got	VVD	get
attention	NN	attention
and	CC	and
got	VVD	get
the	DT	the
media	NNS	medium
back	VV	back
uh	UH	uh
back	RB	back
to	TO	to
covering	VVG	cover
the	DT	the
story	NN	story
when	WRB	when
the	DT	the
college	NN	college
campuses	NNS	campus
got	VVD	get
involved	VVN	involve
yeah	RB	yeah
Kristen	NP	Kristen
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
that	IN/that	that
for	IN	for
now	RB	now
that	WDT	that
'	POS	'
s	JJ	s
Kristen	NP	Kristen
salumi	NNS	salumi
joining	VVG	join
us	PP	us
live	VVP	live
from	IN	from
Columbia	NP	Columbia
University	NP	University
in	IN	in
New	NP	New
York	NP	York
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
go	VV	go
back	RB	back
to	TO	to
our	PP$	our
other	JJ	other
correspondent	NN	correspondent
who	WP	who
'	POS	'
s	NNS	s
live	VVP	live
at	IN	at
a	DT	a
different	JJ	different
location	NN	location
at	IN	at
Colombia	NP	Colombia
TOA	NP	TOA
Bo	NP	Bo
um	NN	um
is	VBZ	be
joining	VVG	join
us	PP	us
and	CC	and
TOA	NP	TOA
can	MD	can
you	PP	you
if	IN	if
you	PP	you
can	MD	can
just	RB	just
you	PP	you
know	VV	know
uh	UH	uh
bring	VV	bring
us	PP	us
up	RP	up
to	TO	to
dat	NN	dat
with	IN	with
what	WP	what
'	POS	'
s	RB	s
been	VBN	be
happening	VVG	happen
there	RB	there
over	IN	over
the	DT	the
past	JJ	past
hour	NN	hour
and	CC	and
you	PP	you
know	VVP	know
we	PP	we
'	''	'
re	IN	re
watching	VVG	watch
the	DT	the
live	JJ	live
shot	NN	shot
of	IN	of
that	DT	that
window	NN	window
of	IN	of
the	DT	the
historic	JJ	historic
Hamilton	NP	Hamilton
Hall	NP	Hall
with	IN	with
police	NNS	police
inside	IN	inside
students	NNS	student
have	VHP	have
barricaded	VVN	barricade
themselves	PP	themselves
inside	RB	inside
and	CC	and
we	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
what	WP	what
'	POS	'
s	NNS	s
happening	VVG	happen
there	RB	there
you	PP	you
talk	VVP	talk
to	TO	to
over	IN	over
this	DT	this
all	RB	all
right	JJ	right
they	PP	they
call	VVP	call
back	RB	back
in	IN	in
talk	VV	talk
well	RB	well
certainly	RB	certainly
we	PP	we
'	POS	'
re	NN	re
right	RB	right
here	RB	here
across	RP	across
from	IN	from
where	WRB	where
the	DT	the
window	NN	window
where	WRB	where
at	IN	at
least	JJS	least
50	CD	@card@
police	NN	police
officers	NNS	officer
went	VVD	go
inside	IN	inside
Hamilton	NP	Hamilton
Hall	NP	Hall
it	PP	it
'	POS	'
s	NN	S
not	RB	not
clear	JJ	clear
what	WP	what
is	VBZ	be
happening	VVG	happen
there	RB	there
right	RB	right
now	RB	now
but	CC	but
uh	UH	uh
student	NN	student
protesters	NNS	protester
have	VHP	have
been	VBN	be
outside	JJ	outside
uh	UH	uh
in	IN	in
a	DT	a
way	NN	way
protecting	VVG	protect
those	DT	those
who	WP	who
are	VBP	be
inside	RB	inside
who	WP	who
have	VHP	have
barricaded	VVN	barricade
themselves	PP	themselves
inside	IN	inside
Hamilton	NP	Hamilton
Hall	NP	Hall
they	PP	they
rename	VVP	rename
that	IN/that	that
Hall	NP	Hall
after	IN	after
a	DT	a
Palestinian	JJ	Palestinian
girl	NN	girl
the	DT	the
six	CD	six
-	NN	-
year	NN	year
-	NN	-
old	JJ	old
Palestinian	JJ	Palestinian
girl	NN	girl
that	WDT	that
was	VBD	be
killed	VVN	kill
by	IN	by
the	DT	the
military	JJ	military
and	CC	and
then	JJ	then
uh	UH	uh
just	RB	just
about	IN	about
an	DT	an
hour	NN	hour
ago	RB	ago
we	PP	we
started	VVD	start
seeing	VVG	see
massive	JJ	massive
police	NNS	police
freshen	VVP	freshen
they	PP	they
started	VVD	start
coming	VVG	come
towards	IN	towards
where	WRB	where
we	PP	we
are	VBP	be
from	IN	from
the	DT	the
northern	JJ	northern
side	NN	side
of	IN	of
the	DT	the
Avenue	NP	Avenue
and	CC	and
from	IN	from
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
Avenue	NP	Avenue
and	CC	and
then	RB	then
just	RB	just
dozens	NNS	dozen
and	CC	and
dozens	NNS	dozen
of	IN	of
police	NN	police
officers	NNS	officer
came	VVD	come
here	RB	here
let	VV	let
me	PP	me
bring	VV	bring
you	PP	you
in	RP	in
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
talk	VV	talk
to	TO	to
one	CD	one
of	IN	of
the	DT	the
students	NNS	student
that	WDT	that
has	VHZ	have
been	VBN	be
outside	JJ	outside
showing	VVG	show
support	NN	support
for	IN	for
those	DT	those
who	WP	who
are	VBP	be
inside	JJ	inside
uh	UH	uh
and	CC	and
he	PP	he
does	VVZ	do
not	RB	not
want	VV	want
his	PP$	his
name	NN	name
disclosed	VVN	disclose
but	CC	but
he	PP	he
'	POS	'
s	RB	s
been	VBN	be
here	RB	here
all	DT	all
day	NN	day
he	PP	he
'	POS	'
s	RB	s
been	VBN	be
following	VVG	follow
what	WP	what
'	POS	'
s	RB	s
been	VBN	be
happening	VVG	happen
happen	VV	happen
with	IN	with
the	DT	the
students	NNS	student
all	DT	all
day	NN	day
so	IN	so
what	WP	what
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
is	VBZ	be
happening	VVG	happen
inside	IN	inside
what	WP	what
have	VHP	have
you	PP	you
heard	VVN	hear
from	IN	from
your	PP$	your
your	PP$	your
your	PP$	your
classmates	NNS	classmate
your	PP$	your
other	JJ	other
students	NNS	student
who	WP	who
are	VBP	be
inside	RB	inside
right	RB	right
so	RB	so
like	IN	like
you	PP	you
said	VVD	say
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
students	NNS	student
went	VVD	go
in	IN	in
uh	UH	uh
to	TO	to
Hamilton	NP	Hamilton
Hall	NP	Hall
yesterday	NN	yesterday
de	NP	de
occupied	VVD	occupy
and	CC	and
reoccupied	VVD	reoccupied
it	PP	it
as	IN	as
hin	NN	hin
Hall	NP	Hall
uh	UH	uh
they	PP	they
were	VBD	be
there	RB	there
all	DT	all
day	NN	day
long	RB	long
all	RB	all
of	IN	of
us	PP	us
were	VBD	be
hoping	VVG	hope
that	IN/that	that
the	DT	the
administration	NN	administration
would	MD	would
behave	VV	behave
like	IN	like
adults	NNS	adult
and	CC	and
negotiate	VV	negotiate
in	IN	in
good	JJ	good
faith	NN	faith
with	IN	with
the	DT	the
students	NNS	student
and	CC	and
find	VV	find
a	DT	a
compromise	NN	compromise
Find	VVP	find
A	DT	a
Way	NP	Way
Forward	NP	Forward
um	NNS	um
to	TO	to
get	VV	get
these	DT	these
students	NNS	student
safely	RB	safely
back	RB	back
to	TO	to
their	PP$	their
classes	NNS	class
where	WRB	where
they	PP	they
belong	VVP	belong
um	NNS	um
but	CC	but
a	DT	a
lot	NN	lot
of	IN	of
us	PP	us
were	VBD	be
very	RB	very
disappointed	VVN	disappoint
obviously	RB	obviously
and	CC	and
shocked	VVN	shock
to	TO	to
see	VV	see
the	DT	the
police	NN	police
return	NN	return
to	TO	to
our	PP$	our
campus	NN	campus
an	DT	an
American	JJ	American
institution	NN	institution
where	WRB	where
freedom	NN	freedom
of	IN	of
speech	NN	speech
and	CC	and
freedom	NN	freedom
of	IN	of
expression	NN	expression
are	VBP	be
supposed	VVN	suppose
to	TO	to
be	VB	be
prized	VVN	prize
um	RB	um
earlier	JJR	early
today	NN	today
you	PP	you
know	VVP	know
via	IN	via
social	JJ	social
networks	NNS	network
we	PP	we
all	RB	all
told	VVD	tell
that	IN/that	that
they	PP	they
expected	VVD	expect
the	DT	the
police	NN	police
to	TO	to
come	VV	come
so	IN	so
we	PP	we
came	VVD	come
out	IN	out
here	RB	here
um	NN	um
to	TO	to
to	TO	to
demonstrate	VV	demonstrate
our	PP$	our
support	VV	support
uh	UH	uh
for	IN	for
for	IN	for
me	PP	me
personally	RB	personally
for	IN	for
the	DT	the
American	NP	American
values	VVZ	value
that	IN/that	that
I	PP	I
believe	VVP	believe
in	IN	in
um	NNS	um
and	CC	and
when	WRB	when
we	PP	we
arrived	VVD	arrive
there	EX	there
were	VBD	be
students	NNS	student
kind	NN	kind
of	IN	of
massing	VVG	mass
around	RP	around
the	DT	the
gates	NNS	gate
behind	IN	behind
me	PP	me
you	PP	you
see	VVP	see
um	RB	um
eventually	RB	eventually
the	DT	the
police	NN	police
arrived	VVD	arrive
and	CC	and
started	VVD	start
pushing	VVG	push
people	NNS	people
back	RB	back
about	IN	about
40	CD	@card@
or	CC	or
50	CD	@card@
students	NNS	student
uh	UH	uh
went	VVD	go
arm	NN	arm
in	IN	in
-	NN	-
arm	NN	arm
and	CC	and
tried	VVD	try
to	TO	to
block	VV	block
the	DT	the
gate	NN	gate
the	DT	the
police	NN	police
then	RB	then
came	VVD	come
some	DT	some
of	IN	of
them	PP	them
behaved	VVD	behave
like	IN	like
professionals	NNS	professional
others	NNS	other
were	VBD	be
pushing	VVG	push
and	CC	and
shoving	VVG	shove
and	CC	and
escalating	VVG	escalate
the	DT	the
situation	NN	situation
they	PP	they
took	VVD	take
a	DT	a
lot	NN	lot
of	IN	of
those	DT	those
students	NNS	student
away	RB	away
in	IN	in
zip	NN	zip
ties	NNS	tie
um	JJ	um
and	CC	and
then	RB	then
eventually	RB	eventually
they	PP	they
pushed	VVD	push
the	DT	the
red	NN	red
out	RP	out
of	IN	of
the	DT	the
way	NN	way
so	IN	so
they	PP	they
could	MD	could
bring	VV	bring
in	IN	in
the	DT	the
vehicle	NN	vehicle
that	IN/that	that
you	PP	you
see	VVP	see
um	NNS	um
to	TO	to
my	PP$	my
right	JJ	right
uh	UH	uh
that	DT	that
vehicle	NN	vehicle
moved	VVD	move
forward	RB	forward
to	TO	to
where	WRB	where
it	PP	it
is	VBZ	be
now	RB	now
they	PP	they
used	VVD	use
the	DT	the
ladder	NN	ladder
system	NN	system
they	PP	they
probably	RB	probably
could	MD	could
use	VV	use
a	DT	a
normal	JJ	normal
ladder	NN	ladder
but	CC	but
decided	VVD	decide
that	IN/that	that
instead	RB	instead
to	TO	to
use	VV	use
that	DT	that
vehicle	NN	vehicle
to	TO	to
breach	VV	breach
the	DT	the
window	NN	window
um	NN	um
into	IN	into
Hamilton	NP	Hamilton
Hall	NP	Hall
or	CC	or
hind	JJ	hind
Hall	NP	Hall
and	CC	and
from	IN	from
there	EX	there
they	PP	they
moved	VVD	move
in	IN	in
um	NNS	um
what	WP	what
we	PP	we
'	POS	'
re	NN	re
told	VVD	tell
from	IN	from
inside	IN	inside
there	EX	there
reports	VVZ	report
that	IN/that	that
they	PP	they
used	VVD	use
tear	VV	tear
gas	NN	gas
in	IN	in
an	DT	an
enclosed	VVN	enclose
space	NN	space
which	WDT	which
doesn	NNS	doesn
'	POS	'
t	NN	t
seem	VVP	seem
tactically	RB	tactically
sound	JJ	sound
or	CC	or
responsible	JJ	responsible
when	WRB	when
dealing	VVG	deal
with	IN	with
unarmed	JJ	unarmed
student	NN	student
protesters	NNS	protester
have	VHP	have
have	VH	have
you	PP	you
heard	VVN	hear
from	IN	from
inside	IN	inside
what	WP	what
is	VBZ	be
happening	VVG	happen
inside	RB	inside
because	IN	because
we	PP	we
cannot	MD	can
see	VV	see
anything	NN	anything
from	IN	from
here	RB	here
from	IN	from
where	WRB	where
we	PP	we
are	VBP	be
right	RB	right
now	RB	now
but	CC	but
maybe	RB	maybe
you	PP	you
are	VBP	be
in	IN	in
touch	NN	touch
with	IN	with
other	JJ	other
students	NNS	student
inside	RB	inside
have	VHP	have
you	PP	you
do	VVP	do
do	VV	do
you	PP	you
know	VV	know
what	WP	what
is	VBZ	be
going	VVG	go
on	IN	on
right	RB	right
so	RB	so
from	IN	from
what	WP	what
we	PP	we
heard	VVD	hear
from	IN	from
inside	IN	inside
there	EX	there
were	VBD	be
students	NNS	student
who	WP	who
were	VBD	be
knocked	VVN	knock
on	IN	on
there	EX	there
was	VBD	be
at	IN	at
least	JJS	least
one	CD	one
student	NN	student
who	WP	who
was	VBD	be
knocked	VVN	knock
unconscious	JJ	unconscious
by	IN	by
the	DT	the
police	NN	police
again	RB	again
that	RB	that
'	''	'
s	VVG	s
the	DT	the
reporting	NN	reporting
that	IN/that	that
we	PP	we
'	POS	'
re	NN	re
getting	VVG	get
from	IN	from
inside	JJ	inside
and	CC	and
there	EX	there
was	VBD	be
tear	NN	tear
gas	NN	gas
deployed	VVD	deploy
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
students	NNS	student
apparently	RB	apparently
are	VBP	be
being	VBG	be
brought	VVN	bring
out	IN	out
um	NNS	um
and	CC	and
in	IN	in
zip	NN	zip
ties	NNS	tie
via	IN	via
buses	NNS	bus
to	TO	to
the	DT	the
south	NN	south
of	IN	of
the	DT	the
campus	NN	campus
um	NN	um
but	CC	but
it	PP	it
sounds	VVZ	sound
like	IN	like
the	DT	the
students	NNS	student
were	VBD	be
sitting	VVG	sit
there	RB	there
they	PP	they
were	VBD	be
probably	RB	probably
expecting	VVG	expect
to	TO	to
be	VB	be
arrested	VVN	arrest
and	CC	and
were	VBD	be
willing	JJ	willing
to	TO	to
be	VB	be
arrested	VVN	arrest
for	IN	for
what	WP	what
they	PP	they
believe	VVP	believe
in	IN	in
um	NN	um
which	WDT	which
is	VBZ	be
something	NN	something
that	IN/that	that
again	RB	again
we	PP	we
should	MD	should
applaud	VV	applaud
here	RB	here
in	IN	in
America	NP	America
that	WDT	that
'	POS	'
s	JJ	s
true	JJ	true
courage	NN	courage
and	CC	and
there	EX	there
are	VBP	be
those	DT	those
students	NNS	student
who	WP	who
decided	VVD	decide
they	PP	they
wanted	VVD	want
to	TO	to
stand	VV	stand
for	IN	for
what	WP	what
they	PP	they
believed	VVD	believe
in	IN	in
and	CC	and
all	PDT	all
these	DT	these
police	NN	police
officers	NNS	officer
with	IN	with
all	PDT	all
their	PP$	their
equipment	NN	equipment
knocking	VVG	knock
down	RP	down
the	DT	the
door	NN	door
to	TO	to
take	VV	take
them	PP	them
away	RP	away
what	WP	what
of	IN	of
things	NNS	thing
that	IN/that	that
the	DT	the
New	NP	New
York	NP	York
Police	NP	Police
Department	NP	Department
is	VBZ	be
saying	VVG	say
is	VBZ	be
that	IN/that	that
the	DT	the
students	NNS	student
inside	RB	inside
were	VBD	be
infiltrated	VVN	infiltrate
by	IN	by
Outsiders	NNS	outsider
that	IN/that	that
this	DT	this
is	VBZ	be
something	NN	something
extremely	RB	extremely
dangerous	JJ	dangerous
is	VBZ	be
this	DT	this
true	JJ	true
I	PP	I
mean	VVP	mean
is	VBZ	be
this	DT	this
something	NN	something
that	WDT	that
has	VHZ	have
happened	VVN	happen
is	VBZ	be
just	RB	just
students	NNS	student
in	IN	in
there	EX	there
what	WP	what
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
about	IN	about
who	WP	who
is	VBZ	be
inside	IN	inside
I	PP	I
want	VVP	want
to	TO	to
go	VV	go
those	DT	those
students	NNS	student
who	WP	who
were	VBD	be
sitting	VVG	sit
in	IN	in
classes	NNS	class
like	IN	like
the	DT	the
rest	NN	rest
of	IN	of
us	PP	us
the	DT	the
people	NNS	people
who	WP	who
were	VBD	be
in	IN	in
there	RB	there
right	JJ	right
now	RB	now
to	TO	to
the	DT	the
best	JJS	good
of	IN	of
my	PP$	my
knowledge	NN	knowledge
are	VBP	be
all	DT	all
students	NNS	student
who	WP	who
decided	VVD	decide
that	IN/that	that
they	PP	they
wanted	VVD	want
to	TO	to
take	VV	take
a	DT	a
stand	NN	stand
and	CC	and
actually	RB	actually
demonstrate	VV	demonstrate
leadership	NN	leadership
um	NNS	um
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
country	NN	country
and	CC	and
for	IN	for
students	NNS	student
around	IN	around
the	DT	the
world	NN	world
um	VVZ	um
I	PP	I
haven	NN	haven
'	POS	'
t	NN	t
heard	VVD	hear
of	IN	of
any	DT	any
infiltration	NN	infiltration
into	IN	into
the	DT	the
camps	NNS	camp
the	DT	the
only	JJ	only
thing	NN	thing
that	WDT	that
happened	VVD	happen
was	VBD	be
sometimes	RB	sometimes
there	RB	there
would	MD	would
be	VB	be
some	DT	some
outside	JJ	outside
people	NNS	people
who	WP	who
would	MD	would
come	VV	come
and	CC	and
try	VV	try
to	TO	to
you	PP	you
know	VVP	know
change	VV	change
a	DT	a
narrative	NN	narrative
like	IN	like
there	EX	there
'	''	'
s	VVG	s
a	DT	a
proud	JJ	proud
boy	NN	boy
that	WDT	that
came	VVD	come
in	IN	in
other	JJ	other
people	NNS	people
trying	VVG	try
to	TO	to
uh	UH	uh
spread	VV	spread
a	DT	a
different	JJ	different
narrative	NN	narrative
but	CC	but
the	DT	the
students	NNS	student
were	VBD	be
very	RB	very
responsible	JJ	responsible
and	CC	and
be	VB	be
and	CC	and
they	PP	they
behaved	VVD	behave
like	IN	like
very	RB	very
professionally	RB	professionally
and	CC	and
de	NP	de
escalating	VVG	escalate
those	DT	those
situations	NNS	situation
and	CC	and
refocusing	VVG	refocuse
the	DT	the
narrative	NN	narrative
on	IN	on
Gaza	NP	Gaza
as	IN	as
they	PP	they
were	VBD	be
attempting	VVG	attempt
to	TO	to
any	DT	any
of	IN	of
these	DT	these
narratives	NNS	narrative
that	WDT	that
are	VBP	be
trying	VVG	try
to	TO	to
spread	VV	spread
fear	NN	fear
about	IN	about
who	WP	who
the	DT	the
students	NNS	student
are	VBP	be
I	PP	I
recommend	VVP	recommend
you	PP	you
speak	VVP	speak
to	TO	to
one	CD	one
of	IN	of
the	DT	the
students	NNS	student
if	IN	if
you	PP	you
get	VVP	get
a	DT	a
chance	NN	chance
the	DT	the
Palestinian	JJ	Palestinian
students	NNS	student
or	CC	or
the	DT	the
Jewish	JJ	Jewish
students	NNS	student
who	WP	who
are	VBP	be
arrested	VVN	arrest
uh	UH	uh
last	JJ	last
week	NN	week
the	DT	the
Jewish	JJ	Jewish
students	NNS	student
are	VBP	be
probably	RB	probably
being	VBG	be
arrested	VVN	arrest
right	RB	right
now	RB	now
and	CC	and
you	PP	you
can	MD	can
hear	VV	hear
from	IN	from
them	PP	them
what	WP	what
kind	NN	kind
of	IN	of
motivation	NN	motivation
uh	UH	uh
what	WP	what
kind	NN	kind
of	IN	of
movement	NN	movement
they	PP	they
are	VBP	be
which	WDT	which
is	VBZ	be
peaceful	JJ	peaceful
and	CC	and
there	EX	there
was	VBD	be
no	DT	no
infiltration	NN	infiltration
from	IN	from
my	PP$	my
understanding	NN	understanding
of	IN	of
any	DT	any
kind	NN	kind
of	IN	of
outside	JJ	outside
organization	NN	organization
you	PP	you
as	IN	as
a	DT	a
students	NNS	student
you	PP	you
'	''	'
re	IN	re
being	VBG	be
part	NN	part
of	IN	of
this	DT	this
movement	NN	movement
of	IN	of
this	DT	this
protest	NN	protest
to	TO	to
shed	VV	shed
light	NN	light
of	IN	of
what	WP	what
is	VBZ	be
happening	VVG	happen
in	IN	in
Gaza	NP	Gaza
to	TO	to
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
to	TO	to
the	DT	the
killing	NN	killing
in	IN	in
Gaza	NP	Gaza
what	WP	what
would	MD	would
you	PP	you
what	WP	what
would	MD	would
you	PP	you
like	VV	like
to	TO	to
say	VV	say
to	TO	to
the	DT	the
American	JJ	American
public	NN	public
what	WP	what
would	MD	would
you	PP	you
like	VV	like
to	TO	to
say	VV	say
to	TO	to
American	JJ	American
politicians	NNS	politician
what	WP	what
would	MD	would
you	PP	you
like	VV	like
to	TO	to
tell	VV	tell
uh	UH	uh
President	NP	President
Biden	NP	Biden
about	IN	about
what	WP	what
is	VBZ	be
happening	VVG	happen
here	RB	here
right	RB	right
now	RB	now
right	VV	right
I	PP	I
I	PP	I
want	VVP	want
to	TO	to
start	VV	start
by	IN	by
saying	VVG	say
I	PP	I
don	NN	don
'	POS	'
t	NN	t
want	VVP	want
to	TO	to
distract	VV	distract
attention	NN	attention
away	RB	away
from	IN	from
Gaza	NP	Gaza
which	WDT	which
is	VBZ	be
the	DT	the
real	JJ	real
focus	NN	focus
of	IN	of
all	PDT	all
these	DT	these
students	NNS	student
here	RB	here
but	CC	but
personally	RB	personally
as	IN	as
a	DT	a
student	NN	student
as	IN	as
an	DT	an
American	NP	American
I	NP	I
'	POS	'
m	NN	m
horrified	VVD	horrify
by	IN	by
the	DT	the
decision	NN	decision
-	NN	-
making	VVG	make
process	NN	process
here	RB	here
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
Moscow	NP	Moscow
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
teron	NN	teron
this	DT	this
is	VBZ	be
New	NP	New
York	NP	York
City	NP	City
we	PP	we
should	MD	should
be	VB	be
able	JJ	able
to	TO	to
protest	VV	protest
peacefully	RB	peacefully
in	IN	in
order	NN	order
to	TO	to
talk	VV	talk
to	TO	to
people	NNS	people
about	IN	about
what	WP	what
we	PP	we
have	VHP	have
you	PP	you
know	VVP	know
what	WP	what
the	DT	the
issues	NNS	issue
we	PP	we
have	VHP	have
with	IN	with
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
on	IN	on
on	IN	on
our	PP$	our
campus	NN	campus
around	IN	around
the	DT	the
world	NN	world
without	IN	without
fear	NN	fear
of	IN	of
our	PP$	our
campus	NN	campus
being	VBG	be
militarized	VVN	militarize
by	IN	by
police	NNS	police
and	CC	and
occupied	VVN	occupy
and	CC	and
being	VBG	be
pushed	VVN	push
away	RP	away
from	IN	from
our	PP$	our
classes	NNS	class
for	IN	for
no	DT	no
reason	NN	reason
the	DT	the
students	NNS	student
there	RB	there
they	PP	they
demonstrated	VVD	demonstrate
incredible	JJ	incredible
courage	NN	courage
and	CC	and
they	PP	they
motivated	VVD	motivate
people	NNS	people
around	IN	around
the	DT	the
country	NN	country
to	TO	to
do	VV	do
the	DT	the
same	JJ	same
and	CC	and
I	PP	I
was	VBD	be
hoping	VVG	hope
that	IN/that	that
the	DT	the
administration	NN	administration
here	RB	here
would	MD	would
follow	VV	follow
their	PP$	their
lead	NN	lead
and	CC	and
do	VV	do
something	NN	something
constructive	JJ	constructive
Unfortunately	RB	unfortunately
they	PP	they
started	VVD	start
bringing	NN	bringing
cops	VVZ	cop
last	JJ	last
week	NN	week
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
country	NN	country
followed	VVD	follow
their	PP$	their
lead	NN	lead
brought	VVD	bring
in	RB	in
cops	VVZ	cop
they	PP	they
were	VBD	be
negotiating	VVG	negotiate
constructively	RB	constructively
earlier	RBR	earlier
in	IN	in
the	DT	the
week	NN	week
and	CC	and
gave	VVD	give
up	RP	up
on	IN	on
that	IN/that	that
I	PP	I
was	VBD	be
hoping	VVG	hope
they	PP	they
would	MD	would
move	VV	move
back	RB	back
to	TO	to
the	DT	the
negotiating	VVG	negotiate
table	NN	table
but	CC	but
instead	RB	instead
they	PP	they
decided	VVD	decide
to	TO	to
do	VV	do
this	DT	this
so	RB	so
for	IN	for
everyone	NN	everyone
that	WDT	that
grew	VVD	grow
up	RP	up
in	IN	in
America	NP	America
in	IN	in
elementary	JJ	elementary
school	NN	school
mle	NN	mle
school	NN	school
and	CC	and
learned	VVN	learn
about	IN	about
American	JJ	American
values	NNS	value
and	CC	and
history	NN	history
of	IN	of
the	DT	the
American	NP	American
Revolution	NP	Revolution
or	CC	or
any	DT	any
other	JJ	other
thing	NN	thing
that	IN/that	that
you	PP	you
prize	VVP	prize
as	IN	as
American	JJ	American
our	PP$	our
values	NNS	value
I	PP	I
would	MD	would
say	VV	say
hopefully	RB	hopefully
in	IN	in
the	DT	the
future	NN	future
this	DT	this
doesn	NN	doesn
'	POS	'
t	NN	t
happen	VV	happen
again	RB	again
hopefully	RB	hopefully
we	PP	we
remember	VVP	remember
who	WP	who
we	PP	we
are	VBP	be
and	CC	and
we	PP	we
stand	VVP	stand
up	RP	up
for	IN	for
people	NNS	people
who	WP	who
want	VVP	want
to	TO	to
protest	VV	protest
peacefully	RB	peacefully
in	IN	in
order	NN	order
to	TO	to
address	VV	address
something	NN	something
they	PP	they
see	VVP	see
going	VVG	go
on	IN	on
in	IN	in
the	DT	the
world	NN	world
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
so	IN	so
we	PP	we
remain	VVP	remain
here	RB	here
right	RB	right
outside	JJ	outside
of	IN	of
Colombia	NP	Colombia
University	NP	University
just	RB	just
right	RB	right
in	IN	in
front	NN	front
of	IN	of
the	DT	the
door	NN	door
we	PP	we
around	RB	around
50	CD	@card@
police	NN	police
officers	NNS	officer
enter	VVP	enter
Hamilton	NP	Hamilton
Hall	NP	Hall
it	PP	it
'	POS	'
s	NN	S
not	RB	not
clear	JJ	clear
what	WP	what
went	VVD	go
on	IN	on
there	RB	there
we	PP	we
just	RB	just
heard	VVD	hear
some	DT	some
of	IN	of
the	DT	the
information	NN	information
that	IN/that	that
students	NNS	student
outside	RB	outside
are	VBP	be
getting	VVG	get
from	IN	from
what	WP	what
is	VBZ	be
happening	VVG	happen
inside	RB	inside
but	CC	but
we	PP	we
are	VBP	be
remaining	VVG	remain
here	RB	here
monitoring	VVG	monitor
the	DT	the
situation	NN	situation
seeing	VVG	see
the	DT	the
dozens	NNS	dozen
and	CC	and
dozens	NNS	dozen
of	IN	of
police	NN	police
officers	NNS	officer
that	WDT	that
have	VHP	have
showed	VVN	show
up	RP	up
here	RB	here
watching	VVG	watch
how	WRB	how
at	IN	at
least	JJS	least
50	CD	@card@
of	IN	of
them	PP	them
entered	VVD	enter
through	IN	through
that	DT	that
window	NN	window
probably	RB	probably
to	TO	to
evict	VV	evict
the	DT	the
students	NNS	student
that	WDT	that
are	VBP	be
currently	RB	currently
signed	VVN	sign
students	NNS	student
have	VHP	have
been	VBN	be
facing	VVG	face
the	DT	the
risks	NNS	risk
of	IN	of
suspension	NN	suspension
of	IN	of
expulsion	NN	expulsion
now	RB	now
they	PP	they
'	''	'
re	IN	re
facing	VVG	face
arrest	NN	arrest
so	IN	so
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
have	VH	have
to	TO	to
see	VV	see
what	WP	what
happens	VVZ	happen
next	JJ	next
but	CC	but
we	PP	we
'	POS	'
ll	NNS	ll
be	VB	be
here	RB	here
and	CC	and
we	PP	we
'	POS	'
ll	VVG	ll
we	PP	we
'	POS	'
ll	NNS	ll
keep	VVP	keep
