<video_id>XFe4kFA1_rM</video_id>	JJ	<video_id>XFe4kFA1_rM</video_id>
parallel	JJ	parallel
to	TO	to
that	WDT	that
that	DT	that
we've	NN	we've
seen	VVN	see
after	IN	after
911	CD	@card@
meaning	VVG	mean
9112	CD	@card@
2001	CD	@card@
that's	NNS	that's
why	WRB	why
why	WRB	why
his	PP$	his
entire	JJ	entire
references	NNS	reference
or	CC	or
at	IN	at
least	JJS	least
most	JJS	most
of	IN	of
his	PP$	his
references	NNS	reference
go	VVP	go
back	RB	back
to	TO	to
911	CD	@card@
and	CC	and
the	DT	the
war	NN	war
on	IN	on
terror	NN	terror
comparing	VVG	compare
uh	UH	uh
Hamas	NN	Hamas
to	TO	to
Isis	NP	Isis
and	CC	and
certainly	RB	certainly
drawing	VVG	draw
parallel	NN	parallel
with	IN	with
alqaeda	NN	alqaeda
and	CC	and
saying	VVG	say
certainly	RB	certainly
you	PP	you
cannot	MD	can
negotiate	VV	negotiate
with	IN	with
these	DT	these
groups	NNS	group
like	VVP	like
you	PP	you
couldn't	NN	couldn't
negotiate	VV	negotiate
with	IN	with
Isis	NP	Isis
hence	RB	hence
only	RB	only
war	NN	war
is	VBZ	be
our	PP$	our
only	JJ	only
path	NN	path
and	CC	and
clearly	RB	clearly
delting	JJ	delting
the	DT	the
kind	NN	kind
of	IN	of
U	NP	U
us	PP	us
ver	VVZ	ver
versus	IN	versus
them	PP	them
are	VBP	be
you	PP	you
with	IN	with
us	PP	us
or	CC	or
With	IN	with
the	DT	the
Enemy	NN	enemy
kind	NN	kind
of	IN	of
logic	NN	logic
from	IN	from
the	DT	the
Bush	NP	Bush
Administration	NP	Administration
after	IN	after
911	CD	@card@
all	RB	all
to	TO	to
um	RB	um
justify	VV	justify
the	DT	the
kind	NN	kind
of	IN	of
invasion	NN	invasion
that	IN/that	that
we've	NN	we've
seen	VVN	see
of	IN	of
Afghanistan	NP	Afghanistan
and	CC	and
Iraq	NP	Iraq
in	IN	in
this	DT	this
case	NN	case
starting	VVG	start
against	IN	against
Gaza	NP	Gaza
so	IN	so
I	PP	I
think	VVP	think
there's	RB	there's
an	DT	an
entire	JJ	entire
narrative	NN	narrative
being	VBG	be
manufactured	VVN	manufacture
now	RB	now
on	IN	on
the	DT	the
basis	NN	basis
of	IN	of
this	DT	this
is	VBZ	be
like	IN	like
you	PP	you
know	VVP	know
of	IN	of
being	VBG	be
compared	VVN	compare
to	TO	to
invoking	VVG	invoke
the	DT	the
Holocaust	NN	holocaust
which	WDT	which
is	VBZ	be
you	PP	you
know	VVP	know
we've	NN	we've
always	RB	always
been	VBN	be
warned	VVN	warn
that	IN/that	that
let's	NNS	let's
not	RB	not
just	RB	just
compare	VV	compare
anything	NN	anything
with	IN	with
the	DT	the
Holocaust	NN	holocaust
this	DT	this
is	VBZ	be
a	DT	a
total	JJ	total
disrespect	NN	disrespect
to	TO	to
the	DT	the
Holocaust	NN	holocaust
but	CC	but
I	PP	I
can	MD	can
hear	VV	hear
now	RB	now
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
himself	PP	himself
undervaluing	VVG	undervalue
and	CC	and
disrespecting	VVG	disrespect
the	DT	the
Holocaust	NN	holocaust
by	IN	by
comparing	VVG	compare
this	DT	this
very	JJ	very
operation	NN	operation
of	IN	of
few	JJ	few
hours	NNS	hour
on	IN	on
Saturday	NP	Saturday
with	IN	with
years	NNS	year
of	IN	of
ethnic	JJ	ethnic
cleansing	NN	cleansing
and	CC	and
genocide	NN	genocide
of	IN	of
Jews	NPS	Jews
in	IN	in
Europe	NP	Europe
where	WRB	where
6	CD	@card@
million	CD	million
people	NNS	people
were	VBD	be
killed	VVN	kill
Germany's	NP	Germany's
Hitler	NP	Hitler
is	VBZ	be
not	RB	not
Hamas	JJ	Hamas
trying	VVG	try
to	TO	to
liberate	VV	liberate
its	PP$	its
land	NN	land
despite	IN	despite
its	PP$	its
unsavory	JJ	unsavory
methods	NNS	method
last	JJ	last
last	JJ	last
weekend	NN	weekend
the	DT	the
colonial	JJ	colonial
situation	NN	situation
in	IN	in
Palestine	NP	Palestine
is	VBZ	be
not	RB	not
Nazism	NN	Nazism
in	IN	in
Europe	NP	Europe
and	CC	and
Palestinians	NPS	Palestinians
trying	VVG	try
to	TO	to
liberate	VV	liberate
their	PP$	their
land	NN	land
and	CC	and
instill	VV	instill
Justice	NP	Justice
is	VBZ	be
certainly	RB	certainly
not	RB	not
another	DT	another
Holocaust	NN	holocaust
but	CC	but
as	IN	as
I	PP	I
said	VVD	say
the	DT	the
prime	JJ	prime
minister	NN	minister
is	VBZ	be
invoking	VVG	invoke
a	DT	a
whole	JJ	whole
set	NN	set
of	IN	of
terminologies	NNS	terminology
and	CC	and
scenes	NNS	scene
between	IN	between
911	CD	@card@
2001	CD	@card@
and	CC	and
the	DT	the
attacks	NNS	attack
on	IN	on
New	NP	New
York	NP	York
and	CC	and
Washington	NP	Washington
and	CC	and
the	DT	the
Holocaust	NN	holocaust
in	IN	in
order	NN	order
to	TO	to
ensure	VV	ensure
the	DT	the
rallying	NN	rallying
not	RB	not
only	RB	only
of	IN	of
the	DT	the
Israeli	JJ	Israeli
people	NNS	people
behind	IN	behind
him	PP	him
but	CC	but
of	IN	of
that	DT	that
of	IN	of
the	DT	the
western	JJ	western
public	JJ	public
opinion	NN	opinion
and	CC	and
Western	JJ	Western
governments	NNS	government
and	CC	and
as	IN	as
you	PP	you
know	VVP	know
Tom	NP	Tom
most	RBS	most
of	IN	of
these	DT	these
governments	NNS	government
have	VHP	have
provided	VVN	provide
the	DT	the
Netanyahu	NP	Netanyahu
government	NN	government
with	IN	with
unconditional	JJ	unconditional
support	NN	support
to	TO	to
do	VV	do
whatever	WDT	whatever
it	PP	it
wants	VVZ	want
as	RB	as
long	RB	long
as	IN	as
it	PP	it
wants	VVZ	want
to	TO	to
fight	VV	fight
and	CC	and
finish	VV	finish
off	RP	off
hamus	NNS	hamus
yeah	RB	yeah
moan	VVP	moan
you're	NN	you're
saying	VVG	say
that	IN/that	that
he	PP	he
is	VBZ	be
building	VVG	build
a	DT	a
case	NN	case
for	IN	for
war	NN	war
here	RB	here
but	CC	but
everyone	NN	everyone
that	IN/that	that
we	PP	we
have	VHP	have
spoken	VVN	speak
to	TO	to
inside	JJ	inside
Israel	NP	Israel
whether	IN	whether
it	PP	it
be	VB	be
our	PP$	our
correspondents	NNS	correspondent
or	CC	or
analysts	NNS	analyst
from	IN	from
from	IN	from
inside	JJ	inside
Israel	NP	Israel
say	VVP	say
that	IN/that	that
the	DT	the
country	NN	country
really	RB	really
is	VBZ	be
United	VVN	unite
uh	UH	uh
after	IN	after
this	DT	this
attack	NN	attack
so	RB	so
is	VBZ	be
this	DT	this
going	VVG	go
to	TO	to
work	VV	work
for	IN	for
Netanyahu	NP	Netanyahu
that	IN/that	that
he	PP	he
will	MD	will
unite	VV	unite
the	DT	the
country	NN	country
and	CC	and
uh	UH	uh
is	VBZ	be
Will	NP	Will
successfully	RB	successfully
build	VV	build
a	DT	a
case	NN	case
for	IN	for
war	NN	war
that	IN/that	that
to	TO	to
allow	VV	allow
him	PP	him
and	CC	and
his	PP$	his
new	JJ	new
war	NN	war
cabinet	NN	cabinet
to	TO	to
do	VV	do
whatever	WDT	whatever
it	PP	it
likes	VVZ	like
uh	UH	uh
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
inevitable	JJ	inevitable
well	RB	well
potential	JJ	potential
ground	NN	ground
Invasion	NN	invasion
or	CC	or
the	DT	the
escalation	NN	escalation
uh	UH	uh
into	IN	into
Gaza	NP	Gaza
look	VVP	look
to	TO	to
be	VB	be
clear	VV	clear
there	EX	there
are	VBP	be
already	RB	already
some	DT	some
major	JJ	major
voices	NNS	voice
in	IN	in
Israel	NP	Israel
although	IN	although
they're	NN	they're
still	RB	still
in	IN	in
the	DT	the
minority	NN	minority
calling	VVG	call
for	IN	for
his	PP$	his
impeachment	NN	impeachment
and	CC	and
trial	NN	trial
and	CC	and
and	CC	and
definitely	RB	definitely
saying	VVG	say
he's	NNS	he's
a	DT	a
feared	JJ	feared
leader	NN	leader
and	CC	and
should	MD	should
not	RB	not
be	VB	be
a	DT	a
wartime	NN	wartime
leader	NN	leader
but	CC	but
yes	RB	yes
in	IN	in
in	IN	in
a	DT	a
in	IN	in
times	NNS	time
of	IN	of
Crisis	NN	crisis
the	DT	the
Israelis	NPS	Israelis
unite	VVP	unite
as	IN	as
they	PP	they
have	VHP	have
done	VVN	do
for	IN	for
since	IN	since
the	DT	the
past	JJ	past
70	CD	@card@
years	NNS	year
75	CD	@card@
years	NNS	year
there's	RB	there's
nothing	RB	nothing
new	JJ	new
there	RB	there
they	PP	they
always	RB	always
do	VVP	do
that	IN/that	that
regardless	RB	regardless
of	IN	of
who's	NNS	who's
leading	VVG	lead
the	DT	the
country	NN	country
they	PP	they
tend	VVP	tend
to	TO	to
uh	UH	uh
coales	NNS	coales
together	RB	together
under	IN	under
whoever	WP	whoever
is	VBZ	be
there	RB	there
in	IN	in
charge	NN	charge
and	CC	and
that's	NNS	that's
for	IN	for
the	DT	the
time	NN	time
being	VBG	be
and	CC	and
and	CC	and
Natan	NP	Natan
would	MD	would
like	VV	like
to	TO	to
prolong	VV	prolong
that	IN/that	that
as	RB	as
much	RB	much
as	RB	as
possible	JJ	possible
even	RB	even
if	IN	if
that's	NNS	that's
through	IN	through
war	NN	war
in	IN	in
his	PP$	his
own	JJ	own
personal	JJ	personal
agenda	NN	agenda
but	CC	but
the	DT	the
two	CD	two
new	JJ	new
Generals	NPS	General
in	IN	in
his	PP$	his
cabinet	NN	cabinet
in	IN	in
the	DT	the
War	NP	War
cabinet	NN	cabinet
have	VHP	have
not	RB	not
personal	JJ	personal
agendas	NNS	agenda
per	IN	per
se	FW	se
they	PP	they
have	VH	have
National	NP	National
Security	NP	Security
agendas	NNS	agenda
in	RB	in
say	VVP	say
and	CC	and
they	PP	they
know	VVP	know
apparently	RB	apparently
quite	RB	quite
well	RB	well
and	CC	and
that's	NNS	that's
why	WRB	why
there	EX	there
is	VBZ	be
a	DT	a
new	JJ	new
emergency	NN	emergency
government	NN	government
is	VBZ	be
the	DT	the
next	JJ	next
few	JJ	few
weeks	NNS	week
and	CC	and
months	NNS	month
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
quite	RB	quite
bloody	JJ	bloody
and	CC	and
as	RB	as
I	PP	I
said	VVD	say
earlier	RBR	earlier
there	RB	there
seems	VVZ	seem
to	TO	to
be	VB	be
an	DT	an
understanding	NN	understanding
that	IN/that	that
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
perhaps	RB	perhaps
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
people	NNS	people
or	CC	or
casualties	NNS	casualty
will	MD	will
result	VV	result
out	RP	out
of	IN	of
this	DT	this
war	NN	war
and	CC	and
we	PP	we
don't	VVD	don't
know	VV	know
even	RB	even
what	WP	what
the	DT	the
result	NN	result
of	IN	of
this	DT	this
war	NN	war
might	MD	might
end	VV	end
up	RP	up
being	VBG	be
and	CC	and
how	WRB	how
many	JJ	many
Israelis	NNS	Israeli
among	IN	among
the	DT	the
Israelis	NPS	Israelis
will	MD	will
suffer	VV	suffer
or	CC	or
die	VV	die
in	IN	in
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
this	DT	this
war	NN	war
so	IN	so
this	DT	this
is	VBZ	be
a	DT	a
huge	JJ	huge
responsibility	NN	responsibility
to	TO	to
a	DT	a
man	NN	man
who's	NNS	who's
proven	VVN	prove
to	TO	to
be	VB	be
a	DT	a
liar	NN	liar
a	DT	a
corrupt	JJ	corrupt
leader	NN	leader
a	DT	a
failed	JJ	failed
leader	NN	leader
and	CC	and
so	RB	so
on	IN	on
so	RB	so
forth	RB	forth
but	CC	but
here	RB	here
we	PP	we
are	VBP	be
at	IN	at
this	DT	this
Junction	NN	junction
and	CC	and
as	IN	as
Israel	NP	Israel
amasses	VVZ	amass
100,000	CD	@card@
soldiers	NNS	soldier
on	IN	on
the	DT	the
southern	JJ	southern
border	NN	border
with	IN	with
Gaza	NP	Gaza
as	IN	as
it	PP	it
recalls	VVZ	recall
350,000	CD	@card@
military	JJ	military
reserves	NNS	reserve
this	DT	this
country	NN	country
is	VBZ	be
at	IN	at
the	DT	the
brink	NN	brink
of	IN	of
War	NP	War
its	PP$	its
defense	NN	defense
minister	NN	minister
has	VHZ	have
already	RB	already
called	VVN	call
for	IN	for
an	DT	an
invasion	NN	invasion
after	IN	after
uh	UH	uh
the	DT	the
the	DT	the
persistent	JJ	persistent
indiscriminate	JJ	indiscriminate
bombing	NN	bombing
of	IN	of
Gaza	NP	Gaza
or	CC	or
War	NP	War
crime	NN	crime
as	IN	as
it	PP	it
were	VBD	be
and	CC	and
hence	RB	hence
now	RB	now
we	PP	we
are	VBP	be
just	RB	just
basically	RB	basically
going	VVG	go
to	TO	to
be	VB	be
in	IN	in
a	DT	a
countdown	NN	countdown
uh	UH	uh
motion	NN	motion
towards	IN	towards
uh	UH	uh
the	DT	the
war	NN	war
which	WDT	which
frankly	RB	frankly
Tom	NP	Tom
I	NP	I
don't	NP	don't
think	VVP	think
anyone	NN	anyone
knows	VVZ	know
what	WP	what
is	VBZ	be
the	DT	the
end	NN	end
game	NN	game
out	IN	out
of	IN	of
this	DT	this
so	IN	so
they	PP	they
say	VVP	say
it	PP	it
is	VBZ	be
to	TO	to
dismantle	VV	dismantle
Hamas	NN	Hamas
and	CC	and
they	PP	they
could	MD	could
probably	RB	probably
you	PP	you
know	VVP	know
possible	JJ	possible
that	IN/that	that
they	PP	they
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
dismantle	VV	dismantle
the	DT	the
military	NN	military
and	CC	and
the	DT	the
political	JJ	political
and	CC	and
administrative	JJ	administrative
structure	NN	structure
of	IN	of
Hamas	NP	Hamas
and	CC	and
Gaza	NP	Gaza
but	CC	but
they're	NP	they're
certainly	RB	certainly
not	RB	not
going	VVG	go
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
crush	VV	crush
the	DT	the
idea	NN	idea
of	IN	of
Hamas	NNS	Hamas
as	IN	as
a	DT	a
resistance	NN	resistance
movements	NNS	movement
against	IN	against
occupation	NN	occupation
the	DT	the
occupation	NN	occupation
would	MD	would
still	RB	still
be	VB	be
there	RB	there
of	IN	of
Palestinian	NN	Palestinian
occu	VVG	occu
uh	UH	uh
territories	NNS	territory
uh	UH	uh
Palestinian	JJ	Palestinian
refugees	NNS	refugee
in	IN	in
their	PP$	their
Millions	NNS	million
will	MD	will
still	RB	still
be	VB	be
there	RB	there
and	CC	and
the	DT	the
day	NN	day
after	IN	after
they	PP	they
finished	VVD	finish
cleaning	VVG	clean
up	RP	up
as	IN	as
it	PP	it
were	VBD	be
Gaza	NP	Gaza
from	IN	from
Hamas	NP	Hamas
what	WP	what
then	RB	then
will	MD	will
they	PP	they
be	VB	be
the	DT	the
occupier	NN	occupier
of	IN	of
Gaza	NP	Gaza
again	RB	again
providing	VVG	provide
food	NN	food
and	CC	and
fuel	NN	fuel
to	TO	to
the	DT	the
PE	NN	pe
to	TO	to
the	DT	the
two	CD	two
million	CD	million
people	NNS	people
in	IN	in
Gaza	NP	Gaza
will	MD	will
they	PP	they
bring	VV	bring
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
to	TO	to
rule	VV	rule
there	RB	there
knowing	VVG	know
the	DT	the
failures	NNS	failure
of	IN	of
the	DT	the
past	NN	past
will	MD	will
they	PP	they
really	RB	really
sacrific	JJ	sacrific
thousands	NNS	thousand
of	IN	of
Israelis	NNS	Israeli
in	IN	in
order	NN	order
to	TO	to
bring	VV	bring
back	RB	back
the	DT	the
Palestinians	NPS	Palestinians
to	TO	to
rule	VV	rule
I	PP	I
certainly	RB	certainly
cannot	MD	can
see	VV	see
that	IN/that	that
so	RB	so
what	WP	what
then	RB	then
what	WP	what
happens	VVZ	happen
after	IN	after
this	DT	this
genocide	NN	genocide
takes	VVZ	take
place	NN	place
in	IN	in
the	DT	the
weeks	NNS	week
and	CC	and
months	NNS	month
to	TO	to
come	VV	come
what	WP	what
is	VBZ	be
the	DT	the
end	NN	end
game	NN	game
if	IN	if
if	IN	if
it	PP	it
is	VBZ	be
not	RB	not
an	DT	an
end	NN	end
to	TO	to
occupation	NN	occupation
because	IN	because
in	IN	in
9/11	CD	@card@
and	CC	and
in	IN	in
the	DT	the
Holocaust	NN	holocaust
we	PP	we
knew	VVD	know
what	WP	what
the	DT	the
end	NN	end
games	NNS	game
were	VBD	be
total	JJ	total
destroying	VVG	destroy
of	IN	of
al-Qaeda	NP	al-Qaeda
occupying	VVG	occupy
in	IN	in
Afghanistan	NP	Afghanistan
and	CC	and
20	CD	@card@
years	NNS	year
later	RBR	later
well	RB	well
America	NP	America
is	VBZ	be
out	RB	out
of	IN	of
Afghanistan	NP	Afghanistan
humiliated	VVD	humiliate
and	CC	and
the	DT	the
Taliban	NP	Taliban
are	VBP	be
back	RB	back
to	TO	to
rule	VV	rule
Afghanistan	NP	Afghanistan
in	IN	in
Europe	NP	Europe
we	PP	we
certainly	RB	certainly
know	VVP	know
what	WP	what
happened	VVD	happen
there	EX	there
there	RB	there
was	VBD	be
a	DT	a
second	JJ	second
world	NN	world
war	NN	war
and	CC	and
Nazism	NN	Nazism
was	VBD	be
definitely	RB	definitely
defeated	VVN	defeat
and	CC	and
Germany	NP	Germany
was	VBD	be
definitely	RB	definitely
occupied	VVN	occupy
because	IN	because
it	PP	it
was	VBD	be
aggressor	NN	aggressor
that	IN/that	that
ended	VVN	end
up	RP	up
killing	VVG	kill
tens	NNS	ten
of	IN	of
millions	NNS	million
of	IN	of
Europeans	NNS	European
including	VVG	include
6	CD	@card@
million	CD	million
Jews	NNS	jew
this	DT	this
is	VBZ	be
nothing	NN	nothing
to	TO	to
be	VB	be
compared	VVN	compare
with	IN	with
a	DT	a
colonial	JJ	colonial
setting	NN	setting
called	VVD	call
Israel	NP	Israel
Palestine	NP	Palestine
where	WRB	where
Israel	NP	Israel
is	VBZ	be
not	RB	not
the	DT	the
Jews	NPS	Jews
of	IN	of
Europe	NP	Europe
being	VBG	be
slaughtered	VVN	slaughter
by	IN	by
the	DT	the
German	JJ	German
Nazis	NNS	Nazi
it	PP	it
is	VBZ	be
the	DT	the
occupying	JJ	occupying
power	NN	power
and	CC	and
to	TO	to
continue	VV	continue
to	TO	to
speak	VV	speak
almost	RB	almost
in	IN	in
in	IN	in
in	IN	in
a	DT	a
in	IN	in
a	DT	a
totally	RB	totally
inhumane	JJ	inhumane
way	NN	way
about	IN	about
Israeli	JJ	Israeli
suffering	NN	suffering
while	IN	while
totally	RB	totally
totally	RB	totally
ignoring	VVG	ignore
Palestinian	JJ	Palestinian
suffering	NN	suffering
and	CC	and
we	PP	we
are	VBP	be
all	RB	all
watching	VVG	watch
those	DT	those
images	NNS	image
coming	VVG	come
from	IN	from
Gaza	NP	Gaza
about	IN	about
the	DT	the
hundreds	NNS	hundred
or	CC	or
the	DT	the
thousands	NNS	thousand
of	IN	of
casualties	NNS	casualty
the	DT	the
destructions	NNS	destruction
of	IN	of
property	NN	property
the	DT	the
displacements	NNS	displacement
of	IN	of
people	NNS	people
the	DT	the
hunger	NN	hunger
and	CC	and
starvation	NN	starvation
that	WDT	that
is	VBZ	be
coming	VVG	come
The	DT	the
Cutting	NP	Cutting
of	IN	of
food	NN	food
electricity	NN	electricity
that	IN/that	that
every	DT	every
other	JJ	other
European	JJ	European
and	CC	and
American	JJ	American
leader	NN	leader
called	VVD	call
it	PP	it
when	WRB	when
it	PP	it
happened	VVD	happen
in	IN	in
Ukraine	NP	Ukraine
to	TO	to
be	VB	be
a	DT	a
war	NN	war
crime	NN	crime
and	CC	and
Terror	NN	terror
but	CC	but
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
Palestine	NP	Palestine
they	PP	they
call	VVP	call
it	PP	it
Israel	NP	Israel
defending	VVG	defend
its	PP$	its
people	NNS	people
the	DT	the
hypocrisy	NN	hypocrisy
is	VBZ	be
Just	RB	just
Breath	NN	breath
thick	JJ	thick
okay	JJ	okay
Mar	NP	Mar
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
we	PP	we
really	RB	really
do	VVP	do
appreciate	VV	appreciate
your	PP$	your
insight	NN	insight
into	IN	into
this	DT	this
that's	NP	that's
Maan	NP	Maan
bashara	VVZ	bashara
our	PP$	our
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
for	IN	for
Al	NP	Al
jazer	NN	jazer
well	NN	well
let's	NNS	let's
speak	VVP	speak
to	TO	to
haa	NN	haa
abdalhamid	NN	abdalhamid
who	WP	who
is	VBZ	be
outside	IN	outside
the	DT	the
knesset	NN	Knesset
in	IN	in
West	NP	West
Jerusalem	NP	Jerusalem
where	WRB	where
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
was	VBD	be
just	RB	just
speaking	VVG	speak
a	DT	a
short	JJ	short
time	NN	time
ago	RB	ago
announcing	VVG	announce
the	DT	the
formal	JJ	formal
declaration	NN	declaration
for	IN	for
War	NP	War
hter	NNS	hter
as	IN	as
we	PP	we
heard	VVD	hear
Maan	NP	Maan
saying	VVG	say
there	RB	there
he's	JJ	he's
Netanyahu	NP	Netanyahu
is	VBZ	be
building	VVG	build
a	DT	a
case	NN	case
for	IN	for
war	NN	war
will	MD	will
that	RB	that
be	VB	be
widely	RB	widely
supported	VVN	support
around	IN	around
Israel	NP	Israel
I	PP	I
think	VVP	think
indeed	RB	indeed
it	PP	it
would	MD	would
be	VB	be
widely	RB	widely
supported	VVN	support
because	IN	because
we	PP	we
had	VHD	have
heard	VVN	hear
many	JJ	many
voices	NNS	voice
saying	VVG	say
that	IN/that	that
the	DT	the
government	NN	government
and	CC	and
the	DT	the
military	NN	military
really	RB	really
need	VVP	need
to	TO	to
deal	VV	deal
with	IN	with
the	DT	the
situation	NN	situation
once	RB	once
and	CC	and
for	IN	for
all	DT	all
I	PP	I
just	RB	just
want	VVP	want
to	TO	to
bring	VV	bring
you	PP	you
to	TO	to
speed	VV	speed
though	IN	though
that	DT	that
while	NN	while
to	TO	to
what	WP	what
has	VHZ	have
been	VBN	be
happening	VVG	happen
here	RB	here
on	IN	on
the	DT	the
ground	NN	ground
while	IN	while
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
uh	UH	uh
was	VBD	be
talking	VVG	talk
in	IN	in
the	DT	the
knesset	NN	Knesset
that	IN/that	that
building	VVG	build
behind	IN	behind
me	PP	me
here	RB	here
while	IN	while
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
of	IN	of
town	NN	town
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
uh	UH	uh
there	EX	there
has	VHZ	have
been	VBN	be
a	DT	a
an	DT	an
attack	NN	attack
we	PP	we
have	VHP	have
at	IN	at
the	DT	the
moment	NN	moment
preliminary	JJ	preliminary
information	NN	information
we	PP	we
know	VVP	know
that	IN/that	that
there	EX	there
has	VHZ	have
been	VBN	be
a	DT	a
an	DT	an
exchange	NN	exchange
of	IN	of
gunfire	NN	gunfire
we	PP	we
are	VBP	be
hearing	VVG	hear
that	IN/that	that
there's	RB	there's
also	RB	also
a	DT	a
number	NN	number
of	IN	of
wounded	JJ	wounded
and	CC	and
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
saying	VVG	say
uh	UH	uh
that	IN/that	that
the	DT	the
attacker	NN	attacker
has	VHZ	have
been	VBN	be
in	IN	in
what	WP	what
they	PP	they
call	VVP	call
neutralized	VVN	neutralize
which	WDT	which
means	VVZ	mean
that	IN/that	that
he	PP	he
has	VHZ	have
been	VBN	be
killed	VVN	kill
too	RB	too
so	RB	so
we	PP	we
will	MD	will
update	VV	update
you	PP	you
be	VB	be
on	IN	on
that	WDT	that
but	CC	but
going	VVG	go
back	RB	back
to	TO	to
what	WP	what
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
uh	UH	uh
was	VBD	be
saying	VVG	say
certainly	RB	certainly
he	PP	he
wants	VVZ	want
to	TO	to
show	VV	show
and	CC	and
convey	VV	convey
the	DT	the
message	NN	message
that	IN/that	that
now	RB	now
that	IN/that	that
he	PP	he
has	VHZ	have
this	DT	this
um	JJ	um
emergency	NN	emergency
Unity	NP	Unity
government	NN	government
uh	UH	uh
he	PP	he
returns	VVZ	return
to	TO	to
be	VB	be
that	DT	that
confident	JJ	confident
uh	UH	uh
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
who	WP	who
has	VHZ	have
always	RB	always
uh	UH	uh
led	VVD	lead
the	DT	the
country	NN	country
and	CC	and
who	WP	who
has	VHZ	have
always	RB	always
promised	VVN	promise
um	NN	um
the	DT	the
Israelis	NPS	Israelis
uh	UH	uh
security	NN	security
and	CC	and
that's	NNS	that's
why	WRB	why
they	PP	they
trusted	VVD	trust
him	PP	him
so	RB	so
much	RB	much
but	CC	but
it	PP	it
might	MD	might
be	VB	be
much	RB	much
more	RBR	more
difficult	JJ	difficult
this	DT	this
time	NN	time
because	IN	because
actually	RB	actually
a	DT	a
re	IN	re
a	DT	a
poll	NN	poll
that	WDT	that
came	VVD	come
out	RP	out
today	RB	today
uh	UH	uh
so	RB	so
6	CD	@card@
days	NNS	day
after	IN	after
uh	UH	uh
the	DT	the
attack	NN	attack
last	JJ	last
Saturday	NP	Saturday
says	VVZ	say
that	DT	that
n	NN	n
84%	CD	@card@
of	IN	of
Israelis	NNS	Israeli
believe	VVP	believe
that	IN/that	that
the	DT	the
Saturday's	NP	Saturday's
attack	NN	attack
was	VBD	be
a	DT	a
failure	NN	failure
of	IN	of
the	DT	the
political	JJ	political
leadership	NN	leadership
and	CC	and
94	CD	@card@
of	IN	of
the	DT	the
Israelis	NPS	Israelis
believe	VVP	believe
that	IN/that	that
the	DT	the
government	NN	government
is	VBZ	be
responsible	JJ	responsible
for	IN	for
the	DT	the
collapse	NN	collapse
of	IN	of
the	DT	the
defense	NN	defense
system	NN	system
around	IN	around
and	CC	and
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
so	RB	so
there	RB	there
you	PP	you
have	VHP	have
very	RB	very
critical	JJ	critical
voices	VVZ	voice
uh	UH	uh
uh	UH	uh
towards	IN	towards
uh	UH	uh
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
many	JJ	many
Israelis	NNS	Israeli
saying	VVG	say
that	IN/that	that
this	DT	this
is	VBZ	be
actually	RB	actually
October	NP	October
7th	JJ	7th
being	VBG	be
The	DT	the
Darkest	JJS	dark
Day	NN	day
in	IN	in
the	DT	the
history	NN	history
of	IN	of
this	DT	this
uh	UH	uh
young	JJ	young
country	NN	country
something	NN	something
that	IN/that	that
the	DT	the
prime	JJ	prime
Min	NN	Min
had	VHD	have
prime	JJ	prime
minister	NN	minister
here	RB	here
inside	RB	inside
has	VHZ	have
reiterated	VVN	reiterate
uh	UH	uh
but	CC	but
the	DT	the
people	NNS	people
outside	IN	outside
the	DT	the
wide	JJ	wide
Israeli	JJ	Israeli
public	NN	public
are	VBP	be
pointing	VVG	point
the	DT	the
finger	NN	finger
at	IN	at
him	PP	him
and	CC	and
we	PP	we
were	VBD	be
heard	VVN	hear
earlier	RBR	earlier
in	IN	in
the	DT	the
day	NN	day
our	PP$	our
correspondent	JJ	correspondent
uh	UH	uh
was	VBD	be
at	IN	at
Tel	NP	Tel
Aviv	NP	Aviv
airport	NN	airport
hundreds	NNS	hundred
and	CC	and
thousands	NNS	thousand
of	IN	of
people	NNS	people
are	VBP	be
trying	VVG	try
to	TO	to
get	VV	get
their	PP$	their
way	NN	way
out	RP	out
of	IN	of
the	DT	the
