<video_id>NTW04rwCFMI</video_id>	NP	<video_id>NTW04rwCFMI</video_id>
said	VVN	say
that	IN/that	that
whether	IN	whether
or	CC	or
not	RB	not
this	DT	this
situation	NN	situation
escalates	VVZ	escalate
is	VBZ	be
dependent	JJ	dependent
entirely	RB	entirely
on	IN	on
how	WRB	how
Islamic	NP	Islamic
Jihad	NP	Jihad
and	CC	and
perhaps	RB	perhaps
Hamas	JJ	Hamas
respond	NN	respond
to	TO	to
this	DT	this
How	WRB	how
likely	RB	likely
is	VBZ	be
it	PP	it
that	IN/that	that
Hamas	NP	Hamas
will	MD	will
listen	VV	listen
to	TO	to
those	DT	those
calls	NNS	call
for	IN	for
restraint	NN	restraint
one	CD	one
uh	UH	uh
it's	NNS	it's
an	DT	an
island	NN	island
exact	JJ	exact
day	NN	day
attack	NN	attack
they	PP	they
kill	VVP	kill
they	PP	they
destroyed	VVN	destroy
and	CC	and
then	RB	then
they	PP	they
will	MD	will
say	VV	say
well	RB	well
we	PP	we
will	MD	will
wait	VV	wait
for	IN	for
the	DT	the
response	NN	response
and	CC	and
the	DT	the
consequences	NNS	consequence
will	MD	will
depend	VV	depend
on	IN	on
what	WP	what
will	MD	will
happen	VV	happen
next	JJ	next
they	PP	they
have	VHP	have
to	TO	to
understand	VV	understand
their	PP$	their
actions	NNS	action
will	MD	will
be	VB	be
received	VVN	receive
by	IN	by
a	DT	a
reaction	NN	reaction
what	WP	what
they	PP	they
will	MD	will
do	VVP	do
has	VHZ	have
its	PP$	its
own	JJ	own
consequences	NNS	consequence
and	CC	and
the	DT	the
one	CD	one
who	WP	who
is	VBZ	be
supposed	VVN	suppose
to	TO	to
take	VV	take
the	DT	the
responsibility	NN	responsibility
for	IN	for
that	WDT	that
is	VBZ	be
the	DT	the
Israeli	JJ	Israeli
government	NN	government
and	CC	and
they	PP	they
will	MD	will
take	VV	take
the	DT	the
responsibility	NN	responsibility
and	CC	and
I	PP	I
believe	VVP	believe
they	PP	they
have	VHP	have
to	TO	to
understand	VV	understand
this	DT	this
lesson	NN	lesson
the	DT	the
time	NN	time
of	IN	of
being	VBG	be
attacked	VVN	attack
without	IN	without
any	DT	any
response	NN	response
available	JJ	available
now	RB	now
there	EX	there
will	MD	will
be	VB	be
a	DT	a
reaction	NN	reaction
for	IN	for
their	PP$	their
attack	NN	attack
and	CC	and
everyone	NN	everyone
will	NN	will
knows	VVZ	know
shown	VVN	show
that	IN/that	that
the	DT	the
Palestinian	JJ	Palestinian
resistance	NN	resistance
will	MD	will
not	RB	not
keep	VV	keep
watching	VVG	watch
just	RB	just
by	IN	by
counting	VVG	count
the	DT	the
rockets	NNS	rocket
and	CC	and
Counting	VVG	count
the	DT	the
bombs	NNS	bomb
of	IN	of
the	DT	the
Israelis	NPS	Israelis
falling	VVG	fall
on	IN	on
the	DT	the
Palestinians	NPS	Palestinians
women	NNS	woman
children	NNS	child
and	CC	and
get	VV	get
the	DT	the
spirit	NN	spirit
Asana	NP	Asana
Hamden	NP	Hamden
a	DT	a
senior	JJ	senior
spokesman	NN	spokesman
for	IN	for
Hamas	NNS	Hamas
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
</doc>	JJ	</doc>
